ENGLISH,GERMAN
"We should always invest in Technology whenever we can. Tech advances will offer Army-wide benefits of many different types. There are 4 'tiers' of Technology that we can unlock as our faction continues to advance. To unlock technology, we need to level up Faction Rank. With every promotion in Faction Rank, we will be awarded a haul of Tech Points.\\PARAcademy of War focuses mostly on magic, the elements, and certain specialized warriors such as the Paladin, and War Mages.\\PARTactics and Command will advance our ability to field larger, more tactically-advanced armies, and give us certain specific advantages and new classes, such as the Swordmaster and Champion.\\PARCraftsmanship is the direct application of physical sciences to improve our army's weapons and armor.\\PAREach tech branch has its own 'Capstone' technology, which requires a complete fulfillment of all that branch's techs in the first 3 tiers. If you complete two whole tech trees, you can then unlock 'Dual Capstone's, which represent the ultimate in technological advance available.","Wir sollten wann immer möglich in neue Technologie investieren. Technologische Fortschritte verleihen deiner ganzen Armee viele unterschiedliche Vorteile. Es gibt 4 Stufen an Technologie, die verfügbar werden, wenn unsere Fraktion mächtiger wird. Wir müssen unseren Fraktionsrang erhöhen, um Technologie freizuschalten. Jedes Mal, wenn wir im Fraktionsrang aufsteigen, erhalten wir eine Menge Technologiepunkte.\\PARDie Kriegsakademie konzentriert sich hauptsächlich auf Magie, die Elemente, und spezialisierte Krieger wie den Paladin oder Kriegsmagier.\\PARDer Bereich „Taktik und Kommando“ ermöglicht uns, größere und besser ausgerüstete Armeen zu entsenden und gewährt uns bestimmte Vorteile und neue Klassen wie die Schwertmeisterin und den Recken.\\PARIn der Fertigung kommt Wissenschaft zum Einsatz, um die Waffen und Rüstungen unserer Armee zu verbessern.\\PARJeder Zweig des Technologiebaums hat eine „ultimative“ Technologie, die alle anderen Technologien der ersten 3 Stufen voraussetzt. Wenn du zwei ganze Technologiebäume abschließt, kannst du doppelte ultimative Technologien freischalten, die dir den größtmöglichen technologischen Fortschritt bieten."
Scions of Dargon,Anhänger Dargons
"An underground spy organization made up of loyalitsts to the now-deposed Sayunaari monarchy who view the last legitimate monarch as the late King Kasim Dargon, who inherited a broken Sayunaari kingdom after the death of Queen Soha Dargon.","Eine Organisation aus Spionen im Untergrund, die der abgesetzten Sayunaarer Monarchie treu sind und König Kasim Dargon als den letzten rechtmäßigen Monarchen ansehen. Dieser hatte nach dem Tod von Königin Soha Dargon ein heruntergekommenes Königreich Sayunaa geerbt."
The Aetherium Crisis,Die Aitheriumkrise
"Date: Year 876-877\\PARLocation: Empire of Veridia, Kingdom of Sayunaa, Gondwanna Federation\\PARResult: Destruction of Novas Kedah and Ezrum, reform of the Donari Temple\\PARCasualties: 124,000 civilian deaths\\PARThe great tragedy and climax of the last age of Humanity, which spawned incredible heroes and legends, and set the foundation for the modern age.","Zeitraum: Jahr 876-877\\PAROrt: Kaiserreich Veridia, Königreich Sayunaa, Föderation Gondwanna\\PARErgebnis: Zerstörung von Novas Kedah und Ezrum, Reformation des Donari-Tempels\\PARTote: 124.000 getötete Zivilisten\\PARDas letzte Zeitalter der Menschheit gipfelte in dieser Tragödie. Legendäre Helden gingen aus ihr hervor und der Grundstein für das moderne Zeitalter wurde gelegt."
XP and CP,EP und KP
"XP is Experience Points, and CP is Class Points / Class Mastery.\\PARXP is gained from doing battle, defeating any units, or using an XP codex. Units that did not participate in the campaign will also gain a small amount, so that no one is severely left behind. You will always see your XP represented in increments of 100. Get 100 more XP to level up, which will increase your stats.\\PARCP, or Class Points / Class Mastery, is only gained from real combat experience, or using a CP Codex. In order to upgrade classes, you must fill up the CP Bar to ''Max''.","EP steht für Erfahrungspunkte und KP sind Klassenpunkte (die Klassenmeisterung).\\PAREP erhältst du, indem du kämpfst, Einheiten besiegst oder einen EP-Kodex verwendest. Einheiten, die nicht mit ausgerückt sind, erhalten auch eine geringe Menge, damit sie nicht zu sehr abgehängt werden. Deine EP werden immer in 100er-Schritten angezeigt. Gewinne 100 zusätzliche EP, um aufzuleveln und so deine Werte zu erhöhen.\\PARKP, also Klassenpunkte, erhältst du nur durch tatsächliche Erfahrung im Kampf oder mithilfe eines KP-Kodexes. Um Klassen aufzuwerten, musst du die KP-Leiste bis auf „Max“ füllen."
Battle of Rimorgue River Valley,Schlacht im Flusstal von Rimorgue
"Date: Year 999\\PARLocation: Stormrook, Rimorgue, banks of the Herald River\\PARBelligerents: Nephilim Army, Empire of Archaelus and Followers of Zanatus\\PARResult: Decisive Nephilim Army victory, near total destruction of the Empire of Archaelus military forces\\PARTerritory changes: Nephilim Army annexes Stormrook, Rimorgue, Fort Eureeka\\PARCasualties: 6,000 military deaths","Zeitpunkt: Jahr 999\\PAROrt: Sturmbroch, Rimorgue, Ufer des Flusses Herold\\PARParteien: Armee der Nephilim, Kaiserreich Archaelus und Anhänger Zanatus’\\PARErgebnis: Entscheidender Sieg der Armee der Nephilim, nahezu komplette Zerstörung des Heers des Kaiserreichs Archaelus\\PARGebietsänderungen: Sturmbroch, Rimorgue und Fort Eureeka von der Armee der Nephilim annektiert\\PARTote: 6.000 Soldaten"
Nephilim Millennium War,Jahrtausendkrieg der Nephilim
"Date: Year 997-999\\PARLocation: Veridia, Sayunaa, and Sandraka\\PARBelligerents: Nephilim Army vs Empire of Archaelus, Followers of Zanatus, with Kingdom of Sayunaa changing alliances\\PARResult: Utter defeat and unconditional surrender of the Empire of Archaelus.\\PARTerritory changes: All territory under the provisional military government\\PARCasualties: 25,000 military deaths\\PARA struggle that will sound through the ages as a climactic point in history. Starting just from a small hideout, the Avatar of Donar built an army and dismantled the Empire of Archaelus piece by piece with stunning efficiency until the death of Emperor Casamir finally led to the end of the war.\\PARHistorians look at the staggering disparity in power between the beginnings of the war, and conclude that the Nephilim Army's victory can be attributed to several factors that crippled Archaelus Imperial war efforts. Casamir's ability to directly administer most elements of his government was minimal throughout his reign, making his role largely ceremonial. The institutional power lied with the Followers of Zanatus, who committed massive resources and manpower to the dismantling of the Donari Temple, the child abduction and reeducation efforts, and the domestic campaign to root out potential enemies of the state. For much of year 999, the Nephilim Army was merely a minor nuissance to Imperial leadership, only registering as a threat when it was far too late to turn the tide.","Zeitraum: Jahr 997-999\\PAROrt: Veridia, Sayunaa und Sandraka\\PARParteien: Armee der Nephilim gegen das Kaiserreich Archaelus und die Anhänger Zanatus’. Königreich Sayunaa wechselte die Seiten.\\PARErgebnis: Vernichtende Niederlage und bedingungslose Kapitulation des Kaiserreichs Archaelus.\\PARGebietsänderungen: Sämtliche Gebiete unterlagen nun einer provisorischen Militärregierung\\PARTote: 25.000 Soldaten\\PARDiese Schlacht wird als entscheidender Wendepunkt in die Annalen der Geschichte eingehen. Die Inkarnation Donars hatte anfangs nur einen bescheidenen Unterschlupf, massierte jedoch eine Armee und zerstörte das Kaiserreich Archaelus mit verblüffender Effizienz Stück um Stück, bis der Krieg schließlich durch den Tod Kaiser Casamirs beendet wurde.\\PARHistoriker sehen die enorme Unterlegenheit der Armee der Nephilim zu Beginn des Krieges und führen ihren Sieg auf mehrere Faktoren zurück, die dem Kaiserreich Archaelus zum Verhängnis wurden. Casamir konnte dem Großteil seiner Regierung während seiner Herrschaft kaum direkt Befehle erteilen, sodass er primär eine repräsentative Funktion einnahm. Die eigentliche Macht lag in der Hand der Anhänger Zanatus’, die eine enorme Menge Ressourcen und Kräfte für die Zerschlagung des Donari-Tempels aufwendeten, sowie auf die Entführung und Umerziehung der Kinder und die Bemühungen, mögliche Staatsfeinde im Inneren auszumerzen. Für einen großen Teil des Jahrs 999 schien die Armee der Nephilim der kaiserlichen Regierung kaum mehr als ein lästiges Ärgernis zu sein. Die Bedrohung wurde erst erkannt, als es viel zu spät war, um das Blatt noch zu wenden."
Character stat: STR (Strength),Wert: STÄ (Stärke)
"Determines ability to deal physical damage, also offers some physical resistance. Influences Dragon breath damage.","Bestimmt, wie viel körperlicher Schaden verursacht wird und gewährt eine gewisse Resistenz dagegen. Beeinflusst den Schaden eines Drachenatems."
Character stat: SKL (Skill),Wert: FER (Fertigkeit)
"Determines hit rate, critical hits, evasion, and glancing blows.","Trefferrate, kritische Treffer, Ausweichen und Streifhiebe sind hiervon abhängig."
Character stat: MAG (Magic),Wert: MAG (Magie)
Affects ability to deal Magic damage and healing power. Also determines Magic Defense. Influences Dragon breath damage.,"Bestimmt, wie viel Magieschaden verursacht wird, sowie die Macht von Heilungen. Auch die Verteidigung gegen Magie hängt hiervon ab. Beeinflusst den Schaden eines Drachenatems."
Character stat: LDR (Leadership),Wert: FÜH (Führung)
Determines Squad Capacity. Capacity determines how many units and artifacts can be added to a Squad.,"Bestimmt die Kapazität des Trupps. Die Kapazität begrenzt, wie viele Einheiten und Artefakte der Trupp umfassen kann."
Affinity,Affinität
"Every unit in Tahnra is born with Affinity. These include, in order of most common to least common: Earth, Water, Lightning, Fire, Darkness, and Light.","Jede Einheit auf Tahnra wird mit einer Affinität geboren. Diese lauten, von häufig nach selten sortiert: Erde, Wasser, Blitz, Feuer, Schatten und Licht."
"Bond, Family, Friendship","Partnerschaft, Familie, Freundschaft"
"Characters start with, and can further develop Friendships, Deep Bonds, and even become Family, through Home Base Conversations.\\PARThese grant mutual bonuses to Morale when within 3 tiles of each other.","Charaktere haben zu Beginn schon Freundschaften. Durch Gespräche in der Heimatbasis können sie weitere schließen oder sogar Partner oder Familienmitglieder werden.\\PARCharaktere mit solchen Beziehungen geben sich gegenseitig Moralboni, wenn sie sich innerhalb von 3 Feldern voneinander befinden."
Character stat: Armor,Wert: Rüstung
"Determines physical damage mitigation. Is largely determined by what class a unit currently is, rather than growths over time.","Bestimmt, um wie viel erlittener körperlicher Schaden reduziert wird. Wird primär von der aktuellen Klasse der Einheit bestimmt."
Surrenders and Force Surrender Tactic,Kapitulation und Kapitulationen erzwingen
"Force Surrender is a type of attack you can use, which gives the target a chance to Surrender. If this ask fails and the enemy refuses, battle will start, and you will lose your first volley. Any enemies destroyed in this attack will have a second chance to surrender.\\PARSurrender is a greater victory than outright destroying an enemy Squad. We will get a gold bounty at the end of the Chapter in exchange for the Prisoners of War captured via Surrenders, in addition to some Faction Rank XP.","„Kapitulation erzwingen“ ist ein Angriffstyp. Du gibst dem Ziel damit Gelegenheit, sich zu ergeben. Falls dies keinen Erfolg hat und der Gegner sich weigert, beginnt der Kampf und du verlierst deine erste Attacke. Bei diesem Angriff besiegte Gegner bekommen eine zweite Gelegenheit, sich zu ergeben.\\PAREine Kapitulation ist ein größerer Erfolg als die Vernichtung eines gegnerischen Trupps. Am Ende des Kapitels erhalten wir Gold für die Kriegsgefangenen aus Kapitulationen, und auch etwas Fraktionsrang-EP."
Class: Fighter,Klasse: Kämpfer
Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: -\\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: -,Kann Trupps anführen: Nein\\PARStufe: 1\\PAREinheitentyp: Schwere Infanterie\\PARBewegung: Normal\\PARErforderliche Ressourcen: -\\PARKampfaktionen: 2 Schlitzangriffe aus Entfernung 1\\PARBesonderes: -
Class: Bowman,Klasse: Bogenschütze
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Archery\\PARMovement Type: Normal\\PARResources Required: -\\PARBattle Actions: 2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial: -",Kann Trupps anführen: Nein\\PARStufe: 1\\PAREinheitentyp: Bogenschützen\\PARBewegung: Normal\\PARErforderliche Ressourcen: -\\PARKampfaktionen: 2 Bogenangriffe aus Entfernung 1 oder 1 hoher Bogenangriff aus Entfernung 2\\PARBesonderes: -
Class: Militia,Klasse: Milizkämpferin
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required: -\\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: Increased evasion in woods, townscape, hills, and swamp","Kann Trupps anführen: Nein\\PARStufe: 1\\PAREinheitentyp: Leichte Infanterie\\PARBewegung: Leicht\\PARErforderliche Ressourcen: -\\PARKampfaktionen: 2 Schlitzangriffe aus Entfernung 1\\PARBesonderes: Ausweichen in Wäldern, Städten, Hügeln und Sümpfen erhöht."
Class: Medic,Klasse: Heilerin
Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Support\\PARMovement Type: Slow\\PARResources Required: -\\PARBattle Actions: 1 Heal of the weakest ally\\PARSpecial: Can use a Squad's turn to heal members of an adjacent Squad,Kann Trupps anführen: Nein\\PARStufe: 1\\PAREinheitentyp: Unterstützung\\PARBewegung: Langsam\\PARErforderliche Ressourcen: -\\PARKampfaktionen: 1 x Heilung des schwächsten Verbündeten\\PARBesonderes: Kann den Zug des Trupps zur Heilung von Mitgliedern eines benachbarten Trupps nutzen.
Class: Soldier,Klasse: Soldat
Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 1 Iron\\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: -,Kann Trupps anführen: Ja\\PARStufe: 2\\PAREinheitentyp: Schwere Infanterie\\PARBewegung: Normal\\PARErforderliche Ressourcen: 1 Eisen\\PARKampfaktionen: 2 Schlitzangriffe aus Entfernung 1\\PARBesonderes: -
Class: Spearman,Klasse: Speerkämpfer
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 1 Iron\\PARBattle Actions: 2 Polearm attacks at 1 range\\PARSpecial: +15% Damage Dealt if adjacent to another Polearm user in the same row, +35% Damage dealt to Cavalry units","Kann Trupps anführen: Ja\\PARStufe: 2\\PAREinheitentyp: Schwere Infanterie\\PARBewegung: Normal\\PARErforderliche Ressourcen: 1 Eisen\\PARKampfaktionen: 2 Stangenwaffenangriffe aus Entfernung 1\\PARBesonderes: +15 % verursachter Schaden bei benachbartem Stangenwaffennutzer in derselben Reihe, +35 % Schaden gegen Kavallerie"
Class: Acolyte,Klasse: Akolythin
Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 1 Iron\\PARBattle Actions: 2 Striking attacks at 1 range\\PARSpecial: Resists Magic and Dragon Breath attacks by 25% of this unit's Armor value,Kann Trupps anführen: Ja\\PARStufe: 2\\PAREinheitentyp: Schwere Infanterie\\PARBewegung: Normal\\PARErforderliche Ressourcen: 1 Eisen\\PARKampfaktionen: 2 Hiebangriffe aus Entfernung 1\\PARBesonderes: Resistenz gegen Magie und Drachenatem in Höhe von 25 % des eigenen Rüstungswerts.
Class: Cavalier,Klasse: Reiterkrieger
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Heavy Cavalry\\PARMovement Type: Fast\\PARResources Required: 1 Iron, 1 Horse\\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: On offense, if Squad moved maximum possible range, this unit's 1st attack is a 'Charge Attack' which can Stun the target","Kann Trupps anführen: Ja\\PARStufe: 2\\PAREinheitentyp: Schwere Kavallerie\\PARBewegung: Schnell\\PARErforderliche Ressourcen: 1 Eisen, 1 Pferd\\PARKampfaktionen: 2 Schlitzangriffe aus Entfernung 1\\PARBesonderes: Wenn sich der Trupp in der Offensive die maximal mögliche Distanz bewegt hat, ist der erste Angriff ein „Sturmangriff“ und kann das Ziel betäuben."
Class: Skirmisher,Klasse: Scharmützler
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required: -\\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: Increased evasion in woods, townscape, hills, and swamp","Kann Trupps anführen: Ja\\PARStufe: 2\\PAREinheitentyp: Leichte Infanterie\\PARBewegung: Leicht\\PARErforderliche Ressourcen: -\\PARKampfaktionen: 2 Schlitzangriffe aus Entfernung 1\\PARBesonderes: Ausweichen in Wäldern, Städten, Hügeln und Sümpfen erhöht."
Class: Rogue,Klasse: Schurke
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required: -\\PARBattle Actions: On Offense, 1 Stealth Attack at 1 range, followed by 1 Slashing attack at 1 range. On Defense, 2 Slashing attacks at 1 range\\PARSpecial: When on Offense, first attack can hit the back row of the target Squad with increased damage",Kann Trupps anführen: Ja\\PARStufe: 2\\PAREinheitentyp: Leichte Infanterie\\PARBewegung: Leicht\\PARErforderliche Ressourcen: -\\PARKampfaktionen: In der Offensive 1 Schleichangriff aus Entfernung 1 gefolgt von 1 Schlitzangriff aus Entfernung 1. In der Defensive 2 Schlitzangriffe aus Entfernung 1.\\PARBesonderes: In der Offensive kann der erste Angriff die hintere Reihe des Zieltrupps treffen und erhöhten Schaden verursachen.
Class: Swordfighter,Klasse: Streiterin
Class: Scout,Klasse: Späher
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Light Cavalry\\PARMovement Type: Light, Fast\\PARResources Required: 1 Horse\\PARBattle Actions: 2 Polearm attacks at 1 range\\PARSpecial: On offense, if Squad moved maximum possible range, this unit's 1st attack is a 'Charge Attack' which can Stun the target, +35% Damage dealt to Cavalry units. Increased evasion in woods, townscape, hills, and swamp. +50% Evasion on offense.","Kann Trupps anführen: Ja\\PARStufe: 2\\PAREinheitentyp: Leichte Kavallerie\\PARBewegung: Leicht, Schnell\\PARErforderliche Ressourcen: 1 Pferd\\PARKampfaktionen: 2 Stangenwaffenangriffe aus Entfernung 1\\PARBesonderes: Wenn sich der Trupp in der Offensive die maximal mögliche Distanz bewegt hat, ist der erste Angriff ein „Sturmangriff“ und kann das Ziel betäuben. +35 % verursachter Schaden gegen Kavallerie. Ausweichen in Wäldern, Städten, Hügeln und Sümpfen erhöht. +50 % Ausweichen in der Offensive."
Class: Archer,Klasse: Scharfschütze
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Archery\\PARMovement Type: Normal\\PARResources Required: -\\PARBattle Actions: 2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial: -",Kann Trupps anführen: Ja\\PARStufe: 2\\PAREinheitentyp: Bogenschützen\\PARBewegung: Normal\\PARErforderliche Ressourcen: -\\PARKampfaktionen: 2 Bogenangriffe aus Entfernung 1 oder 1 hoher Bogenangriff aus Entfernung 2\\PARBesonderes: -
Class: Crossbowman,Klasse: Armbrustschütze
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Archery\\PARMovement Type: Normal\\PARResources Required: 1 Iron\\PARBattle Actions: 2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial: Attacks ignore 25% of Armor, damage derived from Weapon Power, not STR","Kann Trupps anführen: Ja\\PARStufe: 2\\PAREinheitentyp: Bogenschützen\\PARBewegung: Normal\\PARErforderliche Ressourcen: 1 Eisen\\PARKampfaktionen: 2 Bogenangriffe aus Entfernung 1 oder 1 hoher Bogenangriff aus Entfernung 2\\PARBesonderes: Angriffe ignorieren 25 % der Rüstung und der Schaden basiert auf der Waffenkraft, nicht der STÄ."
Class: Horsebow,Klasse: Bogenreiter
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Archery\\PARMovement Type: Light, Fast\\PARResources Required: 1 Horse\\PARBattle Actions: 2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial:  +50% Evasion on offense.","Kann Trupps anführen: Ja\\PARStufe: 2\\PAREinheitentyp: Bogenschützen\\PARBewegung: Leicht, Schnell\\PARErforderliche Ressourcen: 1 Pferd\\PARKampfaktionen: 2 Bogenangriffe aus Entfernung 1 oder 1 hoher Bogenangriff aus Entfernung 2\\PARBesonderes: +50 % Ausweichen in der Offensive."
Class: Priestess,Klasse: Priesterin
Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Support\\PARMovement Type: Slow\\PARResources Required: 1 Gem\\PARBattle Actions: 1 Heal of the weakest ally\\PARSpecial: Can use a Squad's turn to heal members of an adjacent Squad,Kann Trupps anführen: Ja\\PARStufe: 2\\PAREinheitentyp: Unterstützung\\PARBewegung: Langsam\\PARErforderliche Ressourcen: 1 Edelstein\\PARKampfaktionen: 1 x Heilung des schwächsten Verbündeten\\PARBesonderes: Kann den Zug des Trupps zur Heilung von Mitgliedern eines benachbarten Trupps nutzen.
Class: Apprentice,Klasse: Lehrling
Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: 1 Gem\\PARBattle Actions: 1 Fire Magic attacks at 1 range\\PARSpecial: -,Kann Trupps anführen: Ja\\PARStufe: 2\\PAREinheitentyp: Zauberwirker\\PARBewegung: Langsam\\PARErforderliche Ressourcen: 1 Edelstein\\PARKampfaktionen: 1 Feuermagieangriff aus Entfernung 1\\PARBesonderes: -
Class: Siren,Klasse: Sirene
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: 1 Gem\\PARBattle Actions: 1 Dark Magic attack 1 range\\PARSpecial: Chance to Stun or Daze targets. Daze lowers enemy STR for the duration of the battle, while Stun completely negates one enemy turn","Kann Trupps anführen: Ja\\PARStufe: 2\\PAREinheitentyp: Zauberwirker\\PARBewegung: Langsam\\PARErforderliche Ressourcen: 1 Edelstein\\PARKampfaktionen: 1 Schattenmagieangriff aus Entfernung 1\\PARBesonderes: Chance, Ziele zu betäuben oder benommen zu machen. Benommenheit reduziert die gegnerische STÄ für die Dauer des Kampfs, Betäubung verhindert einen gegnerischen Zug."
Class: Sentinel,Klasse: Schildwache
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 3 Iron\\PARBattle Actions: 2 Polearm attacks at 1 range\\PARSpecial: +15% Damage Dealt if adjacent to another Polearm user in the same row, -50% damage taken from Firearm attacks, +35% Damage dealt to Cavalry units","Kann Trupps anführen: Ja\\PARStufe: 3\\PAREinheitentyp: Schwere Infanterie\\PARBewegung: Normal\\PARErforderliche Ressourcen: 3 Eisen\\PARKampfaktionen: 2 Stangenwaffenangriffe aus Entfernung 1\\PARBesonderes: +15 % verursachter Schaden bei benachbartem Stangenwaffennutzer in derselben Reihe, -50 % erlittener Schaden durch Feuerwaffen, +35 % Schaden gegen Kavallerie"
Class: Champion,Klasse: Recke
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 2 Iron, 2 Obsidian\\PARBattle Actions: 2 Slashing double-attacks at 1 range\\PARSpecial: -","Kann Trupps anführen: Ja\\PARStufe: 3\\PAREinheitentyp: Schwere Infanterie\\PARBewegung: Normal\\PARErforderliche Ressourcen: 2 Eisen, 2 Obsidian\\PARKampfaktionen: 2 Schlitzangriffe aus Entfernung 1\\PARBesonderes: -"
Class: Zweihander,Klasse: Zweihänder
Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 2 Iron\\PARBattle Actions: 2 Wide-sweeping Slashing attacks at 1 range\\PARSpecial: Attacks deal splash damage to 1 tile adjacent to the target in the same row,Kann Trupps anführen: Ja\\PARStufe: 3\\PAREinheitentyp: Schwere Infanterie\\PARBewegung: Normal\\PARErforderliche Ressourcen: 2 Eisen\\PARKampfaktionen: 2 weitreichende Schlitzangriffe aus Entfernung 1\\PARBesonderes: Angriffe fügen Einheiten innerhalb von 1 Feld um das Ziel in derselben Reihe Sekundärschaden zu.
Class: Centurion,Klasse: Zenturio
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 2 Iron, 2 Obsidian\\PARBattle Actions: 2 Piercing Polearm attacks at 1 range\\PARSpecial: Attacks deal splash damage to 1 tile behind the target, +15% Damage dealt if adjacent to another Polearm user in the same row, +35% Damage dealt to Cavalry units","Kann Trupps anführen: Ja\\PARStufe: 3\\PAREinheitentyp: Schwere Infanterie\\PARBewegung: Normal\\PARErforderliche Ressourcen: 2 Eisen, 2 Obsidian\\PARKampfaktionen: 2 durchbohrende Stangenwaffenangriffe aus Entfernung 1\\PARBesonderes: Angriffe verursachen 1 Feld hinter dem Ziel Sekundärschaden, +15 % verursachter Schaden bei benachbartem Stangenwaffennutzer in derselben Reihe, +35 % Schaden gegen Kavallerie."
Class: Samurai,Klasse: Samurai
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 2 Iron\\PARBattle Actions: 2 Polearm attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial: 15% Polearm Damage dealt if adjacent to another Polearm user in the same row, +35% Polearm Damage dealt to Cavalry units. 35% more base Evasion than other Heavy classes","Kann Trupps anführen: Ja\\PARStufe: 3\\PAREinheitentyp: Schwere Infanterie\\PARBewegung: Normal\\PARErforderliche Ressourcen: 2 Eisen\\PARKampfaktionen: 2 Stangenwaffenangriffe aus Entfernung 1 oder 1 hoher Bogenangriff aus Entfernung 2\\PARBesonderes: +15 % verursachter Schaden bei benachbartem Stangenwaffennutzer in derselben Reihe, +35 % Stangenwaffenschaden gegen Kavallerie Grundwert für Ausweichen 35 % höher als für andere schwere Klassen."
Class: Paladin,Klasse: Paladin
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 2 Iron, 1 Sunstone\\PARBattle Actions: 2 Striking attacks at 1 range, or 1 Striking attack and 1 heal if an ally is below %50 HP\\PARSpecial: Resists Magic and Dragon Breath attacks by 25% of this unit's Armor value","Kann Trupps anführen: Ja\\PARStufe: 3\\PAREinheitentyp: Schwere Infanterie\\PARBewegung: Normal\\PARErforderliche Ressourcen: 2 Eisen, 1 Sonnenstein\\PARKampfaktionen: 2 Hiebangriffe aus Entfernung 1 oder 1 Hiebangriff und 1 Heilung, falls LP eines Verbündeten unter 50 % liegen.\\PARBesonderes: Resistenz gegen Magie und Drachenatem in Höhe von 25 % des eigenen Rüstungswerts."
Class: Knight,Klasse: Ritter
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Cavalry\\PARMovement Type: Fast\\PARResources Required: 2 Iron, 1 Obsidian, 1 Horse\\PARBattle Actions: 2 Slashing attacks with splash damage to adjacent targets at 1 range\\PARSpecial: On offense, if Squad moved maximum possible range, this unit's 1st attack is a 'Charge Attack' which can Stun the target","Kann Trupps anführen: Ja\\PARStufe: 3\\PAREinheitentyp: Schwere Kavallerie\\PARBewegung: Schnell\\PARErforderliche Ressourcen: 2 Eisen, 1 Obsidian, 1 Pferd\\PARKampfaktionen: 2 Schlitzangriffe mit Sekundärschaden gegen benachbarte Ziele, Reichweite 1\\PARBesonderes: Wenn sich der Trupp in der Offensive die maximal mögliche Distanz bewegt hat, ist der erste Angriff ein „Sturmangriff“ und kann das Ziel betäuben."
Class: Valkyrie,Klasse: Walküre
