Trait Learnable,Freier Eigenschaftsplatz
Use a tome to learn a trait in this slot!,"Verwende einen Folianten, um eine Eigenschaft für diesen Platz zu erlernen!"
Polearm Warrior,Lanzenkrieger
"Increases attack versus Cavalry units by 35%, and grants immunity to Shock",Erhöht den Angriff gegen Kavallerieeinheiten um 35 % und gewährt Immunität gegen Schock.
35% bonus damage to firearms troops,35 % Bonusschaden gegen Feuerwaffentrupps.
Guardian,Wächter
Unit takes -25% damage while on defense,Die Einheit erleidet in der Defensive 25 % weniger Schaden.
Magic Armor,Magierüstung
Reduces incoming spell damage by 50% of Armor.,Reduziert den eintreffenden Zauberschaden um 50 % der Rüstung.
Stealth Attack,Schleichangriff
Attack rear row without penalty on the first round of combat,Kann in der ersten Kampfrunde die hintere Reihe ohne Gegenwehr angreifen.
Guerilla,Guerilla
Bonus hit and evasion when standing in rough terrain and/or on Offense,Gewährt auf unwegsamem Gelände und/oder in der Offensive einen Bonus auf Trefferrate und Ausweichen.
Firearms Slayer,Schützentöter
+35% damage to firearms,+35 % Schaden gegen Feuerwaffeneinheiten
Hit and Run,Überfall
Bonus hit and evasion when standing in Open terrain and/or on Offense,Gewährt auf offenem Gelände und/oder in der Offensive einen Bonus auf Trefferrate und Ausweichen.
Shadowchaser,Schattenjäger
Bonus movement in Ambushable terrain and ignore enemy Zones of Control,"Gewährt einen Bewegungsbonus für Gelände, auf dem ein Hinterhalt möglich ist, und ignoriert von Gegnern kontrollierte Bereiche."
Imposing,Imposant
Noisy Cricket,Laute Grille
Squad loses 15% threat for the purposes of being targeted (more likely to be targeted),Der Gegner hält den Trupp für 15 % weniger mächtig (greift ihn also mit höherer Wahrscheinlichkeit an).
Combat Medic,Sanitäter
Support units in this squad heal for 20% more,Unterstützungseinheiten in diesem Trupp heilen um 20 % mehr.
Hospitaller,Professritterin
Out-of-battle Healing is 25% stronger,Heilung außerhalb des Kampfs ist um 25 % wirksamer.
Unassuming,Bescheiden
Archer Captain,Schützenhauptmann
Soldier Captain,Soldatenhauptmann
Knight Captain,Ritterhauptmann
Melee Cavalry units in this Squad cost 2 less capacity,Nahkampf-Kavallerieeinheiten in diesem Trupp kosten 2 Kapazität weniger.
Bowmanship,Bogenkunst
Arcane Vigor,Arkaner Elan
Gain Max HP equal to 100% of MAG,Erhöht die max. LP um 100 % der MAG.
Arcane Might,Arkane Macht
Arcane Speed,Arkanes Tempo
Coldblooded,Kaltblütig
Beacon,Fanal
Colossal,Koloss
"Cannot dodge, deals increased morale damage","Kann nicht ausweichen, fügt der Gegnermoral mehr Schaden zu."
Desperation,Verzweiflung
Smite,Zerschmettern
Dragonslayer,Drachentöter
Unit does +50% more damage to Dragons,Die Einheit fügt Drachen 50 % mehr Schaden zu.
Field Marshal,Feldmarschall
+10 Hit/Evade to entire army while squad is deployed,"+10 Trefferchance/Ausweichen für die ganze Armee, wenn der Trupp mit ausrückt."
Bloodlust,Blutrausch
Genbu Shell Fragment,Genbu-Panzerstück
Soha's Blood Shard,Sohas Blutsplitter
Giant's Thresher,Drescher des Riesen
"Squad does +25% damage to larger Squads, and -25% damage to smaller Squads",Der Trupp fügt größeren Trupps 25 % mehr Schaden und kleineren Trupps 25 % weniger Schaden zu.
Sayunaari War Pike,Sayunaarer Kriegspike
Squad does +15% damage to Cavalry,Der Trupp fügt Kavallerie 15 % mehr Schaden zu.
Obsidian Edge,Obsidianschneide
"Squad does +25% damage to Boss Squads, only applies to Human targets",Der Trupp fügt Boss-Trupps 25 % mehr Schaden zu. Gilt nur für menschliche Ziele.
Everlasting Potion,Immerwährender Trank
Restore 20% max HP of the unit with the most missing HP at the start of combat,Stellt zu Kampfbeginn 20 % der max. LP der Einheit mit den meisten fehlenden LP wieder her.
Counterattack,Gegenangriff
Deal +25% damage while on defense.  Stacks with Black Belt,Verursacht in der Defensive 25 % mehr Schaden.  Mit „Schwarzer Gürtel“ stapelbar.
Black Belt,Schwarzer Gürtel
Deal +25% damage while counterattacking,Verursacht beim Kontern 25 % mehr Schaden.
Disarm,Entwaffnen
Resolve,Entschlossen
Immortal Spirit,Unsterblicher Geist
"Once per Chapter, this unit will survive an enemy volley that would otherwise be fatal",Die Einheit überlebt einmal pro Kapitel eine ansonsten tödliche gegnerische Attacke.
Precision,Präzision
Lithe Assault,Graziler Angriff
Concentration,Konzentration
Unscathed,Unversehrt
Assassin's Heart,Assassinenherz
Assassin's Reaper,Assassinenschnitter
Silver-Tongued,Eloquent
Warrior's Hubris,Hybris des Kriegers
Stormrook's Walls,Mauern Sturmbrochs
Squad deals +20% damage when attacking from wall to non-wall,"Der Trupp verursacht 20 % mehr Schaden, wenn er auf einer Mauer steht und das Ziel nicht."
Challenger,Herausforderer
Lucky,Glückspilz
Some people are just lucky,Manche Leute haben einfach ein unerhörtes Glück.
Treasure Hunter,Schatzjäger
Increased chance to find an item when destroying or forcing the surrender of enemy Squads,Erhöhte Chance auf einen Gegenstand bei Vernichtung oder Kapitulation gegnerischer Trupps.
Arcane Barrier,Arkane Barriere
Mentor,Mentor
Greatly improves leadership growth of subordinates.,Erhöht die Zunahme des Führungswerts von Untergebenen deutlich.
Healing Attuned,Heilende Hände
Guardian Impulse,Wächterimpuls
Gain a chance at an extra action for every ally unit below half health at the end of combat,Gewährt zum Kampfende pro verbündeter Einheit unter 50 % LP eine Chance auf eine zusätzliche Aktion.
Executioner,Henker
Overpower,Überwältigen
Deal damage to enemy Morale based on difference in STR,Schadet der gegnerischen Moral abhängig von der Differenz der STÄ-Werte.
Vengeance,Vergeltung
Bodyguard,Leibwächter
Venerable,Verehrt
Squad Leader cannot be directly targeted unless all other squad members are incapaciated,"Der Anführer kann nur direkt angegriffen werden, wenn alle Mitstreiter k. o. sind."
Dragon Affinity,Drachenaffinität
Dragons in squad gain class XP faster,Drachen im Trupp gewinnen schneller an Klassen-EP.
Light's Judgement,Urteil des Lichts
"When taking damage in battle, Diana gains Attack Power for the duration of the battle","Diana gewinnt für die Dauer des Kampfs an Angriffskraft, wenn sie Schaden erleidet."
Garrison,Garnison
Damage reduction granted from terrains is increased by 50%,Erhöht die durch Gelände gewährte Schadensreduktion um 50 %.
Soul of Sayunaa,Seele Sayunaas
"Once per Phase, Swordfighter, Swordmaster, and Blademaster will automatically strike first on defense","Einmal pro Phase schlagen Streiterinnen, Haudegen und die Klingenmeisterin in der Defensive automatisch zuerst zu."
Desert Warrior,Wüstenkrieger
Guile,Hinterlist
Unit bypasses Block and can attack any target,Die Einheit umgeht Blocken und kann jedes Ziel angreifen.
Retainer,Gefolgschaft
Jules takes 50% less damage if within 3 tiles on the tactical map,"Jules erleidet 50 % weniger Schaden, wenn er sich innerhalb von 3 Feldern auf der Karte befindet."
Tundra Warrior,Tundrakrieger
"Squad is immune to negative effects of Blizzard weather and Chill status, and gains bonus evasion in Blizzard weather and Snow terrain","Der Trupp ist immun gegen die negativen Effekte eines Schneesturms sowie den Status Unterkühlt, und sein Ausweichen ist bei Schnee oder Schneesturm erhöht."
Feline Acuity,Katzenhafte Wachsamkeit
Massive evasion boost versus stealth attacks,Gewährt einen hohen Bonus auf Ausweichen gegen Schleichangriffe.
Barek Tor Savagery,Grausamkeit der Barek Tor
"At Night, every attack is an Ambush",Nachts ist jeder Angriff ein Hinterhalt.
Scavenger,Plünderer
Thievery,Diebstahl
"On combats initiated by my squad, steal a small amount of gold from the primary target based on SKL","Stiehlt in Kämpfen, die dieser Trupp begonnen hat, dem Primärziel eine geringe Menge Gold, abhängig von der FER."
Haughty,Überheblich
Beatrix is not affected by the morale of her squad,Die Moral ihres Trupps hat keinen Einfluss auf Beatrix.
Shock and Awe,Schock
Donar's Presence,Donars Präsenz
Squads within 3 tiles are given a morale boost,Steigert die Moral von Trupps innerhalb von 3 Feldern.
Shadow,Schatten
Squad can move through tiles containing enemy Squads,Der Trupp kann Felder mit gegnerischen Trupps durchqueren.
Hand of Zanatus,Hand des Zanatus
2x damage to enemy morale from all actions and enemies will not surrender,Schadet der gegnerischen Moral mit allen Aktionen doppelt so viel. Gegner kapitulieren nicht.
Monarch,Monarch
Heavy units in Jules's Squad will always Cover him from targeted damage,Schwere Einheiten in Jules’ Trupp decken ihn immer vor gezieltem Schaden.
Mirage,Trugbild
"Gain an extra attack.  Every attack, and every counter-attack Stefan uses will be a Stealth attack",Gewährt einen zusätzlichen Angriff.  Jeder Angriff und jeder Konter von Stefan ist ein Schleichangriff.
Finish the Millenium War!,Der Jahrtausendkrieg muss enden!
The world is behind you! +20 Capacity.  Your hero heals and boosts the morale of all allies within 3 tiles,Die Welt steht hinter dir! +20 Kapazität.  Dein Charakter heilt alle Verbündeten innerhalb von 3 Feldern und erhöht ihre Moral.
Prodigy,Wunderkind
"Unit gains 20% bonus to XP, CP, and LDR growth","Gewährt der Einheit einen Bonus von 20 % auf EP-, KP- und FÜH-Gewinne."
Mercenary,Söldner
Unit is solely motivated by a pay day. +2 Capacity cost unless leader,"Die Einheit wird nur durch Geld motiviert. +2 Kapazitätskosten, wenn sie nicht der Anführer ist."
Non-Committal,Zurückhaltend
Unit is beginning to warm up to your cause. +1 Capacity cost,Die Einheit freundet sich langsam mit deiner Sache an. +1 Kapazitätskosten.
Committed,Engagiert
Unit identifies with your cause. -1 Capacity cost,Die Einheit steht hinter deiner Sache. -1 Kapazitätskosten.
Loyal,Treu
Unit feels fully dedicated to your cause. -2 Capacity cost,Die Einheit ist mit ganzem Herzen dabei. -2 Kapazitätskosten.
"Squad is faster in open terrain, and can move after attacking",Der Trupp bewegt sich auf offenem Gelände schneller und kann sich nach dem Angriff bewegen.
"Squad's move is not penalized by rough terrain, moves slightly faster indoors, can hide in and ambush from woods, swamps, and towns","Der Trupp wird nicht durch unwegsames Gelände verlangsamt, ist drinnen etwas schneller und kann in Wäldern, Sümpfen und Städten aus dem Hinterhalt angreifen."
Squad has poor physical conditioning and less battlefield movement,Der Trupp hat keine gute Kondition und kann sich auf dem Schlachtfeld weniger gut bewegen.
Squad's movement ignores terrain,Die Bewegung des Trupps ignoriert den Geländetyp.
\\N[8] - Zelos: I have dreamed of this for so long,\\N[8] – Zelos: So lange träume ich schon davon
\\N[8] and Zelos developed a deep bond.,\\N[8] und Zelos sind jetzt ein Paar.
\\N[8] - Jules: Some things shouldn't stay a secret,\\N[8] – Jules: Manche Geheimnisse muss man aussprechen
\\N[8] and Jules developed a deep bond.,\\N[8] und Jules sind jetzt ein Paar.
\\N[8] - Barnabas: A story 20 years in the making,\\N[8] – Barnabas: Nach 20 Jahren ist es nun so weit
\\N[8] and Barnabas developed a deep bond.,\\N[8] und Barnabas sind jetzt ein Paar.
"\\N[8] - Stefan: Partners in crime, forever?",\\N[8] – Stefan: Wir stecken für immer unter einer Decke
\\N[8] and Stefan developed a deep bond.,\\N[8] und Stefan sind jetzt ein Paar.
\\N[8] - Lysander: Intellectual supernova,\\N[8] – Lysander: Ein Geistesblitz nach dem anderen
\\N[8] and Lysander developed a deep bond.,\\N[8] und Lysander sind jetzt ein Paar.
\\N[8] - Jaromir: A very straight-forward proposal,\\N[8] – Jaromir: Ein unverblümter Antrag
\\N[8] and Jaromir developed a deep bond.,\\N[8] und Jaromir sind jetzt ein Paar.
\\N[8] - Sybil: I can be your refuge,\\N[8] – Sybil: Findet eine Zuflucht in mir
\\N[8] and Sybil developed a deep bond.,\\N[8] und Sybil sind jetzt ein Paar.
\\N[8] - Jules: Fancy meeting you here,\\N[8] – Jules: Ihr seid auch hier?
\\N[8] and Jules have become friends.,\\N[8] und Jules haben Freundschaft geschlossen.
\\N[8] - Barnabas: Mentor or mentee?,\\N[8] – Barnabas: Wer lehrt hier wen?
\\N[8] - Stefan: Tidereaver scum,\\N[8] – Stefan: Die dreckigen Gezeitenräuber
\\N[8] and Stefan have become friends.,\\N[8] und Stefan haben Freundschaft geschlossen.
\\N[8] - Stefan: Rogue with a heart of gold,\\N[8] – Stefan: Harter Schurke mit einem weichen Kern
\\N[8] - Raskuja: Legends of the Barek Tor,\\N[8] – Raskuja: Legenden der Barek Tor
\\N[8] and Raskuja have become friends.,\\N[8] und Raskuja haben Freundschaft geschlossen.
\\N[8] - Raskuja: Heart of the jungle,\\N[8] – Raskuja: Herz des Dschungels
\\N[8] - Lysander: Ponderings on modernity,\\N[8] – Lysander: Sinnieren über die Moderne
Diana - Stefan: Cannot deny our destiny,Diana – Stefan: Wir müssen unserer Bestimmung folgen
Diana and Stefan have developed a deep bond.,Diana und Stefan sind jetzt ein Paar.
Diana - Lysander: You are better than this,Diana – Lysander: Ihr seid mehr als nur das
Diana and Lysander have become friends.,Diana und Lysander haben Freundschaft geschlossen.
Diana - Lysander: An impolite inquiry,Diana – Lysander: Eine unhöfliche Nachfrage
Diana - Lysander: Subtlety is a lost art,Diana – Lysander: Dezenz ist eine vergessene Tugend
Diana - Jaromir: Old-fashioned fella,Diana – Jaromir: Ein Mann der alten Schule
Diana and Jaromir have developed a deep bond.,Diana und Jaromir sind jetzt ein Paar.
Beatrix - Jules: Spending social capital,Beatrix – Jules: Wohlwollen nutzen
Beatrix and Jules have become friends.,Beatrix und Jules haben Freundschaft geschlossen.
Beatrix - Jules: Redheads're nice,Beatrix – Jules: Rotschöpfe sind die hübschesten
Beatrix and Jules have developed a deep bond.,Beatrix und Jules sind jetzt ein Paar.
Sybil - Jules: Walk this life with me,Sybil – Jules: Geht an meiner Seite
Sybil and Jules have developed a deep bond.,Sybil und Jules sind jetzt ein Paar.
Sybil - Barnabas: Still got that spark,Sybil – Barnabas: Der Funke ist noch nicht verloschen
Sybil and Barnabas have developed a deep bond.,Sybil und Barnabas sind jetzt ein Paar.
Abigayle - Zelos: Nice guys never win,Abigayle – Zelos: Mit Nettigkeit kommt man nicht weiter
Zelos and Abigayle have developed a deep bond.,Zelos und Abigayle sind jetzt ein Paar.
"Narima - Stefan: Failed pickup artist, part 1","Narima – Stefan: Möchtegern-Casanova, Teil 1"
"Narima - Stefan: Failed pickup artist, part 2","Narima – Stefan: Möchtegern-Casanova, Teil 2"
Edelia - Lysander: Crossing sacred boundaries,Edelia – Lysander: Jenseits geheiligter Grenzen
Edelia and Lysander have developed a deep bond.,Edelia und Lysander sind jetzt ein Paar.
Narima - Stefan: Failed pickup art... wait,Narima – Stefan: Möchtegern-Casa… bitte was?
Narima and Stefan have developed a deep bond.,Narima und Stefan sind jetzt ein Paar.
Narima - Jules: Only a King to melt her heart,Narima – Jules: Dieses Herz kann nur ein König erobern
Narima and Jules have developed a deep bond.,Narima und Jules sind jetzt ein Paar.
\\N[8] - Diana: I see the real you...,\\N[8] – Diana: Ich sehe Euer wahres Ich …
Diana and \\N[8] have developed a deep bond.,Diana und \\N[8] sind jetzt ein Paar.
\\N[8] - Diana: Doctrine of the Temple,\\N[8] – Diana: Doktrin des Tempels
\\N[8] and Diana have become friends.,\\N[8] und Diana haben Freundschaft geschlossen.
\\N[8] - Diana: Deeper dive into the Nephilim,\\N[8] – Diana: Genaueres über die Nephilim
\\N[8] - Beatrix: The Pendergast fortune,\\N[8] – Beatrix: Reichtum der Pendergasts
"\\N[8] - Beatrix: Siren, or Succubus?",\\N[8] – Beatrix: Sirene oder Sukkubus?
Beatrix \\N[8] have developed a deep bond.,Beatrix und \\N[8] sind jetzt ein Paar.
\\N[8] - Sybil: Why are you so angry?,\\N[8] – Sybil: Warum seid Ihr so wütend?
Sybil and \\N[8] have developed a deep bond.,Sybil und \\N[8] sind jetzt ein Paar.
\\N[8] - Abigayle: Instant chemistry,\\N[8] – Abigayle: Die Chemie stimmt
Abigayle and \\N[8] have developed a deep bond.,Abigayle und \\N[8] sind jetzt ein Paar.
\\N[8] - Narima: Can we take on the world?,\\N[8] – Narima: Können wir es mit der Welt aufnehmen?
Narima and \\N[8] have developed a deep bond.,Narima und \\N[8] sind jetzt ein Paar.
\\N[8] - Zelos: Unbreakable together,\\N[8] – Zelos: Gemeinsam sind wir unschlagbar
Zelos and \\N[8] have developed a deep bond.,Zelos und \\N[8] sind jetzt ein Paar.
Sybil - Jules: Red oni and blue oni,Sybil – Jules: Der rote und der blaue Oni
Zelos - Barnabas: Master Sergeant forever,Zelos – Barnabas: Hauptfeldwebel für alle Zeiten
Zelos and Barnabas have become friends.,Zelos und Barnabas haben Freundschaft geschlossen.
\\N[8] - Narima: Noble warrior of Sayunaa,\\N[8] – Narima: Edle Kriegerin Sayunaas
\\N[8] - Abigayle: Princess of the Snow,\\N[8] – Abigayle: Schneeprinzessin
\\N[8] - Lysander: Shock and awe,\\N[8] – Lysander: Was für ein Schock
Lysander and \\N[8] have become friends.,Lysander und \\N[8] haben Freundschaft geschlossen.
\\N[8] - Lysander: Different kind of battlefield,\\N[8] – Lysander: Ein Schlachtfeld der anderen Art
Sybil - Abigayle: Bonded,Sybil – Abigayle: Blutpakt
Sybil and Abigayle have become blood sisters.,Sybil und Abigayle sind jetzt Blutsschwestern.
Abigayle will cost half Capacity in Sybil's Squad.,Abigayle kostet in Sybils Trupp die halbe Kapazität.
Sybil will cost half Capacity in Abigayle's Squad.,Sybil kostet in Abigayles Trupp die halbe Kapazität.
Beatrix - Lysander: What's your angle?!,Beatrix – Lysander: Was führt Ihr im Schilde?!
Diana - Zelos: Demons of dark and light,Diana – Zelos: Dämonen des Lichts und des Schattens
\\N[8] - Beatrix: Is this the real you?,\\N[8] – Beatrix: Ist das Euer wahres Ich?
"Barnabas - Zelos: Son, and I am disappoint","Barnabas – Zelos: Ich bin enttäuscht, mein Junge"
Stefan - Diana: Broken,Stefan – Diana: Am Boden zerstört
Stefan - Lysander: Airships,Stefan – Lysander: Luftschiffe
Stefan and Lysander have become friends.,Stefan und Lysander haben Freundschaft geschlossen.
Sybil - Diana: Self Sabotage,Sybil – Diana: Sabotage an der eigenen Sache
Stefan - Abigayle: Last flame of Donar,Stefan – Abigayle: Donars letzte Flamme
Stefan has been friend-zoned.,Stefan muss sich mit einer Freundschaft begnügen.
\\N[8] - Jaromir: Bulwark of the North,\\N[8] – Jaromir: Bollwerk des Nordens
Jules - Barnabas: Patience,Jules – Barnabas: Geduld
Sybil - Barnabas: Friendly Ribbing?,Sybil – Barnabas: Freundschaftliches Necken?
Sybil and Barnabas have become friends.,Sybil und Barnabas haben Freundschaft geschlossen.
Stefan - Diana: Keeping Up Appearances,Stefan – Diana: Die Fassade aufrechterhalten
\\N[8] - Lysander: White Flag of War,\\N[8] – Lysander: Weiße Kriegsflagge
Narima - Jules: Ghosts of Ezrum,Narima – Jules: Die Geister Ezrums
Narima - Jaromir: Of the Snow and Sand,Narima – Jaromir: Schnee und Sand
Narima and Jaromir have become friends.,Narima und Jaromir haben Freundschaft geschlossen.
"Jules - Barnabas: Melmonde, Sweet Home",Jules – Barnabas: Die traute Heimat Melmonde
Jules and Barnabas have become friends.,Jules und Barnabas haben Freundschaft geschlossen.
Beatrix - Lysander: Wha... Really?!,Beatrix – Lysander: Wa… Wirklich?!
Beatrix and Lysander have developed a deep bond.,Beatrix und Lysander sind jetzt ein Paar.
Academy of War,Kriegsakademie
Tactics and Command,Taktik und Kommando
Crafts and Technology,Fertigung und Technologie
Apprentice Training,Ausbildung
Unlocks a recruitment slot for apprentices.,Schaltet einen Rekrutierungsplatz für Lehrlinge frei.
Mentorship,Mentorschaft
"Non-leader Units in Squads now gain LDR at a modest rate, up to below 10 of the Squad Leader's current LDR stat.","Einheiten außer dem Anführer gewinnen allmählich an FÜH, bis zu maximal 10 weniger als dem aktuellen FÜH-Wert des Anführers."
Merchant Envoys,Fliegende Händler
"Expands the Mercenary and Item Trader pools, giving us more opportunity to hire experienced warriors and purchase exotic Artifacts.","Erweitert das Angebot an Söldnern und beim Gegenstandshändler, sodass wir mehr erfahrene Krieger anheuern und exotische Artefakte kaufen können."
Zones of Control,Kontrollierte Bereiche
Enemy squads incur a movement penalty when moving between tiles that are adjacent to our Infantry type squads.,"Die Bewegung feindlicher Trupps über Felder, die unseren Infanterietrupps benachbart sind, kostet mehr."
Battle Medics,Erfahrene Sanitäter
All 'Support' classes gain +20 Maximum HP.,Erhöht die maximalen LP aller Unterstützungsklassen um 20.
Army Stables,Armeestall
"It is now easier for our Cavalry Squads to achieve a Charge attack. Instead of requiring having moved 7 tiles before attacking, now they can move 6 tiles to achieve the same effect.","Unseren Kavallerietrupps fällt es nun leichter, einen Sturmangriff auszuführen. Statt 7 müssen sie sich vor dem Angriff nur noch um 6 Felder bewegen."
Mixed Unit Tactics,Taktik: Einheitenvielfalt
"Each unit gains +3 Weapon Power for each unit of a different type added to the Squad, starting with the 2nd unit type.",Ab dem 2. Einheitentyp erhalten alle Einheiten +3 Waffenkraft pro Einheit eines anderen Typs im Trupp.
Identify Command Structure,Analyse der Befehlshierarchie
We now have the ability to use the 'Target Leader' attack type.,Wir können jetzt den Angriffstyp „Anführer anvisieren“ einsetzen.
Psych Warfare,Psychologische Kriegsführung
Defeating enemy squad leader causes even more Morale damage.,"Die feindliche Moral nimmt noch mehr Schaden, wenn der Anführer besiegt wird."
Standing Army,Stehendes Heer
"All new Conscripts start at +1 Level, and with half Class Mastery of their starting class.",Alle neuen Freiwilligen haben ein um 1 erhöhtes Level und ihre Anfangsklasse zur Hälfte gemeistert.
Adept Artificer,Werkmeisterexperte
"Unlocks a second Artifact slot, allowing us to further customize our squads.","Schaltet einen 2. Artefaktplatz frei, sodass wir unsere Trupps weiter anpassen können."
Crossbow Forging,Armbrustbau
"We can now construct Crossbows, unlocking the Crossbowmen class.","Wir können jetzt Armbrüste anfertigen, was uns Zugriff auf die Klasse der Armbrustschützen gewährt."
Adept Metallurgy,Metallurgieexperte
Grants Heavy Infantry and Heavy Cavalry +25 MaxHP.,Erhöht die maximalen LP von schwerer Infanterie und schwerer Kavallerie um 25.
Steel Forging,Stahlschmiede
Improved Steel Plate Armor grants our Heavy Infantry and Heavy Cavalry +5 Armor.,Verbesserte Stahlplattenrüstungen erhöhen die Rüstung unserer schweren Infanterie und schweren Kavallerie um 5.
Journeyman Leathercraft,Lederverarbeitergeselle
"Our Light Armor has advanced, enhancing the Armor of all Light Infantry, Light Cavalry, Archery, and Firearms units gain +5 Armor.","Durch Weiterentwicklung unserer leichten Rüstungen wird die Rüstung für leichte Infanterie, leichte Kavallerie, Bogenschützen und Feuerwaffeneinheiten um 5 erhöht."
Dragon Trainer,Drachenausbilder
"Familiarity with Dracology has given our Drakelings, Dragons, and Dragon Riders 25% faster Class Mastery gain from combat and a slightly increased chance to appear as mercenaries.","Durch unsere Fortschritte in der Drakologie gewinnen unsere Drachlinge, Drachen und Drachenreiter im Kampf 25 % schneller an Klassenmeisterung und erscheinen etwas häufiger als Söldner."
Martial Traditions,Kampfkunsttradition
All units gain Class Mastery 15% faster.,Alle Einheiten gewinnen 15 % schneller an Klassenmeisterung.
Warhorse Husbandry,Kriegsrosszucht
"Advanced breeding techniques have resulted in larger, hardier war horses. All Cavalry gains +50 Maximum HP.","Fortschritte in der Pferdezucht gewähren uns größere, robustere Kriegsrösser. Erhöht die maximalen LP für Kavallerie um 50."
Sisterhood of Justice,Schwesternschaft des Rechts
"Acolytes, Paladins, Valkyries, Exemplar, and Titan receive an additional bonus to Magic Resistance based on a portion of their Armor.","Akolythinnen, Paladine, Walküren, der Glaubensritter und die Titanin erhalten abhängig von ihrer Rüstung einen zusätzlichen Bonus auf ihre Magieresistenz."
Sisterhood of Mercy,Schwesternschaft der Gnade
"Medic, Priestess, Templar, Hospitaller take 25% less damage with Paladin, Valkyrie, Exemplar or Titan in the same Squad","Heilerinnen, Priesterinnen, Templerinnen und Professritterin erleiden 25 % weniger Schaden, wenn sich Paladin, Walküre, Glaubensritter oder Titanin im selben Trupp befinden."
Strategic Maneuvers,Strategische Manöver
Cavalry squads now deal significant Morale damage when attacking with a Charge Attack.,"Kavallerietrupps schaden der feindlichen Moral nun erheblich, wenn sie einen Sturmangriff ausführen."
Polearm Mastery,Meisterung: Stangenwaffen
Polearm units now grant bonus attack and defense versus melee to any adjacent unit.,Stangenwaffeneinheiten gewähren benachbarten Einheiten Boni auf Angriff und Verteidigung gegen Nahkampfeinheiten.
Adaptive Battlefield Command,Flexibles Schlachtfeldkommando
We now have the ability to use the 'Aggressive' and 'Cautious' attack types.,Wir können jetzt die Angriffstypen „Aggressiv“ und „Vorsichtig“ einsetzen.
Popular Support,Rückhalt beim Volk
"Squads gain a Morale bonus when within 3 tiles of a Base, Village, or Town owned by our faction.","Truppen erhalten einen Moralbonus, wenn sie sich innerhalb von 3 Feldern um eine Basis, ein Dorf oder eine Stadt befinden, die uns gehören."
Advanced Archery Technique,Fortschrittliche Bogenschießtechnik
+1 arrows fired (from 3 to 4) by Archery units at 2 or more range.,Bogenschützeneinheiten verschießen bei Angriffen aus mindestens 2 Feldern Distanz 1 zusätzlichen Pfeil (also 4 statt 3).
Journeyman Artificer,Werkmeistergeselle
"Unlocks a 3rd Artifact slot, allowing us maximum customizability for our squads.","Schaltet einen 3. Artefaktplatz frei, sodass wir unsere Trupps optimal anpassen können."
Advanced Crossbows,Fortschrittliche Armbrüste
Crossbowmen and Rangers gain an additional 25% bonus damage against Heavy Infantry and Heavy Cavalry.,Gewährt Armbrustschützen und Waldläufern zusätzlich 25 % Bonusschaden gegen schwere Infanterie und schwere Kavallerie.
Advanced Material Science,Fortschrittliche Materialforschung
Grants Heavy Infantry and Heavy Cavalry +25 Max HP for a cumulative effect of +50. Unlocks powerful firearms technologies.,Erhöht die maximalen LP von schwerer Infanterie und schwerer Kavallerie um 25. Sie sind also um insgesamt 50 erhöht. Schaltet mächtige Feuerwaffentechnologien frei.
Obsidian Forging,Obsidianschmieden
"Now that we have a grasp on the powerful and rare metal named Obsidian, we can use it to enhance our existing Steel Plate Armor, granting Heavy Infantry and Heavy Cavalry an additional +5 Armor.","Nachdem wir das mächtige, seltene Metall Obsidian nun besser verstehen, können wir unsere Stahlplattenrüstungen damit verbessern. Erhöht die Rüstung von schwerer Infanterie und Kavallerie um 5."
Behemoth Leather Armor,Behemoth-Lederrüstung
"Using hides from the fearsome Behemoth, we can further enhance our Light Armor. Light Infantry, Light Cavalry, Archers, and Firearms gain an additional +5 to Armor.","Wir können leichte Rüstung mithilfe von Behemothhäuten Behemoths weiter verbessern. Erhöht die Rüstung von leichter Infanterie und Kavallerie, Bogenschützen und Feuerwaffeneinheiten um 5."
Mage Regiments,Magische Regimenter
"All 'Magician' and 'Support' classes are now of the 'Normal' unit type rather than 'Slow', and Magician attacks decay in power more slowly when used consecutively.",Alle Unterstützungs- und Zauberwirkerklassen haben jetzt den Einheitentyp „Normal“ statt „Langsam“. Die Angriffe von Zauberwirkern werden bei mehreren Einsätzen in Folge nicht so schnell schwächer.
Magician's Initiative,Initiative der Zauberwirker
Spells that have a charge-up turn can now be cast on the first turn of battle when on offense.,"In der Offensive können Zauber, die erst eine Runde lang aufgeladen werden müssen, jetzt in der ersten Runde eingesetzt werden."
Hex Mastery,Meister der Verhexung
Status effects from Magician and Dragon breath attacks have an increased chance to be inflicted.,"Erhöht die Chance, dass Zauberwirker- und Drachenatemangriffe Statuseffekte verursachen."
Spirit Piercing,Geistdurchdringung
Magician and Dragon breath attacks ignore 25% of the target's resistance.,Zauberwirker- und Drachenatemangriffe ignorieren 25 % der Resistenz des Ziels.
Advanced Mobile Warfare,Fortschrittliche Mobilisierung
Dragoons are now 'Light Cavalry' move type.,Dragoner haben jetzt den Bewegungstyp von leichter Kavallerie.
Advanced Flanking,Fortgeschrittenes Flankieren
+15% Attack power when engaging in close range battles for each allied squad that is adjacent to the target enemy squad.,"Erhöht bei Kämpfen aus kurzer Distanz die Angriffskraft um 15 % pro verbündetem Trupp, der dem gegnerischen Zieltrupp benachbart ist."
Optimized Tactics,Optimierte Taktik
Improves effects of most special tactics.,Verbessert die Wirksamkeit der meisten Spezialtaktiken.
