ENGLISH,PORTUGUÊS (BRASIL)
"Date: Year 999\\PARLocation: Stormrook, Rimorgue, banks of the Herald River\\PARBelligerents: Nephilim Army, Empire of Archaelus and Followers of Zanatus\\PARResult: Decisive Nephilim Army victory, near total destruction of the Empire of Archaelus military forces\\PARTerritory changes: Nephilim Army annexes Stormrook, Rimorgue, Fort Eureeka\\PARCasualties: 6,000 military deaths","Data: Ano 999\\PARLocal: Torre-tempesta, Rimorgue, bancos do Rio Arauto\\PARBeligerantes: Exército Nephilim, Império de Archaelus e Seguidores de Zanatus\\PARResultado: Vitória decisiva do Exército Nephilim, destruição quase total das forças militares do Império de Archaelus\\PARMudanças de território: Exército Nephilim anexa Torre-tempesta, Rimorgue, Forte Eureka\\PARBaixas: 6.000 mortes militares"
Nephilim Millennium War,Guerra Milenar Nephilim
"Date: Year 997-999\\PARLocation: Veridia, Sayunaa, and Sandraka\\PARBelligerents: Nephilim Army vs Empire of Archaelus, Followers of Zanatus, with Kingdom of Sayunaa changing alliances\\PARResult: Utter defeat and unconditional surrender of the Empire of Archaelus.\\PARTerritory changes: All territory under the provisional military government\\PARCasualties: 25,000 military deaths\\PARA struggle that will sound through the ages as a climactic point in history. Starting just from a small hideout, the Avatar of Donar built an army and dismantled the Empire of Archaelus piece by piece with stunning efficiency until the death of Emperor Casamir finally led to the end of the war.\\PARHistorians look at the staggering disparity in power between the beginnings of the war, and conclude that the Nephilim Army's victory can be attributed to several factors that crippled Archaelus Imperial war efforts. Casamir's ability to directly administer most elements of his government was minimal throughout his reign, making his role largely ceremonial. The institutional power lied with the Followers of Zanatus, who committed massive resources and manpower to the dismantling of the Donari Temple, the child abduction and reeducation efforts, and the domestic campaign to root out potential enemies of the state. For much of year 999, the Nephilim Army was merely a minor nuissance to Imperial leadership, only registering as a threat when it was far too late to turn the tide.","Data: Anos 997-999\\PARLocal: Veridia, Sayunaa e Sandraka\\PARBeligerantes: Exército Nephilim vs Império de Archaelus, Seguidores de Zanatus, com o Reino de Sayunaa mudando de alianças\\PARResultado: Derrota total e rendição incondicional do Império de Archaelus.\\PARMudanças de território: Todo o território sob o governo militar provisório\\PARBaixas: 25.000 mortes militares\\PARUma luta que soará através dos tempos como um ponto culminante na história. Começando apenas com um pequeno esconderijo, o Avatar de Donar construiu um exército e desmantelou o Império de Archaelus peça por peça com impressionante eficiência até que a morte do Imperador Casamir finalmente levou ao fim da guerra.\\PAROs historiadores observam a impressionante disparidade de poder entre o início da guerra e concluem que a vitória do Exército Nephilim pode ser atribuída a vários fatores que prejudicaram os esforços de guerra do Império de Archaelus. A capacidade de Casamir de administrar diretamente a maioria dos elementos de seu governo foi mínima durante todo o seu reinado, tornando seu papel amplamente cerimonial. O poder institucional estava com os Seguidores de Zanatus, que comprometeram recursos maciços e mão-de-obra para o desmantelamento do Templo Donari, o sequestro de crianças e os esforços de reeducação, além da campanha doméstica para erradicar potenciais inimigos do Estado. Durante grande parte do ano 999, o Exército Nephilim foi apenas um pequeno incômodo para a liderança imperial, apenas registrado como uma ameaça quando já era tarde demais para inverter a maré."
Character stat: STR (Strength),Atributo do personagem: FOR (Força)
"Determines ability to deal physical damage, also offers some physical resistance. Influences Dragon breath damage.","Determina a capacidade de causar dano físico, também oferece alguma resistência física. Influencia o dano do sopro do Dragão."
Character stat: SKL (Skill),Atributo do personagem: HAB (Habilidade)
"Determines hit rate, critical hits, evasion, and glancing blows.","Determina taxa de acerto, acertos críticos, evasão e golpes de raspão."
Character stat: MAG (Magic),Atributo do personagem: MAG (Magia)
Affects ability to deal Magic damage and healing power. Also determines Magic Defense. Influences Dragon breath damage.,Afeta a capacidade de causar dano mágico e poder de cura. Também determina a Defesa Mágica. Influencia o dano do sopro do Dragão.
Character stat: LDR (Leadership),Atributo do personagem: LID (Liderança)
Determines Squad Capacity. Capacity determines how many units and artifacts can be added to a Squad.,Determina a capacidade do esquadrão. A capacidade determina quantas unidades e artefatos podem ser adicionados a um Esquadrão.
Affinity,Afinidade
"Every unit in Tahnra is born with Affinity. These include, in order of most common to least common: Earth, Water, Lightning, Fire, Darkness, and Light.","Cada unidade em Tahnra nasce com afinidade, que incluem, em ordem do mais comum para o menos comum: Terra, Água, Trovão, Fogo, Trevas e Luz."
"Bond, Family, Friendship","Vínculo, Família, Amizade"
"Characters start with, and can further develop Friendships, Deep Bonds, and even become Family, through Home Base Conversations.\\PARThese grant mutual bonuses to Morale when within 3 tiles of each other.","Os personagens começam e podem desenvolver amizades, laços profundos e até mesmo se tornar uma família, por meio de conversas na Base principal.\\PAREles concedem bônus mútuos ao moral quando estão a 3 espaços um do outro."
Character stat: Armor,Atributo do personagem: Armadura
"Determines physical damage mitigation. Is largely determined by what class a unit currently is, rather than growths over time.","Determina a redução de danos físicos. É amplamente determinado por qual classe uma unidade pertence atualmente, em vez de aumentar ao longo do tempo"
Surrenders and Force Surrender Tactic,Rendição e tática de rendição forçada
"Force Surrender is a type of attack you can use, which gives the target a chance to Surrender. If this ask fails and the enemy refuses, battle will start, and you will lose your first volley. Any enemies destroyed in this attack will have a second chance to surrender.\\PARSurrender is a greater victory than outright destroying an enemy Squad. We will get a gold bounty at the end of the Chapter in exchange for the Prisoners of War captured via Surrenders, in addition to some Faction Rank XP.","Forçar rendição é um tipo de ataque que você pode usar, que dá ao alvo a chance de se render. Se essa requisição falhar e o inimigo recusar, a batalha começará e você perderá sua primeira oportunidade. Qualquer inimigo destruído neste ataque terá uma segunda chance de se render.\\PARA rendição é uma vitória maior do que destruir completamente um esquadrão inimigo. Receberemos uma recompensa de ouro no final do Capítulo em troca dos Prisioneiros de Guerra capturados por meio de Rendições, além de um valor de EXP do Ranque de Facção."
Class: Fighter,Classe: Lutador
Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: -\\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: -,Pode ser líder do esquadrão: Não\\PARNível: 1\\PARTipo de unidade: Infantaria pesada\\PARTipo de movimento: Normal\\PARRecursos necessários: -\\PARAções de batalha: 2 ataques de corte a 1 espaço de distância\\PAREspecial: -
Class: Bowman,Classe: Arqueirito
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Archery\\PARMovement Type: Normal\\PARResources Required: -\\PARBattle Actions: 2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial: -",Pode ser líder do esquadrão: Não\\PARNível: 1\\PARTipo de unidade: Arquearia\\PARTipo de movimento: Normal\\PARRecursos necessários: -\\PARAções de batalha: 2 ataques de arco a 1 espaço de distância ou 1 ataque de arco certeiro a 2 espaços de distância\\PAREspecial: -
Class: Militia,Classe: Milícia
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required: -\\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: Increased evasion in woods, townscape, hills, and swamp","Pode ser líder do esquadrão: Não\\PARNível: 1\\PARTipo de unidade: Infantaria leve\\PARTipo de movimento: Leve\\PARRecursos necessários: -\\PARAções de batalha: 2 ataques de corte a 1 espaço de distância\\PAREspecial: Evasão aumentada em bosque, cenário urbano, colinas e pântano"
Class: Medic,Classe: Médica
Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Support\\PARMovement Type: Slow\\PARResources Required: -\\PARBattle Actions: 1 Heal of the weakest ally\\PARSpecial: Can use a Squad's turn to heal members of an adjacent Squad,Pode ser líder do esquadrão: Não\\PARNível: 1\\PARTipo de unidade: Apoio\\PARTipo de movimento: Lento\\PARRecursos necessários: -\\PARAções de batalha: 1 cura do aliado mais fraco\\PAREspecial: Pode usar o turno do esquadrão para curar membros de um esquadrão adjacente
Class: Soldier,Classe: Soldado
Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 1 Iron\\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: -,Pode ser líder do esquadrão: Sim\\PARNível: 2\\PARTipo de unidade: Infantaria pesada\\PARTipo de movimento: Normal\\PARRecursos necessários: 1 de ferro\\PARAções de batalha: 2 ataques de corte a 1 espaço de distância\\PAREspecial: -
Class: Spearman,Classe: Lanceiro
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 1 Iron\\PARBattle Actions: 2 Polearm attacks at 1 range\\PARSpecial: +15% Damage Dealt if adjacent to another Polearm user in the same row, +35% Damage dealt to Cavalry units","Pode ser líder do esquadrão: Sim\\PARNível: 2\\PARTipo de unidade: Infantaria pesada\\PARTipo de movimento: Normal\\PARRecursos necessários: 1 de ferro\\PARAções de batalha: 2 ataques de armas de haste a 1 espaço\\PAREspecial: +15% de dano causado se adjacente a outro usuário de arma de haste na mesma fileira, +35% de dano causado a unidades de cavalaria"
Class: Acolyte,Classe: Acolita
Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 1 Iron\\PARBattle Actions: 2 Striking attacks at 1 range\\PARSpecial: Resists Magic and Dragon Breath attacks by 25% of this unit's Armor value,Pode ser líder do esquadrão: Sim\\PARNível: 2\\PARTipo de unidade: Infantaria pesada\\PARTipo de movimento: Normal\\PARRecursos necessários: 1 de ferro\\PARAções de batalha: 2 ataques físicos a 1 espaço de distância\\PAREspecial: Resiste a magia e a ataques de sopro de dragão em 25% do valor da armadura da unidade
Class: Cavalier,Classe: Montaria
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Heavy Cavalry\\PARMovement Type: Fast\\PARResources Required: 1 Iron, 1 Horse\\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: On offense, if Squad moved maximum possible range, this unit's 1st attack is a 'Charge Attack' which can Stun the target","Pode ser líder do esquadrão: Sim\\PARNível: 2\\PARTipo de unidade: Cavalaria pesada\\PARTipo de movimento: Rápido\\PARRecursos necessários: 1 de ferro, 1 cavalo\\PARAções de batalha: 2 ataques de corte a 1 espaço de distância\\PAREspecial: No ataque, se o esquadrão se mover ao alcance máximo possível, o primeiro ataque desta unidade é um “Ataque de carga”, que pode atordoar o alvo"
Class: Skirmisher,Classe: Escaramuçador
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required: -\\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: Increased evasion in woods, townscape, hills, and swamp","Pode ser líder do esquadrão: Sim\\PARNível: 2\\PARTipo de unidade: Infantaria leve\\PARTipo de movimento: Leve\\PARRecursos necessários: -\\PARAções de batalha: 2 ataques de corte a 1 espaço de distância\\PAREspecial: Evasão aumentada em bosque, cenário urbano, colinas e pântano"
Class: Rogue,Classe: Ladino
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required: -\\PARBattle Actions: On Offense, 1 Stealth Attack at 1 range, followed by 1 Slashing attack at 1 range. On Defense, 2 Slashing attacks at 1 range\\PARSpecial: When on Offense, first attack can hit the back row of the target Squad with increased damage","Pode ser líder do esquadrão: Sim\\PARNível: 2\\PARTipo de unidade: Infantaria leve\\PARTipo de movimento: Leve\\PARRecursos necessários: -\\PARAções de batalha: No ataque, 1 ataque furtivo a 1 espaço, seguido por 1 ataque de corte a 1 espaço. Na defesa, 2 ataques de corte a 1 espaço\\PAREspecial: Quando na ofensiva, o primeiro ataque pode atingir a fileira de trás do esquadrão alvo com dano aumentado"
Class: Swordfighter,Classe: Espadachim
Class: Scout,Classe: Batedor
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Light Cavalry\\PARMovement Type: Light, Fast\\PARResources Required: 1 Horse\\PARBattle Actions: 2 Polearm attacks at 1 range\\PARSpecial: On offense, if Squad moved maximum possible range, this unit's 1st attack is a 'Charge Attack' which can Stun the target, +35% Damage dealt to Cavalry units. Increased evasion in woods, townscape, hills, and swamp. +50% Evasion on offense.","Pode ser líder do esquadrão: Sim\\PARNível: 2\\PARTipo de unidade: Cavalaria Leve\\PARTipo de movimento: Leve, rápida\\PARRecursos necessários: 1 cavalo\\PARAções de batalha: 2 ataques de arma de haste a 1 espaço de distância\\PAREspecial: No ataque, se o esquadrão se mover ao alcance máximo possível, o primeiro ataque desta unidade é um “Ataque de carga”, que pode atordoar o alvo, +35% do dano causado a unidades de cavalaria. Evasão aumentada em bosque, cenário urbano, colinas e pântano. +50% de evasão no ataque."
Class: Archer,Classe: Arqueiro
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Archery\\PARMovement Type: Normal\\PARResources Required: -\\PARBattle Actions: 2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial: -",Pode ser líder do esquadrão: Sim\\PARNível: 2\\PARTipo de unidade: Arquearia\\PARTipo de movimento: Normal\\PARRecursos necessários: -\\PARAções de batalha: 2 ataques de arco a 1 espaço de distância ou 1 ataque de arco certeiro a 2 espaços de distância\\PAREspecial: -
Class: Crossbowman,Classe: Besteiro
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Archery\\PARMovement Type: Normal\\PARResources Required: 1 Iron\\PARBattle Actions: 2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial: Attacks ignore 25% of Armor, damage derived from Weapon Power, not STR","Pode ser líder do esquadrão: Sim\\PARNível: 2\\PARTipo de unidade: Arquearia\\PARTipo de movimento: Normal\\PARRecursos necessários: 1 de ferro\\PARAções de batalha: 2 ataques de arco a 1 espaço de distância ou 1 ataque de arco certeiro a 2 espaços de distância\\PAREspecial: Ataques ignoram 25% da armadura, dano derivado do poder da arma, não de FOR"
Class: Horsebow,Classe: Arqueiro de montaria
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Archery\\PARMovement Type: Light, Fast\\PARResources Required: 1 Horse\\PARBattle Actions: 2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial:  +50% Evasion on offense.","Pode ser líder do esquadrão: Sim\\PARNível: 2\\PARTipo de unidade: Arquearia\\PARTipo de movimento: Leve, rápida\\PARRecursos necessários: 1 cavalo\\PARAções de batalha: 2 ataques de arco a 1 espaço de distância ou 1 ataque de arco certeiro a 2 espaços de distância\\PAREspecial: +50% de evasão no ataque."
Class: Priestess,Classe: Sacerdotisa
Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Support\\PARMovement Type: Slow\\PARResources Required: 1 Gem\\PARBattle Actions: 1 Heal of the weakest ally\\PARSpecial: Can use a Squad's turn to heal members of an adjacent Squad,Pode ser líder do esquadrão: Sim\\PARNível: 2\\PARTipo de unidade: Apoio\\PARTipo de movimento: Lento\\PARRecursos necessários: 1 gema\\PARAções de batalha: 1 cura do aliado mais fraco\\PAREspecial: Pode usar o turno do esquadrão para curar membros de um esquadrão adjacente
Class: Apprentice,Classe: Aprendiz
Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: 1 Gem\\PARBattle Actions: 1 Fire Magic attacks at 1 range\\PARSpecial: -,Pode ser líder do esquadrão: Sim\\PARNível: 2\\PARTipo de unidade: Mago\\PARTipo de movimento: Lento\\PARRecursos necessários: 1 gema\\PARAções de batalha: 1 ataques de magia de fogo a 1 espaço de distância\\PAREspecial: -
Class: Siren,Classe: Sereia
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: 1 Gem\\PARBattle Actions: 1 Dark Magic attack 1 range\\PARSpecial: Chance to Stun or Daze targets. Daze lowers enemy STR for the duration of the battle, while Stun completely negates one enemy turn","Pode ser líder do esquadrão: Sim\\PARNível: 2\\PARTipo de unidade: Mago\\PARTipo de movimento: Lento\\PARRecursos necessários: 1 gema\\PARAções de batalha: 1 ataques de magia das trevas a 1 espaço de distância\\PAREspecial: Chance de atordoar ou confundir alvos. Confusão reduz a FOR do inimigo durante a batalha, enquanto Atordoar nega ao inimigo um turno completo"
Class: Sentinel,Classe: Protetor
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 3 Iron\\PARBattle Actions: 2 Polearm attacks at 1 range\\PARSpecial: +15% Damage Dealt if adjacent to another Polearm user in the same row, -50% damage taken from Firearm attacks, +35% Damage dealt to Cavalry units","Pode ser líder do esquadrão: Sim\\PARNível: 3\\PARTipo de unidade: Infantaria pesada\\PARTipo de movimento: Normal\\PARRecursos necessários: 3 de ferro\\PARAções de batalha: 2 ataques de armas de haste a 1 espaço\\PAREspecial: +15% de dano causado se adjacente a outro usuário de arma de haste na mesma fileira, -50% de dano recebido de ataques de armas de fogo, +35% de dano causado a unidades de cavalaria"
Class: Champion,Classe: Campeão
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 2 Iron, 2 Obsidian\\PARBattle Actions: 2 Slashing double-attacks at 1 range\\PARSpecial: -","Pode ser líder do esquadrão: Sim\\PARNível: 3\\PARTipo de unidade: Infantaria pesada\\PARTipo de movimento: Normal\\PARRecursos necessários: 2 de ferro, 2 obsidianas\\PARAções de batalha: 2 ataques duplos de corte a 1 espaço de distância\\PAREspecial: -"
Class: Zweihander,Classe: Zweihander
Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 2 Iron\\PARBattle Actions: 2 Wide-sweeping Slashing attacks at 1 range\\PARSpecial: Attacks deal splash damage to 1 tile adjacent to the target in the same row,Pode ser líder do esquadrão: Sim\\PARNível: 3\\PARTipo de unidade: Infantaria pesada\\PARTipo de movimento: Normal\\PARRecursos necessários: 2 de ferro\\PARAções de batalha: 2 ataques amplos de corte a 1 espaço\\PAREspecial: O ataque causa dano de rebote a 1 espaço adjacente ao alvo na mesma fileira
Class: Centurion,Classe: Centurião
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 2 Iron, 2 Obsidian\\PARBattle Actions: 2 Piercing Polearm attacks at 1 range\\PARSpecial: Attacks deal splash damage to 1 tile behind the target, +15% Damage dealt if adjacent to another Polearm user in the same row, +35% Damage dealt to Cavalry units","Pode ser líder do esquadrão: Sim\\PARNível: 3\\PARTipo de unidade: Infantaria pesada\\PARTipo de movimento: Normal\\PARRecursos necessários: 2 de ferro, 2 obsidianas\\PARAções de batalha: 2 ataques de perfuração a 1 espaço de distância\\PAREspecial: O ataque causa dano de rebote a 1 espaço atrás do alvo, +15% de dano causado se adjacente a outro usuário de arma de haste na mesma fileira, +35% de dano causado a unidades de cavalaria"
Class: Samurai,Classe: Samurai
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 2 Iron\\PARBattle Actions: 2 Polearm attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial: 15% Polearm Damage dealt if adjacent to another Polearm user in the same row, +35% Polearm Damage dealt to Cavalry units. 35% more base Evasion than other Heavy classes","Pode ser líder do esquadrão: Sim\\PARNível: 3\\PARTipo de unidade: Infantaria pesada\\PARTipo de movimento: Normal\\PARRecursos necessários: 2 de ferro\\PARAções de batalha: 2 ataques de perfuração a 1 espaço ou 1 ataque de arco preciso a 2 espaços\\PAREspecial: +15% de dano de arma de haste causado se adjacente a outro usuário de arma de haste na mesma fileira, +35% de dano de arma de haste causado a unidades de cavalaria. 35% mais de evasão de base do que outras classes pesadas"
Class: Paladin,Classe: Paladina
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 2 Iron, 1 Sunstone\\PARBattle Actions: 2 Striking attacks at 1 range, or 1 Striking attack and 1 heal if an ally is below %50 HP\\PARSpecial: Resists Magic and Dragon Breath attacks by 25% of this unit's Armor value","Pode ser líder do esquadrão: Sim\\PARNível: 3\\PARTipo de unidade: Infantaria pesada\\PARTipo de movimento: Normal\\PARRecursos necessários: 2 de ferro, 1 pedra do sol\\PARAções de batalha: 2 ataques físicos a 1 espaço ou 1 ataque físico e 1 cura se um aliado estiver com PV abaixo de 50%\\PAREspecial: Resiste a magia e a ataques de sopro de dragão em 25% do valor da armadura da unidade"
Class: Knight,Classe: Cavaleiro
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Cavalry\\PARMovement Type: Fast\\PARResources Required: 2 Iron, 1 Obsidian, 1 Horse\\PARBattle Actions: 2 Slashing attacks with splash damage to adjacent targets at 1 range\\PARSpecial: On offense, if Squad moved maximum possible range, this unit's 1st attack is a 'Charge Attack' which can Stun the target","Pode ser líder do esquadrão: Sim\\PARNível: 3\\PARTipo de unidade: Cavalaria pesada\\PARTipo de movimento: Rápido\\PARRecursos necessários: 2 de ferro, 1 obsidiana, 1 cavalo\\PARAções de batalha: 2 ataques de corte com dano de rebote a alvos adjacentes a 1 espaço\\PAREspecial: No ataque, se o esquadrão se mover ao alcance máximo possível, o primeiro ataque desta unidade é um “Ataque de carga”, que pode atordoar o alvo"
Class: Valkyrie,Classe: Valquíria
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Cavalry\\PARMovement Type: Fast\\PARResources Required: 2 Iron, 1 Sunstone, 1 Horse\\PARBattle Actions: 2 Slashing attacks at 1 range, or 1 Slashing attack and 1 heal if an ally is below %50 HP\\PARSpecial: On offense, if Squad moved maximum possible range, this unit's 1st attack is a 'Charge Attack' which can Stun the target, Resists Magic and Dragon Breath attacks by 25% of this unit's Armor value","Pode ser líder do esquadrão: Sim\\PARNível: 3\\PARTipo de unidade: Cavalaria pesada\\PARTipo de movimento: Rápido\\PARRecursos necessários: 2 de ferro, 1 pedra do sol, 1 cavalo\\PARAções de batalha: 2 ataques de corte a 1 espaço ou 1 ataque físico e 1 cura se um aliado estiver com PV abaixo de 50%\\PAREspecial: No ataque, se o esquadrão se mover ao alcance máximo possível, o primeiro ataque desta unidade é um “Ataque de carga”, que pode atordoar o alvo; Resiste a ataques mágicos e sopro de dragão em 25% do valor da armadura da unidade."
Class: Ranger,Classe: Sentinela
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required: -\\PARBattle Actions: 1 Crossbow attack at 1 range followed by 1 Slashing attack at 1 range\\PARSpecial: Crossbow attack bypasses enemy Cover and Block from formations. Increased evasion in woods, townscape, hills, and swamp","Pode ser líder do esquadrão: Sim\\PARNível: 3\\PARTipo de unidade: Infantaria leve\\PARTipo de movimento: Leve\\PARRecursos necessários: -\\PARAções de batalha: 1 ataques de besta a 1 espaço seguido por 1 ataque de corte a 1 espaço\\PAREspecial: O ataque de besta ignora a cobertura e o bloqueio do inimigo em formações. Evasão aumentada em bosque, cenário urbano, colinas e pântano"
Class: Assassin,Classe: Assassino
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required: 2 Obsidian\\PARBattle Actions: On Offense, 1 Stealth Attack at 1 range, followed by 1 Slashing attack at 1 range. On Defense, 2 Slashing attacks at 1 range\\PARSpecial: When on Offense, first attack can hit the back row of the target Squad with increased damage","Pode ser líder do esquadrão: Sim\\PARNível: 3\\PARTipo de unidade: Infantaria leve\\PARTipo de movimento: Leve\\PARRecursos necessários: 2 obsidianas\\PARAções de batalha: No ataque, 1 ataque furtivo a 1 espaço, seguido por 1 ataque de corte a 1 espaço. Na defesa, 2 ataques de corte a 1 espaço\\PAREspecial: Quando na ofensiva, o primeiro ataque pode atingir a fileira de trás do esquadrão alvo com dano aumentado"
Class: Swordmaster,Classe: Mestra espadachim
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required: 1 Iron, 2 Obsidian\\PARBattle Actions: 2 Slashing double-attacks at 1 range\\PARSpecial: Increased evasion in woods, townscape, hills, and swamp","Pode ser líder do esquadrão: Sim\\PARNível: 3\\PARTipo de unidade: Infantaria leve\\PARTipo de movimento: Leve\\PARRecursos necessários: 1 de ferro, 2 obsidianas\\PARAções de batalha: 2 ataques duplos de corte a 1 espaço de distância\\PAREspecial: Evasão aumentada em bosque, cenário urbano, colinas e pântano"
Class: Hussar,Classe: Hussardo
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Light Cavalry\\PARMovement Type: Light, Fast\\PARResources Required: 2 Iron, 1 Horse\\PARBattle Actions: 2 Polearm attacks at 1 range\\PARSpecial: On offense, if Squad moved maximum possible range, this unit's 1st attack is a 'Charge Attack' which can Stun the target, +35% Damage dealt to Cavalry units. Increased evasion in woods, townscape, hills, and swamp.  +50% Evasion on offense.","Pode ser líder do esquadrão: Sim\\PARNível: 3\\PARTipo de unidade: Cavalaria Leve\\PARTipo de movimento: Leve, rápida\\PARRecursos necessários: 2 de ferro, 1 cavalo\\PARAções de batalha: 2 ataques de arma de haste a 1 espaço de distância\\PAREspecial: No ataque, se o esquadrão se mover ao alcance máximo possível, o primeiro ataque desta unidade é um “Ataque de carga”, que pode atordoar o alvo, +35% do dano causado a unidades de cavalaria. Evasão aumentada em bosque, cenário urbano, colinas e pântano. +50% de evasão no ataque."
Class: Warbow,Classe: Arqueiro de guerra
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Archery\\PARMovement Type: Normal\\PARResources Required: 2 Obsidian\\PARBattle Actions: 2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 or 3 range\\PARSpecial: -",Pode ser líder do esquadrão: Sim\\PARNível: 3\\PARTipo de unidade: Arquearia\\PARTipo de movimento: Normal\\PARRecursos necessários: 2 obsidianas\\PARAções de batalha: 2 ataques de arco a 1 espaço de distância ou 1 ataque de arco certeiro a 2 ou 3 espaços de distância\\PAREspecial: -
Class: Raider,Classe: Corsário
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Archery\\PARMovement Type: Light, Fast\\PARResources Required: 1 Iron, 1 Horse\\PARBattle Actions: 2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial:  +50% Evasion on offense.","Pode ser líder do esquadrão: Sim\\PARNível: 3\\PARTipo de unidade: Arquearia\\PARTipo de movimento: Leve, rápida\\PARRecursos necessários: 1 de ferro, 1 cavalo\\PARAções de batalha: 2 ataques de arco a 1 espaço de distância ou 1 ataque de arco certeiro a 2 espaços de distância\\PAREspecial: +50% de evasão no ataque."
Class: Gunner,Classe: Artilheiro
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Firearms\\PARMovement Type: Normal\\PARResources Required: 2 Iron, 1 Pyrocite\\PARBattle Actions: 1 Gun attack at 1 range\\PARSpecial: Attacks ignore 75% of Armor, damage derived from Weapon Power and not STR.","Pode ser líder do esquadrão: Sim\\PARNível: 3\\PARTipo de unidade: Armas de fogo\\PARTipo de movimento: Normal\\PARRecursos necessários: 2 de ferro, 1 pirocita\\PARAções de batalha: 1 ataque de arma de fogo a 1 espaço de distância\\PAREspecial: Ataques ignoram 75% da armadura, dano derivado do poder da arma, não de FOR."
Class: Dragoon,Classe: Artilheiro de montaria
