Obsidian Edge,Обсидиановое остриё,
"Squad does +25% damage to Boss Squads, only applies to Human targets","Этот отряд наносит +25% урона босс-отрядам, но только людям",
Everlasting Potion,Вечное зелье,
Restore 20% max HP of the unit with the most missing HP at the start of combat,Восстанавливает 20% от макс. ОЗ отряда с наименьшим уровнем ОЗ в начале боя,
Counterattack,Контратака,
Deal +25% damage while on defense.  Stacks with Black Belt,Наносит +25% урона в защите. Суммируется с Чёрным поясом,
Black Belt,Чёрный пояс,
Deal +25% damage while counterattacking,Наносит +25% урона при контратаке,
Disarm,Обезоруживание,
Resolve,Решимость,
Immortal Spirit,Бессмертный дух,
"Once per Chapter, this unit will survive an enemy volley that would otherwise be fatal",Один раз в каждой главе этот юнит выживает во время смертельной атаки при ходе врага,
Precision,Точность,
Lithe Assault,Изящное нападение,
Concentration,Концентрация,
Unscathed,Неуязвимость,
Assassin's Heart,Сердце убийцы,
Assassin's Reaper,Жнец убийцы,
Silver-Tongued,Красноречие,
Warrior's Hubris,Гордыня воителя,
Stormrook's Walls,Стены Штормрука,
Squad deals +20% damage when attacking from wall to non-wall,Этот отряд наносит +20% урона при атаке со стены по целям не на стене,
Challenger,Претендент,
Lucky,Везение,
Some people are just lucky,Некоторым просто везёт,
Treasure Hunter,Охотник за сокровищами,
Increased chance to find an item when destroying or forcing the surrender of enemy Squads,"Повышенный шанс найти предмет, если вражеский отряд уничтожен или сдался",
Arcane Barrier,Магический барьер,
Mentor,Наставник,
Greatly improves leadership growth of subordinates.,Значительно ускоряет рост ЛДР подчинённых.,
Healing Attuned,Гармония исцеления,
Guardian Impulse,Призвание хранителя,
Gain a chance at an extra action for every ally unit below half health at the end of combat,Получает шанс на дополнительное действие за каждого союзного юнита с менее чем 50% ОЗ в конце боя,
Executioner,Палач,
Overpower,Сокрушение,
Deal damage to enemy Morale based on difference in STR,Снижает боевой дух врагов в зависимости от разницы СИЛ,
Vengeance,Месть,
Bodyguard,Телохранитель,
Venerable,Авторитет,
Squad Leader cannot be directly targeted unless all other squad members are incapaciated,"Враги могут атаковать лидера отряда, только после того как победят всех остальных членов отряда",
Dragon Affinity,Товарищество с драконами,
Dragons in squad gain class XP faster,Драконы в отряде быстрее получают ОПТ класса,
Light's Judgement,Кара Света,
"When taking damage in battle, Diana gains Attack Power for the duration of the battle",При получении урона в бою Диана повышает свою силу атаки до конца боя,
Garrison,Гарнизон,
Damage reduction granted from terrains is increased by 50%,На 50% повышает эффект снижения урона от местности,
Soul of Sayunaa,Душа Саюна,
"Once per Phase, Swordfighter, Swordmaster, and Blademaster will automatically strike first on defense","Один раз за стадию мечники, мастера-мечники и повелители мечей автоматически наносят удар первыми в защите",
Desert Warrior,Воин пустыни,
Guile,Хитрость,
Unit bypasses Block and can attack any target,Юнит игнорирует блок и может атаковать любую цель,
Retainer,Верность,
Jules takes 50% less damage if within 3 tiles on the tactical map,"Джулс получает на 50% меньше урона, если находится в радиусе 3 клеток на тактической карте",
Tundra Warrior,Воин тундры,
"Squad is immune to negative effects of Blizzard weather and Chill status, and gains bonus evasion in Blizzard weather and Snow terrain","Этот отряд игнорирует штрафы от метели и не получает Охлаждение, а также получает бонус к уклонению при метели и на заснеженной местности",
Feline Acuity,Кошачьи рефлексы,
Massive evasion boost versus stealth attacks,Огромный бонус к уклонению от скрытных атак,
Barek Tor Savagery,Свирепость Барек Тор,
"At Night, every attack is an Ambush",Все атаки ночью приравниваются к засаде,
Scavenger,Мусорщик,
Thievery,Вор,
"On combats initiated by my squad, steal a small amount of gold from the primary target based on SKL","Если мой отряд начинает бой, ворует немного золота у выбранного врага в зависимости от НАВ",
Haughty,Превыше всех,
Beatrix is not affected by the morale of her squad,На Беатрикс не влияет боевой дух её отряда,
Shock and Awe,Шок и трепет,
Donar's Presence,Присутствие Донара,
Squads within 3 tiles are given a morale boost,Отряды в радиусе 3 клеток получают бонус к боевому духу,
Shadow,Тень,
Squad can move through tiles containing enemy Squads,"Отряд может двигаться по клеткам, где расположены вражеские отряды",
Hand of Zanatus,Длань Занатуса,
2x damage to enemy morale from all actions and enemies will not surrender,"Все действия в 2 раза сильнее снижают боевой дух врагов, при этом враги не могут сдаться",
Monarch,Монарх,
Heavy units in Jules's Squad will always Cover him from targeted damage,"Тяжёлые юниты в отряде Джулса всегда прикрывают его от атак, направленных именно на него",
Mirage,Мираж,
"Gain an extra attack.  Every attack, and every counter-attack Stefan uses will be a Stealth attack",Получает дополнительную атаку.  Все атаки и контратаки Стефана являются скрытными,
Finish the Millenium War!,Завершите Тысячелетнюю войну!,
The world is behind you! +20 Capacity.  Your hero heals and boosts the morale of all allies within 3 tiles,Весь мир на вашей стороне! +20 к размеру отряда.  Ваш герой лечит и усиливает боевой дух отрядов в радиесу 3 клеток,
Prodigy,Одарённый,
"Unit gains 20% bonus to XP, CP, and LDR growth","Этот юнит на 20% быстрее повышает ОПТ, КО и ЛДР",
Mercenary,Наёмник,
Unit is solely motivated by a pay day. +2 Capacity cost unless leader,"Боевой дух этого юнита зависит только от оплаты. Отнимает +2 от размера отряда, если не является лидером",
Non-Committal,Не приверженный,
Unit is beginning to warm up to your cause. +1 Capacity cost,Этот юнит начинает проникаться вашими убеждениями. Отнимает +1 от размера отряда,
Committed,Приверженный,
Unit identifies with your cause. -1 Capacity cost,Этот юнит проникся вашими убеждениями. Отнимает –1 от размера отряда,
Loyal,Лояльный,
Unit feels fully dedicated to your cause. -2 Capacity cost,Этот юнит готов рвать и метать за ваши убеждения. Отнимает –2 от размера отряда,
"Squad is faster in open terrain, and can move after attacking",Этот отряд быстрее движется по открытой местности и может двигаться после того как атакует,
"Squad's move is not penalized by rough terrain, moves slightly faster indoors, can hide in and ambush from woods, swamps, and towns","У этого отряда нет штрафа при движении по пересечённой местности, получает небольшой бонус к движению в помещении, может устраивать засады, находясь в лесу, на болоте или в городе",
Squad has poor physical conditioning and less battlefield movement,У этого отряда низкая выносливость и сниженная дальность движения,
Squad's movement ignores terrain,Этот отряд движется по любой местности с одинаковой скоростью,
\\N[8] - Zelos: I have dreamed of this for so long,\\N[8] — Зелос: Я так давно мечтаю об этом,
\\N[8] and Zelos developed a deep bond.,\\N[8] и Зелос теперь влюблены.,
\\N[8] - Jules: Some things shouldn't stay a secret,\\N[8] — Джулс: Кое-что не должно оставаться тайной,
\\N[8] and Jules developed a deep bond.,\\N[8] и Джулс теперь влюблены.,
\\N[8] - Barnabas: A story 20 years in the making,\\N[8] — Барнабас: История длиною в 20 лет,
\\N[8] and Barnabas developed a deep bond.,\\N[8] и Барнабас теперь влюблены.,
"\\N[8] - Stefan: Partners in crime, forever?",\\N[8] — Стефан: Не разлей вода навсегда?,
\\N[8] and Stefan developed a deep bond.,\\N[8] и Стефан теперь влюблены.,
\\N[8] - Lysander: Intellectual supernova,\\N[8] — Лисандер: Интеллектуальная суперзвезда,
\\N[8] and Lysander developed a deep bond.,\\N[8] и Лисандер теперь влюблены.,
\\N[8] - Jaromir: A very straight-forward proposal,\\N[8] — Яромир: Очень прямолинейное предложение,
\\N[8] and Jaromir developed a deep bond.,\\N[8] и Яромир теперь влюблены.,
\\N[8] - Sybil: I can be your refuge,\\N[8] — Сибил: Я всегда буду рядом,
\\N[8] and Sybil developed a deep bond.,\\N[8] и Сибил теперь влюблены.,
\\N[8] - Jules: Fancy meeting you here,\\N[8] — Джулс: Какая неожиданная встреча,
\\N[8] and Jules have become friends.,\\N[8] и Джулс стали друзьями.,
\\N[8] - Barnabas: Mentor or mentee?,\\N[8] — Барнабас: Наставник или ученик?,
\\N[8] - Stefan: Tidereaver scum,\\N[8] — Стефан: Отброс из Тайдривера,
\\N[8] and Stefan have become friends.,\\N[8] и Стефан стали друзьями.,
\\N[8] - Stefan: Rogue with a heart of gold,\\N[8] — Стефан: Разбойник с золотым сердцем,
\\N[8] - Raskuja: Legends of the Barek Tor,\\N[8] — Раскуджа: Легенды Барек Тор,
\\N[8] and Raskuja have become friends.,\\N[8] и Раскуджа стали друзьями.,
\\N[8] - Raskuja: Heart of the jungle,\\N[8] — Раскуджа: В самом сердце джунглей,
\\N[8] - Lysander: Ponderings on modernity,\\N[8] — Лисандер: Размышления об актуальном,
Diana - Stefan: Cannot deny our destiny,Диана — Стефан: От судьбы не убежишь,
Diana and Stefan have developed a deep bond.,Диана и Стефан теперь влюблены.,
Diana - Lysander: You are better than this,Диана — Лисандер: Ты выше всего этого,
Diana and Lysander have become friends.,Диана и Лисандер стали друзьями.,
Diana - Lysander: An impolite inquiry,Диана — Лисандер: Невежливый вопрос,
Diana - Lysander: Subtlety is a lost art,Диана — Лисандер: Почему все забыли о деликатности?,
Diana - Jaromir: Old-fashioned fella,Диана — Яромир: Приверженец старых традиций,
Diana and Jaromir have developed a deep bond.,Диана и Яромир теперь влюблены.,
Beatrix - Jules: Spending social capital,Беатрикс — Джулс: Трата общественного капитала,
Beatrix and Jules have become friends.,Беатрикс и Джулс стали друзьями.,
Beatrix - Jules: Redheads're nice,Беатрикс — Джулс: Рыженькие лучше всех,
Beatrix and Jules have developed a deep bond.,Беатрикс и Джулс теперь влюблены.,
Sybil - Jules: Walk this life with me,Сибил — Джулс: Давай вместе идти по жизни,
Sybil and Jules have developed a deep bond.,Сибил и Джулс теперь влюблены.,
Sybil - Barnabas: Still got that spark,Сибил — Барнабас: Есть ещё порох,
Sybil and Barnabas have developed a deep bond.,Сибил и Барнабас теперь влюблены.,
Abigayle - Zelos: Nice guys never win,Абигейл — Зелос: Добротой в бою не победить,
Zelos and Abigayle have developed a deep bond.,Зелос и Абигейл теперь влюблены.,
"Narima - Stefan: Failed pickup artist, part 1","Нарима — Стефан: Подкат не засчитан, часть 1",
"Narima - Stefan: Failed pickup artist, part 2","Нарима — Стефан: Подкат не засчитан, часть 2",
Edelia - Lysander: Crossing sacred boundaries,Эделия — Лисандер: Нарушая священные запреты,
Edelia and Lysander have developed a deep bond.,Эделия и Лисандер теперь влюблены.,
Narima - Stefan: Failed pickup art... wait,Нарима — Стефан: Подкат не засчи... Чего?,
Narima and Stefan have developed a deep bond.,Нарима и Стефан теперь влюблены.,
Narima - Jules: Only a King to melt her heart,"Нарима — Джулс: Если любить, то короля",
Narima and Jules have developed a deep bond.,Нарима и Джулс теперь влюблены.,
\\N[8] - Diana: I see the real you...,\\N[8] — Диана: Я вижу твою истинную сущность...,
Diana and \\N[8] have developed a deep bond.,Диана и \\N[8] теперь влюблены.,
\\N[8] - Diana: Doctrine of the Temple,\\N[8] — Диана: Храмовая доктрина,
\\N[8] and Diana have become friends.,\\N[8] и Диана стали друзьями.,
\\N[8] - Diana: Deeper dive into the Nephilim,\\N[8] — Диана: Всё больше нефилимы,
\\N[8] - Beatrix: The Pendergast fortune,\\N[8] — Беатрикс: Состояние Пендергаста,
"\\N[8] - Beatrix: Siren, or Succubus?",\\N[8] — Беатрикс: Сирена или суккуб?,
Beatrix \\N[8] have developed a deep bond.,Беатрикс и \\N[8] теперь влюблены.,
\\N[8] - Sybil: Why are you so angry?,\\N[8] — Сибил: Почему ты так злишься?,
Sybil and \\N[8] have developed a deep bond.,Сибил и \\N[8] теперь влюблены.,
\\N[8] - Abigayle: Instant chemistry,\\N[8] — Абигейл: Сразу проскочила искра,
Abigayle and \\N[8] have developed a deep bond.,Абигейл и \\N[8] теперь влюблены.,
\\N[8] - Narima: Can we take on the world?,\\N[8] — Нарима: Мы справимся с чем угодно?,
Narima and \\N[8] have developed a deep bond.,Нарима и \\N[8] теперь влюблены.,
\\N[8] - Zelos: Unbreakable together,\\N[8] — Зелос: Вместе нам ничто не страшно,
Zelos and \\N[8] have developed a deep bond.,Зелос и \\N[8] теперь влюблены.,
Sybil - Jules: Red oni and blue oni,Сибил — Джулс: Красный они и синий они,
Zelos - Barnabas: Master Sergeant forever,Зелос — Барнабас: Мастер-сержант по жизни,
Zelos and Barnabas have become friends.,Зелос и Барнабас стали друзьями.,
\\N[8] - Narima: Noble warrior of Sayunaa,\\N[8] — Нарима: Доблестная воительница из Саюна,
\\N[8] - Abigayle: Princess of the Snow,\\N[8] — Абигейл: Принцесса заснеженных земель,
\\N[8] - Lysander: Shock and awe,\\N[8] — Лисандер: Шок и трепет,
Lysander and \\N[8] have become friends.,Лисандер и \\N[8] стали друзьями.,
\\N[8] - Lysander: Different kind of battlefield,\\N[8] — Лисандер: Война другого характера,
Sybil - Abigayle: Bonded,Сибил — Абигейл: Связь,
Sybil and Abigayle have become blood sisters.,Сибил и Абигейл стали сёстрами по крови.,
Abigayle will cost half Capacity in Sybil's Squad.,В отряде Сибил Абигейл отнимает в 2 раза меньше от размера отряда.,
Sybil will cost half Capacity in Abigayle's Squad.,В отряде Абигейл Сибил отнимает в 2 раза меньше от размера отряда.,
Beatrix - Lysander: What's your angle?!,Беатрикс — Лисандер: Что ты мутишь?!,
Diana - Zelos: Demons of dark and light,Диана — Зелос: Демоны тьмы и света,
\\N[8] - Beatrix: Is this the real you?,\\N[8] — Беатрикс: Это твоя настоящая суть?,
"Barnabas - Zelos: Son, and I am disappoint","Барнабас — Зелос: Сынок, я разочарован",
Stefan - Diana: Broken,Стефан — Диана: Сломлен,
Stefan - Lysander: Airships,Стефан — Лисандер: Летучие корабли,
Stefan and Lysander have become friends.,Стефан и Лисандер стали друзьями.,
Sybil - Diana: Self Sabotage,Сибил и Диана: Ты делаешь хуже только себе,
Stefan - Abigayle: Last flame of Donar,Стефан и Абигейл: Последнее дыхание Донара,
Stefan has been friend-zoned.,Стефан навсегда во френдзоне.,
\\N[8] - Jaromir: Bulwark of the North,\\N[8] — Яромир: Защитники севера,
Jules - Barnabas: Patience,Джулс — Барнабас: Терпение,
Sybil - Barnabas: Friendly Ribbing?,Сибил — Барнабас: Дружеские подшучивания?,
Sybil and Barnabas have become friends.,Сибил и Барнабас стали друзьями.,
Stefan - Diana: Keeping Up Appearances,Стефан — Диана: Соблюдение приличий,
\\N[8] - Lysander: White Flag of War,\\N[8] — Лисандер: Белый флаг на войне,
Narima - Jules: Ghosts of Ezrum,Нарима — Джелс: Призраки Эзрума,
Narima - Jaromir: Of the Snow and Sand,Нарима — Яромир: Снег и пустыня,
Narima and Jaromir have become friends.,Нарима и Яромир стали друзьями.,
"Jules - Barnabas: Melmonde, Sweet Home","Джулс — Барнабас: Мелмонд, дом родной",
Jules and Barnabas have become friends.,Джулс и Барнабас стали друзьями.,
Beatrix - Lysander: Wha... Really?!,Беатрикс — Лисандер: Ты... серьёзно?,
Beatrix and Lysander have developed a deep bond.,Беатрикс и Лисандер теперь влюблены.,
Academy of War,Академия войны,
Tactics and Command,Тактика и командование,
Crafts and Technology,Ремёсла и технологии,
Apprentice Training,Тренировка учеников,
Unlocks a recruitment slot for apprentices.,Позволяет нанимать учеников магов.,
Mentorship,Наставничество,
"Non-leader Units in Squads now gain LDR at a modest rate, up to below 10 of the Squad Leader's current LDR stat.","Юниты, не являющиеся лидерами в отрядах, теперь получают ЛДР быстрее, вплоть до 10 ЛДР от текущего показателя лидера отряда.",
Merchant Envoys,Торговые представители,
"Expands the Mercenary and Item Trader pools, giving us more opportunity to hire experienced warriors and purchase exotic Artifacts.","Увеличивает выбор наёмников и предметов на рынке, позволяя нанимать более опытных воинов и приобретать редкие артефакты.",
Zones of Control,Зоны контроля,
Enemy squads incur a movement penalty when moving between tiles that are adjacent to our Infantry type squads.,Вражеские отряды получают штраф к движению при проходе по соседним клеткам с нашими отрядами пехоты.,
Battle Medics,Боевые лекари,
All 'Support' classes gain +20 Maximum HP.,Все классы поддержки получают +20 к макс. ОЗ.,
Army Stables,Армейские конюшни,
"It is now easier for our Cavalry Squads to achieve a Charge attack. Instead of requiring having moved 7 tiles before attacking, now they can move 6 tiles to achieve the same effect.","Наша кавалерия сможет легче проводить атаки с наскока. Теперь того же эффекта можно добиться, пройдя отрядом не7, а 6 клеток.",
Mixed Unit Tactics,Смешанные отряды,
"Each unit gains +3 Weapon Power for each unit of a different type added to the Squad, starting with the 2nd unit type.","За каждый юнит другого типа в отряде, начиная со второго, все юниты получают +3 к силе оружия.",
Identify Command Structure,Выявление командной структуры,
We now have the ability to use the 'Target Leader' attack type.,Теперь мы можем использовать новый тип атаки — Устранить лидера.,
Psych Warfare,Психология боя,
Defeating enemy squad leader causes even more Morale damage.,Устранение лидера вражеского отряда ещё сильнее роняет боевой дух.,
Standing Army,Регулярная армия,
"All new Conscripts start at +1 Level, and with half Class Mastery of their starting class.",Все новые рекруты начинают с уровнем +1 и получают половину своего стартового мастерства класса.,
Adept Artificer,Знаток артефактов,
"Unlocks a second Artifact slot, allowing us to further customize our squads.",Разблокирует вторую ячейку артефактов для расширенной настройки отрядов.,
Crossbow Forging,Изготовление арбалетов,
"We can now construct Crossbows, unlocking the Crossbowmen class.",Теперь мы можем производить арбалеты и нанимать арбалетчиков.,
Adept Metallurgy,Знаток металлургии,
Grants Heavy Infantry and Heavy Cavalry +25 MaxHP.,Добавляет +25 к макс. ОЗ нашей тяжёлой пехоте и тяжёлой кавалерии.,
Steel Forging,Ковка стали,
Improved Steel Plate Armor grants our Heavy Infantry and Heavy Cavalry +5 Armor.,Более современная технология ковки стали добавляет нашей тяжёлой пехоте и тяжёлой кавалерии +5 брони.,
Journeyman Leathercraft,Знаток кожевенного дела,
"Our Light Armor has advanced, enhancing the Armor of all Light Infantry, Light Cavalry, Archery, and Firearms units gain +5 Armor.","Улучшенная лёгкая броня добавляет +5 брони следующим классам: лёгкой кавалерии, лучникам и юнитам с огнестрельным оружием.",
Dragon Trainer,Инструктор драконов,
"Familiarity with Dracology has given our Drakelings, Dragons, and Dragon Riders 25% faster Class Mastery gain from combat and a slightly increased chance to appear as mercenaries.","Углублённые знания дракологии позволяют нашим драклингам, драконам и драконьим всадникам на 25% быстрее получать мастерство класса в бою и немного увеличивают шанс их появления в виде наёмников.",
Martial Traditions,Военные традиции,
All units gain Class Mastery 15% faster.,Все юниты получают мастерство класса на 15% быстрее.,
Warhorse Husbandry,Разведение лошадей,
"Advanced breeding techniques have resulted in larger, hardier war horses. All Cavalry gains +50 Maximum HP.",Мы смогли вывести более крупных и выносливых боевых коней. Вся кавалерия получает +50 макс. ОЗ.,
Sisterhood of Justice,Сёстры Правосудия,
"Acolytes, Paladins, Valkyries, Exemplar, and Titan receive an additional bonus to Magic Resistance based on a portion of their Armor.","Аколиты, паладины, валькирии, экземплары и Титан получают бонус к сопротивлению магии, зависящий от брони.",
Sisterhood of Mercy,Сёстры Милосердия,
"Medic, Priestess, Templar, Hospitaller take 25% less damage with Paladin, Valkyrie, Exemplar or Titan in the same Squad","Лекари, жрицы, храмовники и госпитальеры получают на 25% меньше урона, если в отряде есть паладин, валькирия, экземплар или Титан.",
Strategic Maneuvers,Стратегические манёвры,
Cavalry squads now deal significant Morale damage when attacking with a Charge Attack.,"Отряды кавалерии сильнее роняют вражеский боевой дух, если атакуют с разбега.",
Polearm Mastery,Мастерство древкового оружия,
Polearm units now grant bonus attack and defense versus melee to any adjacent unit.,Юниты с древковым оружием теперь дают соседним юнитам бонус к атаке и защите против атак ближнего боя.,
Adaptive Battlefield Command,Адаптивные методы командования,
We now have the ability to use the 'Aggressive' and 'Cautious' attack types.,Теперь нам доступны новые типы атаки — Агрессивная и Осторожная,
Popular Support,Поддержка населения,
"Squads gain a Morale bonus when within 3 tiles of a Base, Village, or Town owned by our faction.","Отряды получают бонус к боевому духу, если находятся в 3 клетках от базы, деревни или города, принадлежащих нашей фракции.",
Advanced Archery Technique,Передовые техники лучников,
+1 arrows fired (from 3 to 4) by Archery units at 2 or more range.,+1 дополнительный выстрел (от 3 до 4) для юнитов с луками на расстоянии 2 клеток или больше.,
Journeyman Artificer,Эксперт по артефактам,
"Unlocks a 3rd Artifact slot, allowing us maximum customizability for our squads.","Разблокирует третью ячейку для артефактов, позволяя максимально настраивать наши отряды.",
Advanced Crossbows,Улучшенные арбалеты,
Crossbowmen and Rangers gain an additional 25% bonus damage against Heavy Infantry and Heavy Cavalry.,Арбалетчики и рейнджеры получают 25% бонус к урону против тяжёлой пехоты и тяжёлой кавалерии.,
Advanced Material Science,Продвинутое материаловедение,
Grants Heavy Infantry and Heavy Cavalry +25 Max HP for a cumulative effect of +50. Unlocks powerful firearms technologies.,Добавляет тяжёлой пехоте и тяжёлой кавалерии ещё +25 к макс. ОЗ (в сумме +50). Разблокирует мощные технологии огнестрельного оружия.,
Obsidian Forging,Ковка обсидиана,
"Now that we have a grasp on the powerful and rare metal named Obsidian, we can use it to enhance our existing Steel Plate Armor, granting Heavy Infantry and Heavy Cavalry an additional +5 Armor.","Овладев технологией ковки и работы с редким металлом обсидианом, мы можем улучшить нашу стальную пластинчатую броню, что даст тяжёлой пехоте и тяжёлой кавалерии дополнительно +5 к броне.",
Behemoth Leather Armor,Кожаная броня из левиафана,
"Using hides from the fearsome Behemoth, we can further enhance our Light Armor. Light Infantry, Light Cavalry, Archers, and Firearms gain an additional +5 to Armor.","Используя шкуру свирепого левиафана, мы можем улучшить нашу лёгкую броню. Лёгкая пехота, лёгкая кавалерия, лучники и юниты с огнестрельным оружием получают дополнительно +5 к броне.",
Mage Regiments,Полки магов,
"All 'Magician' and 'Support' classes are now of the 'Normal' unit type rather than 'Slow', and Magician attacks decay in power more slowly when used consecutively.","Все юниты поддержки и маги теперь относятся не к медленному, а к нормальному типу юнитов, и сила последовательных магических атак уменьшается медленнее.",
Magician's Initiative,Инициатива магов,
Spells that have a charge-up turn can now be cast on the first turn of battle when on offense.,"Заклинания, которым нужно время на зарядку, теперь используются в первый ход боя, если отряд нападает.",
Hex Mastery,Колдовское мастерство,
Status effects from Magician and Dragon breath attacks have an increased chance to be inflicted.,Повышает шанс наложения статусных эффектов при магических и драконьих атаках.,
Spirit Piercing,Духовное пронзание,
Magician and Dragon breath attacks ignore 25% of the target's resistance.,Атаки магов и драконов игнорируют 25% сопротивления цели.,
Advanced Mobile Warfare,Улучшенная мобильность,
Dragoons are now 'Light Cavalry' move type.,Драгуны теперь двигаются как лёгкая кавалерия.,
Advanced Flanking,Атака с флангов,
+15% Attack power when engaging in close range battles for each allied squad that is adjacent to the target enemy squad.,"+15% к силе атаки за каждый союзный отряд, расположенный на соседней клетке с врагом.",
Optimized Tactics,Оптимизированная тактика,
Improves effects of most special tactics.,Усиливает эффект от особых типов атак.,
Supply Chain Mastery,Тыловое обеспечение,
"Villages, Towns, Castles, and Bases held by our faction now provide healing to our Squads within 3 tiles every turn.","Деревни, города, замки и базы, принадлежащие нашей фракции, каждый ход исцеляют наши отряды в радиусе 3 клеток.",
Archer General,Лучник-генерал,
"All 'Archery' classes are now of the 'Light' unit type, a massive advantage to mobility and ambushes.","Все классы лучников теперь считаются лёгкими юнитами, что увеличивает мобильность и даёт возможность устраивать засады.",
Master Artificer,Мастер артефактов,
All Artifacts cost -1 Capacity.,Все артефакты отнимают на 1 меньше от размера отряда.,
Grapeshot,Шрапнель,
Artillery attacks have increased splash radius and damage.,Атаки артиллерии обладают большим радиусом и уроном.,
Gunsmithing,Производство стрелкового оружия,
"We are now able to manufacture guns and cannons. Unlocks the Gunner, Dragoon, and Siege Cannon classes.","Теперь мы можем создавать огнестрельное оружие и пушки. Разблокирует классы стрелок, драгун и осадная пушка.",
Breech-Loading Gun,Зарядный картуз,
'Gunner' units and Artillery are no longer negatively affected by weather.,Огнестрельное оружие и артиллерия больше не подвержены негативным эффектам от погоды.,
Dragon Bond,Связь с драконами,
"Unlocks the Dragon Rider class. The ultimate unit type, allowing us to control Dragon flight ability to take to the skies.","Разблокирует класс Драконий всадник. Высшая степень эволюции этого юнита, позволяющая драконам взмывать в небеса.",
Grand Army,Великая армия,
ALL squads in the army gain +10 capacity limit.,+10 к размеру ВСЕХ отрядов в армии.,
Professionalism,Профессионализм,
"New Conscripts start with mastery of all available Tier 1 classes, start with +3 Levels, and with full Loyalty to your cause.","Все рекруты начинают с полным мастерством всех классов первого ранга и полной преданностью вашему делу, также они получают +3 уровня.",
Musketeering,Мушкетёрство,
Advanced firearm techniques grant our Gunners and Dragoons an additional attack.,Передовые технологии огнестрельного оружия дают нашим стрелкам и драгунам дополнительную атаку.,
Industrial Furnace,Промышленное литьё,
"We are now able to maintain high-energy blast furnaces, allowing for far more efficient processing of materials. -1 Iron and Obsidian costs for all units.","Теперь мы можем обслуживать высокотемпературные доменные печи, что позволит более эффективно обрабатывать материалы. –1 к расходу железа и обсидиана для всех юнитов.",
Rifled Artillery,Нарезные стволы,
+1 Range to Siege Cannons.,+1 к радиусу атаки осадных пушек.,
Hero has fallen in battle,Герой пал в бою,
Mission objective failed,Миссия провалена,
Home Base has been captured,Главная база захвачена,
Chapter Complete!,Глава завершена!,
Chapter Complete,Глава завершена,
World Lore,Знания о миреСписок классов,
Tactics and Strategy,Тактика и стратегия,
Class List,Список классов,
Terrains,Объекты на карте,
Reference Guide,Справочник,
Tutorial,Обучение,
Attack from a hill using Jules's Squad,Атакуйте отрядом Джулса с холма,
Seize all Map Objectives,Захватите все цели на карте,
Seize Eastwall Fortress,Захватите крепость Иствол,
\\N[8] is defeated in battle,\\N[8] падёт в бою,
"Seize Marche, the Trade Town","Захватите Марч, торговый городок",
Seize the Donari Temple,Захватите храм Донари,
Complete The Chapter within 10 turns,Завершите главу за 10 ходов,
Seize Centurion's Rest Compound,Захватите лагерь возле Убежища Центуриона,
Barnabas is defeated before being recruited,"Барнабас побеждён до того, как успел присоединиться к вам",
No allied Imperial Army squads lost,Не потеряйте ни одного союзного отряда имперской армии,
Cause an enemy Squad to Surrender,Принудите вражеский отряд к сдаче,
Seize Centurion's Rest,Захватите Убежище Центуриона,
Stefan defeats an enemy in just 1 attack,Стефан убивает врага за 1 атаку,
Open all Treasures,Откройте все сундуки с сокровищами,
\\N[8] escapes from prison,\\N[8] сбегает из тюрьмы,
Any friendly units are defeated in battle,Не допустить поражения ни одного дружественного юнита,
Find and rescue the dragon child,Найдите и спасите детёныша дракона,
Seize Fort Naxos,Захватите форт Наксос,
\\N[8] is defeated in battle OR,\\N[8] падёт в бою ИЛИ,
The enemy captures Granheim Abbey,Враг захватывает аббатство Гренхейм,
"Seize Port Jenos, the Port Town","Захватите порт Дженос, портовый город",
Defeat Kuroda's squad in battle,Победите отряд Куроды в бою,
No enemy squads attack Fort Naxos,Ни один вражеский отряд не атакует форт Наксос,
Defend Fort Naxos for 15 turns OR,Защищать форт Наксос 15 ходов ИЛИ,
Destroy all enemy Squads + Seize Port Jenos,Разбейте все вражеские отряды и захватите порт Дженос,
The enemy captures Fort Naxos,Враг захватывает форт Наксос,
Narima is not defeated in battle,Нарима не падёт в бою,
Seize all Tidereaver ships,Захватите все корабли пиратов Тайдривера,
Seize the Tidereaver Flagship,Захватите флагман пиратов Тайдривера,
Seize Greyden Slave Complex,Захватите рабовладельческий комплекс Грейден,
Recruit the Barek Tor Mercenary,Наймите наёмника Барек Тор,
\\N[8] reaches Lemelin Monastery,\\N[8] добирается до монастыря Лемелин,
Lysander is not defeated in battle,Лисандер не падёт в бою,
No enemy squad attacks Lemelin Monastery,Ни один вражеский отряд не атакует монастырь Лемелин,
No more than 4 Isanter squads are defeated,Падёт не более 4 отрядов из Изантера,
Defend Lemelin Monastery for 15 turns OR,Защищать монастырь Лемелин 15 ходов ИЛИ,
Seize Westerfield Fortress,Захватите крепость Вестерфилд,
The enemy captures Lemelin Monastery,Враг захватывает монастырь Лемелин,
No enemy squads attack Isanter Palace,Ни один вражеский отряд не атакует дворец Изантер,
Complete The Chapter within 12 turns,Завершите главу за 12 ходов,
Seize Trucea,Захватите Труцию,
The enemy captures Isanter Palace OR,Враг захватывает дворец Изантер ИЛИ,
The enemy captures Lemelin Fortress,Враг захватывает крепость Лемелин,
Complete The Chapter within 20 turns,Завершите главу за 20 ходов,
