ENGLISH,RUSSIAN
"Date: Year 997-999\\PARLocation: Veridia, Sayunaa, and Sandraka\\PARBelligerents: Nephilim Army vs Empire of Archaelus, Followers of Zanatus, with Kingdom of Sayunaa changing alliances\\PARResult: Utter defeat and unconditional surrender of the Empire of Archaelus.\\PARTerritory changes: All territory under the provisional military government\\PARCasualties: 25,000 military deaths\\PARA struggle that will sound through the ages as a climactic point in history. Starting just from a small hideout, the Avatar of Donar built an army and dismantled the Empire of Archaelus piece by piece with stunning efficiency until the death of Emperor Casamir finally led to the end of the war.\\PARHistorians look at the staggering disparity in power between the beginnings of the war, and conclude that the Nephilim Army's victory can be attributed to several factors that crippled Archaelus Imperial war efforts. Casamir's ability to directly administer most elements of his government was minimal throughout his reign, making his role largely ceremonial. The institutional power lied with the Followers of Zanatus, who committed massive resources and manpower to the dismantling of the Donari Temple, the child abduction and reeducation efforts, and the domestic campaign to root out potential enemies of the state. For much of year 999, the Nephilim Army was merely a minor nuissance to Imperial leadership, only registering as a threat when it was far too late to turn the tide.","Время событий: 997–999 годы.\\PARМесто действия: Веридия, Саюна и Сандрака.\\PARСтороны конфликта: с одной стороны — армия нефилимов, с другой — Империя Архаилус и Последователи Занатуса. Саюнари переметнулись на другую сторону в ходе войны.\\PARИтог: полное поражение и безоговорочная капитуляция сил Империи Архаилус.\\PARТерриториальные изменения: все территории перешли под управление временного военного правительства.\\PARЖертвы: 25 000 погибших военных.\\PARЭта война запомнится на все века как величайший конфликт своей эпохи. Аватару Донара удалось, скрываясь от неприятеля, из небольшой силы приверженцев создать огромную армию, которая с невероятной эффективностью наносила противникам одно за другим поражения, пока дело не закончилось смертью императора Казамира и прекращением военных действий.\\PARПроводя анализ сил на начало и конец войны, историки сходятся во мнении, что успеху нефилимов и поражению войска Империи Архаилус способствовал целый ряд факторов. Казамир был фактически марионеткой на троне и не мог влиять почти ни на какие сферы деятельности в Империи. Фактическая власть была в руках Последователей Занатуса, которые использовали колоссальные ресурсы, чтобы уничтожить Храм Донара и похищать детей в целях их индоктринирования, а затем устроили охоту на ведьм, отлавливая неугодных новому правительству. Большую часть 999 года те, кто стояли у руля Империи, практически никакого внимания не уделяли армии нефилимов, а когда осознали потенциальную опасность, то было уже поздно что-то изменить."
Character stat: STR (Strength),Характеристика: СИЛ (сила)
"Determines ability to deal physical damage, also offers some physical resistance. Influences Dragon breath damage.",Влияет на наносимый физический урон и даёт немного защиты от физических атак. Также влияет на урон от драконьего дыхания.
Character stat: SKL (Skill),Характеристика: НАВ (навыки)
"Determines hit rate, critical hits, evasion, and glancing blows.","Влияет на точность, критические удары, уклонение и скользящие удары."
Character stat: MAG (Magic),Характеристика: МАГ (магия)
Affects ability to deal Magic damage and healing power. Also determines Magic Defense. Influences Dragon breath damage.,"Влияет на магический урон, силу исцеления и магическую защиту.Также влияет на урон от драконьего дыхания."
Character stat: LDR (Leadership),Характеристика: ЛДР (лидерство)
Determines Squad Capacity. Capacity determines how many units and artifacts can be added to a Squad.,"Влияет на размер отряда. Размер отряда определяет, сколько юнитов и артефактов можно добавить в отряд."
Affinity,Стихии
"Every unit in Tahnra is born with Affinity. These include, in order of most common to least common: Earth, Water, Lightning, Fire, Darkness, and Light.","Каждый юнит в мире Танра изначально имеет склонность к определённой стихии. Список стихий от самой распространённой до самой редкой: Земля, Вода, Молния, Огонь, Тьма и Свет."
"Bond, Family, Friendship","Любовь, семья, дружба"
"Characters start with, and can further develop Friendships, Deep Bonds, and even become Family, through Home Base Conversations.\\PARThese grant mutual bonuses to Morale when within 3 tiles of each other.","Отношения персонажей начинаются с дружбы, которая потом может превратиться в любовь, и впоследствии персонажи даже могут стать семьёй. Отношения развиваются во вкладке «Спутники» на главной базе.\\PARЛюбые отношения дают взаимный бонус к боевому духу в радиусе 3 клеток друг от друга."
Character stat: Armor,Характеристика: броня
"Determines physical damage mitigation. Is largely determined by what class a unit currently is, rather than growths over time.",Снижает физический урон. Прочность брони в основном зависит от класса юнита и не так сильно растёт со временем.
Surrenders and Force Surrender Tactic,Сдача и тактика принуждения к сдаче
"Force Surrender is a type of attack you can use, which gives the target a chance to Surrender. If this ask fails and the enemy refuses, battle will start, and you will lose your first volley. Any enemies destroyed in this attack will have a second chance to surrender.\\PARSurrender is a greater victory than outright destroying an enemy Squad. We will get a gold bounty at the end of the Chapter in exchange for the Prisoners of War captured via Surrenders, in addition to some Faction Rank XP.","Вместо атаки у вас есть возможность принудить противника к сдаче, и тогда вражеский отряд может сдаться. Если это не сработает и враг откажется сдаваться, начнётся бой в обычном режиме, но вы не сможете атаковать в первом раунде. Все уничтоженные в ходе такой атаки враги получают повторный шанс сдаться.\\PARПринуждение к сдаче считается более эффектной победой, чем просто выигранный бой. За каждого сдавшегося в плен врага мы получим дополнительно добычу (золот) в конце главы, а также ОПТ фракции для повышения ранга."
Class: Fighter,Класс: Боец
Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: -\\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: -,Может быть лидером отряда: Нет\\PARРанг: 1\\PARТип юнита: Тяжёлая пехота\\PARТип движения: Нормальный\\PARРесурсов требуется: -\\PARДействия в бою: 2 рубящих удара на расстоянии 1\\PARОсобенности: -
Class: Bowman,Класс: Лучник
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Archery\\PARMovement Type: Normal\\PARResources Required: -\\PARBattle Actions: 2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial: -",Может быть лидером отряда: Нет\\PARРанг: 1\\PARТип юнита: лучник\\PARТип движения: Нормальный\\PARРесурсов требуется: -\\PARДействия в бою: 2 стрелковых атаки на расстоянии 1 или or 1 атака навесом на расстоянии 2\\PARОсобенности: -
Class: Militia,Класс: Ополченец
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required: -\\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: Increased evasion in woods, townscape, hills, and swamp","Может быть лидером отряда: Нет\\PARРанг: 1\\PARТип юнита: Лёгкая пехота\\PARТип движения: Лёгкий\\PARРесурсов требуется: -\\PARДействия в бою: 2 рубящих атаки на расстоянии 1\\PARОсобенности: Улучшенное уклонение в лесах, городской местности, холмах и болотах"
Class: Medic,Класс: Лекарь
Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Support\\PARMovement Type: Slow\\PARResources Required: -\\PARBattle Actions: 1 Heal of the weakest ally\\PARSpecial: Can use a Squad's turn to heal members of an adjacent Squad,"Может быть лидером отряда: Нет\\PARРанг: 1\\PARТип юнита: Поддержка\\PARТип движения: Медленный\\PARРесурсов требуется: -\\PARДействия в бою: 1 исцеление самого слабого союзника\\PARОсобенности: Могут использовать ход отряда для лечения юнитов в отрядах на соседних клетках"
Class: Soldier,Класс: Солдат
Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 1 Iron\\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: -,Может быть лидером отряда: Да\\PARРанг: 2\\PARТип юнита: Тяжёлая пехота\\PARТип движения: Нормальный\\PARРесурсов требуется: 1 железо\\PARДействия в бою: 2 рубящих удара на расстоянии 1\\PARОсобенности: -
Class: Spearman,Класс: Копейщик
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 1 Iron\\PARBattle Actions: 2 Polearm attacks at 1 range\\PARSpecial: +15% Damage Dealt if adjacent to another Polearm user in the same row, +35% Damage dealt to Cavalry units","Может быть лидером отряда: Да\\PARРанг: 2\\PARТип юнита: Тяжёлая пехота\\PARТип движения: Нормальный\\PARРесурсов требуется: 1 железо\\PARДействия в бою: 2 атаки древковым оружием на расстоянии 1\\PARОсобенности: +15% к урону, если стоит в одном ряду с другим юнитом с древковым оружием, +35% к урону против кавалерии"
Class: Acolyte,Класс: Аколит
Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 1 Iron\\PARBattle Actions: 2 Striking attacks at 1 range\\PARSpecial: Resists Magic and Dragon Breath attacks by 25% of this unit's Armor value,Может быть лидером отряда: Да\\PARРанг: 2\\PARТип юнита: Тяжёлая пехота\\PARТип движения: Нормальный\\PARРесурсов требуется: 1 железо\\PARДействия в бою: 2 дробящих атаки на расстоянии 1\\PARОсобенности: Сопротивляется магическим атакам и драконьему дыханию на 25% от своей брони
Class: Cavalier,Класс: Кавалерист
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Heavy Cavalry\\PARMovement Type: Fast\\PARResources Required: 1 Iron, 1 Horse\\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: On offense, if Squad moved maximum possible range, this unit's 1st attack is a 'Charge Attack' which can Stun the target","Может быть лидером отряда: Да\\PARРанг: 2\\PARТип юнита: Тяжёлая кавалерия\\PARТип движения: Быстрый\\PARРесурсов требуется: 1 железо, 1 лошадь\\PARДействия в бою: 2 рубящих атаки на расстоянии 1\\PARОсобенности: Если отряд использует все свои очки движения, то атакует с разбега, в таком случае первая атака может оглушить врага"
Class: Skirmisher,Класс: Застрельщик
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required: -\\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: Increased evasion in woods, townscape, hills, and swamp","Может быть лидером отряда: Да\\PARРанг: 2\\PARТип юнита: Лёгкая пехота\\PARТип движения: Лёгкий\\PARРесурсов требуется: -\\PARДействия в бою: 2 рубящих удара на расстоянии 1\\PARОсобенности: Улучшенное уклонение в лесах, городской местности, холмах и болотах"
Class: Rogue,Класс: Разбойник
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required: -\\PARBattle Actions: On Offense, 1 Stealth Attack at 1 range, followed by 1 Slashing attack at 1 range. On Defense, 2 Slashing attacks at 1 range\\PARSpecial: When on Offense, first attack can hit the back row of the target Squad with increased damage","Может быть лидером отряда: Да\\PARРанг: 2\\PARТип юнита: Лёгкая пехота\\PARТип движения: Лёгкий\\PARРесурсов требуется: -\\PARДействия в бою: В нападении — 1 скрытая атака на расстоянии 1, затем 1 рубящая атака на расстоянии 1. В защите — 2 рубящих атаки на расстоянии 1\\PARОсобенности: В нападении первая атака наносит повышенный урон юнитам в тылу вражеского отряда"
Class: Swordfighter,Класс: Мечник
Class: Scout,Класс: Разведчик
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Light Cavalry\\PARMovement Type: Light, Fast\\PARResources Required: 1 Horse\\PARBattle Actions: 2 Polearm attacks at 1 range\\PARSpecial: On offense, if Squad moved maximum possible range, this unit's 1st attack is a 'Charge Attack' which can Stun the target, +35% Damage dealt to Cavalry units. Increased evasion in woods, townscape, hills, and swamp. +50% Evasion on offense.","Может быть лидером отряда: Да\\PARРанг: 2\\PARТип юнита: Лёгкая кавалерия\\PARТип движения: Лёгкий, быстрый\\PARРесурсов требуется: 1 лошадь\\PARДействия в бою: 2 атаки древковым оружием на расстоянии 1\\PARОсобенности: Если отряд использует все свои очки движения, то атакует с разбега, в таком случае первая атака может оглушить врага, +35% к урону кавалерии. Повышенное уклонение в лесах, городской местности, холмах и болотах. +50% к уклонению в нападении"
Class: Archer,Класс: Опытный лучник
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Archery\\PARMovement Type: Normal\\PARResources Required: -\\PARBattle Actions: 2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial: -",Может быть лидером отряда: Да\\PARРанг: 2\\PARТип юнита: Лучник\\PARТип движения: Нормальный\\PARРесурсов требуется: -\\PARДействия в бою: 2 обычных атаки на расстоянии 1 или 1 атака навесом на расстоянии 2\\PARОсобенности: -
Class: Crossbowman,Класс: Арбалетчик
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Archery\\PARMovement Type: Normal\\PARResources Required: 1 Iron\\PARBattle Actions: 2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial: Attacks ignore 25% of Armor, damage derived from Weapon Power, not STR","Может быть лидером отряда: Да\\PARРанг: 2\\PARТип юнита: Лучник\\PARТип движения: Нормальный\\PARРесурсов требуется: 1 железо\\PARДействия в бою: 2 обычных атаки на расстоянии 1 или 1 атака навесом на расстоянии 2\\PARОсобенности: Атаки игнорируют 25% брони, урон зависит от силы оружия, а не СИЛ"
Class: Horsebow,Класс: Конный лучник
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Archery\\PARMovement Type: Light, Fast\\PARResources Required: 1 Horse\\PARBattle Actions: 2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial:  +50% Evasion on offense.","Может быть лидером отряда: Да\\PARРанг: 2\\PARТип юнита: Лучник\\PARТип движения: Лёгкий, быстрый\\PARРесурсов требуется: 1 лошадь\\PARДействия в бою: 2 обычных атаки на расстоянии 1 или 1 атака навесом на расстоянии 2\\PARОсобенности:  +50% к уклонению в нападении"
Class: Priestess,Класс: Жрица
Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Support\\PARMovement Type: Slow\\PARResources Required: 1 Gem\\PARBattle Actions: 1 Heal of the weakest ally\\PARSpecial: Can use a Squad's turn to heal members of an adjacent Squad,Может быть лидером отряда: Да\\PARРанг: 2\\PARТип юнита: Поддержка\\PARТип движения: Медленный\\PARРесурсов требуется: 1 самоцвет\\PARДействия в бою: 1 исцеление самого слабого союзника\\PARОсобенности: Могут использовать ход отряда для лечения юнитов в отрядах на соседних клетках
Class: Apprentice,Класс: Ученик
Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: 1 Gem\\PARBattle Actions: 1 Fire Magic attacks at 1 range\\PARSpecial: -,Может быть лидером отряда: Да\\PARРанг: 2\\PARТип юнита: Маг\\PARТип движения: Медленный\\PARРесурсов требуется: 1 драгоценный камень\\PARДействия в бою: 1 атака магией огня на расстоянии 1\\PARОсобенности: -
Class: Siren,Класс: Сирена
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: 1 Gem\\PARBattle Actions: 1 Dark Magic attack 1 range\\PARSpecial: Chance to Stun or Daze targets. Daze lowers enemy STR for the duration of the battle, while Stun completely negates one enemy turn","Может быть лидером отряда: Да\\PARРанг: 2\\PARТип юнита: Маг\\PARТип движения: Медленный\\PARРесурсов требуется: 1 самоцвет\\PARДействия в бою: 1 атака магией Тьмы на расстоянии 1\\PARОсобенности: Есть шанс оглушить или ошеломить врага. Ошеломление понижает СИЛ врага на весь бой, а оглушение выводит из строя на один ход"
Class: Sentinel,Класс: Страж
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 3 Iron\\PARBattle Actions: 2 Polearm attacks at 1 range\\PARSpecial: +15% Damage Dealt if adjacent to another Polearm user in the same row, -50% damage taken from Firearm attacks, +35% Damage dealt to Cavalry units","Может быть лидером отряда: Да\\PARРанг: 3\\PARТип юнита: Тяжёлая пехота\\PARТип движения: Нормальный\\PARРесурсов требуется: 3 железа\\PARДействия в бою: 2 атаки древковым оружием на расстоянии 1\\PARОсобенности: наносит+15% урона, если стоит в одном ряду с другим воином с древковым оружием, получает –50% урона от огнестрельного оружия, наносит +35% урона кавалерии"
Class: Champion,Класс: Герой
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 2 Iron, 2 Obsidian\\PARBattle Actions: 2 Slashing double-attacks at 1 range\\PARSpecial: -","Может быть лидером отряда: Да\\PARРанг: 3\\PARТип юнита: Тяжёлая пехота\\PARТип движения: Нормальный\\PARРесурсов требуется: 2 железа, 2 обсидиана\\PARДействия в бою: 2 рубящих двойных атаки на расстоянии 1\\PARОсобенности: -"
Class: Zweihander,Класс: Цвайхендер
Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 2 Iron\\PARBattle Actions: 2 Wide-sweeping Slashing attacks at 1 range\\PARSpecial: Attacks deal splash damage to 1 tile adjacent to the target in the same row,"Может быть лидером отряда: Да\\PARРанг: 3\\PARТип юнита: Тяжёлая пехота\\PARТип движения: Нормальный\\PARРесурсов требуется: 2 железа\\PARДействия в бою: 2 размашистых рубящих атаки на расстоянии 1\\PARОсобенности: Атаки задевают юнита, стоящего за целью в том же ряду"
Class: Centurion,Класс: Центурион
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 2 Iron, 2 Obsidian\\PARBattle Actions: 2 Piercing Polearm attacks at 1 range\\PARSpecial: Attacks deal splash damage to 1 tile behind the target, +15% Damage dealt if adjacent to another Polearm user in the same row, +35% Damage dealt to Cavalry units","Может быть лидером отряда: Да\\PARРанг: 3\\PARТип юнита: Тяжёлая пехота\\PARТип движения: Нормальный\\PARРесурсов требуется: 2 железа, 2 обсидиана\\PARДействия в бою: 2 пронзающих атаки древковым оружием на расстоянии 1\\PARОсобенности: Атака наносит урон юниту, стоящему на 1 клетку позади цели. Наносит +15% урона, если стоит в одном ряду с другим воином с древковым оружием, наносит +35% урона кавалерии"
Class: Samurai,Класс: Самурай
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 2 Iron\\PARBattle Actions: 2 Polearm attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial: 15% Polearm Damage dealt if adjacent to another Polearm user in the same row, +35% Polearm Damage dealt to Cavalry units. 35% more base Evasion than other Heavy classes","Может быть лидером отряда: Да\\PARРанг: 3\\PARТип юнита: Тяжёлая пехота\\PARТип движения: Нормальный\\PARРесурсов требуется: 2 железа\\PARДействия в бою: 2 атаки древковым оружием на расстоянии 1 или 1 атака навесом на расстоянии 2\\PARОсобенности: Наносит 15% урона, если стоит в одном ряду с другим воином с древковым оружием, наносит +35% урона кавалерии. Уклонение на 35% выше, чем у других тяжелобронированных классов"
Class: Paladin,Класс: Паладин
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 2 Iron, 1 Sunstone\\PARBattle Actions: 2 Striking attacks at 1 range, or 1 Striking attack and 1 heal if an ally is below %50 HP\\PARSpecial: Resists Magic and Dragon Breath attacks by 25% of this unit's Armor value","Может быть лидером отряда: Да\\PARРанг: 3\\PARТип юнита: Тяжёлая пехота\\PARТип движения: Нормальный\\PARРесурсов требуется: 2 железа, 1 янтарь\\PARДействия в бою: 2 дробящих атаки на расстоянии 1 или 1 дробящая атака и 1 исцеление, если здоровье союзника ниже 50% ОЗ\\PARОсобенности: Сопротивление магии и драконьему дыханию равно 25% от брони этого юнита"
Class: Knight,Класс: Рыцарь
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Cavalry\\PARMovement Type: Fast\\PARResources Required: 2 Iron, 1 Obsidian, 1 Horse\\PARBattle Actions: 2 Slashing attacks with splash damage to adjacent targets at 1 range\\PARSpecial: On offense, if Squad moved maximum possible range, this unit's 1st attack is a 'Charge Attack' which can Stun the target","Может быть лидером отряда: Да\\PARРанг: 3\\PARТип юнита: Тяжёлая кавалерия\\PARТип движения: Быстрый\\PARРесурсов требуется: 2 железа, 1 обсидиан, 1 лошадь\\PARДействия в бою: 2 рубящих атаки, задевающие соседние клетки от цели на расстоянии 1\\PARОсобенности: Если отряд использует все свои очки движения, то атакует с разбега, в таком случае первая атака может оглушить врага"
Class: Valkyrie,Класс: Валькирия
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Cavalry\\PARMovement Type: Fast\\PARResources Required: 2 Iron, 1 Sunstone, 1 Horse\\PARBattle Actions: 2 Slashing attacks at 1 range, or 1 Slashing attack and 1 heal if an ally is below %50 HP\\PARSpecial: On offense, if Squad moved maximum possible range, this unit's 1st attack is a 'Charge Attack' which can Stun the target, Resists Magic and Dragon Breath attacks by 25% of this unit's Armor value","Может быть лидером отряда: Да\\PARРанг: 3\\PARТип юнита: Тяжёлая кавалерия\\PARТип движения: Быстрый\\PARРесурсов требуется: 2 железа, 1 янтарь, 1 лошадь\\PARДействия в бою: 2 атаки на расстоянии 1 или 1 атака и 1 исцеление, если у союзника меньше 50% ОЗ\\PARОсобенности: Если отряд использует все свои очки движения, то атакует с разбега, в таком случае первая атака может оглушить врага. Сопротивляется магическим атакам и драконьему дыханию на 25% от своей брони"
Class: Ranger,Класс: Рейнджер
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required: -\\PARBattle Actions: 1 Crossbow attack at 1 range followed by 1 Slashing attack at 1 range\\PARSpecial: Crossbow attack bypasses enemy Cover and Block from formations. Increased evasion in woods, townscape, hills, and swamp","Может быть лидером отряда: Да\\PARРанг: 3\\PARТип юнита: Лёгкая пехота\\PARТип движения: Лёгкий\\PARРесурсов требуется: -\\PARДействия в бою: 1 атака из арбалета на расстоянии 1, затем 1 рубящая атака на расстоянии 1\\PARОсобенности: Атака из арбалета игнорирует вражеское прикрытие и блок. Повышенное уклонение в лесах, городской местности, холмах и болотах"
Class: Assassin,Класс: Ассасин
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required: 2 Obsidian\\PARBattle Actions: On Offense, 1 Stealth Attack at 1 range, followed by 1 Slashing attack at 1 range. On Defense, 2 Slashing attacks at 1 range\\PARSpecial: When on Offense, first attack can hit the back row of the target Squad with increased damage","Может быть лидером отряда: Да\\PARРанг: 3\\PARТип юнита: Лёгкая пехота\\PARТип движения: Лёгкий\\PARРесурсов требуется: 2 обсидиана\\PARДействия в бою: В нападении — 1 скрытая атака на расстоянии 1, затем 1 рубящая атака на расстоянии 1. В защите -— 2 рубящих атаки на расстоянии 1\\PARОсобенности: В нападении первая атака наносит повышенный урон юнитам в тылу вражеского отряда"
Class: Swordmaster,Класс: Мастер-мечник
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required: 1 Iron, 2 Obsidian\\PARBattle Actions: 2 Slashing double-attacks at 1 range\\PARSpecial: Increased evasion in woods, townscape, hills, and swamp","Может быть лидером отряда: Да\\движения развития: 3\\PARТип юнита: Лёгкая пехота\\PARТип движения: Лёгкий\\PARРесурсов требуется: 1 железо, 2 обсидиана\\PARДействия в бою: 2 двойных рубящих атаки на расстоянии 1\\PARОсобенности: Повышенное уклонение в лесах, городской местности, холмах и болотах"
Class: Hussar,Класс: Гусар
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Light Cavalry\\PARMovement Type: Light, Fast\\PARResources Required: 2 Iron, 1 Horse\\PARBattle Actions: 2 Polearm attacks at 1 range\\PARSpecial: On offense, if Squad moved maximum possible range, this unit's 1st attack is a 'Charge Attack' which can Stun the target, +35% Damage dealt to Cavalry units. Increased evasion in woods, townscape, hills, and swamp.  +50% Evasion on offense.","Может быть лидером отряда: Да\\PARРанг: 3\\PARТип юнита: Лёгкая кавалерия\\PARТип движения: Лёгкий, быстрый\\PARРесурсов требуется: 2 железа, 1 лошадь\\PARДействия в бою: 2 атаки древковым оружием на расстоянии 1\\PARОсобенности: Если отряд использует все свои очки движения, то атакует с разбега, в таком случае первая атака может оглушить врага. Наносит +35% урона кавалерии. Повышенное уклонение в лесах, городской местности, холмах и болотах. +50% к уклонению в нападении."
Class: Warbow,Класс: Мастер-лучник
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Archery\\PARMovement Type: Normal\\PARResources Required: 2 Obsidian\\PARBattle Actions: 2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 or 3 range\\PARSpecial: -",Может быть лидером отряда: Да\\PARРанг: 3\\PARТип юнита: Лучник\\PARТип движения: Нормальный\\PARРесурсов требуется: 2 обсидиана\\PARДействия в бою: 2 обычных атаки на расстоянии 1 или 1 атака навесом на расстоянии 2 или 3\\PARОсобенности: -
Class: Raider,Класс: Налётчик
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Archery\\PARMovement Type: Light, Fast\\PARResources Required: 1 Iron, 1 Horse\\PARBattle Actions: 2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial:  +50% Evasion on offense.","Может быть лидером отряда: Да\\PARРанг: 3\\PARТип юнита: Лучник\\PARТип движения: Лёгкий, быстрый\\PARРесурсов требуется: 1 железо, 1 лошадь\\PARДействия в бою: 2 обычных атаки на расстоянии 1 или 1 атака навесом на расстоянии 2\\PARОсобенности:  +50% к уклонению в нападении."
Class: Gunner,Класс: Стрелок
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Firearms\\PARMovement Type: Normal\\PARResources Required: 2 Iron, 1 Pyrocite\\PARBattle Actions: 1 Gun attack at 1 range\\PARSpecial: Attacks ignore 75% of Armor, damage derived from Weapon Power and not STR.","Может быть лидером отряда: Да\\PARРанг: 3\\PARТип юнита: Огнестрельный\\PARТип движения: Нормальный\\PARРесурсов требуется: 2 железа, 1 пироцит\\PARДействия в бою: 1 атака из огнестрельного оружия на расстоянии 1\\PARОсобенности: Атаки игнорируют 75% брони, урон зависит от силы оружия, а не СИЛ."
Class: Dragoon,Класс: Драгун
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Firearms\\PARMovement Type: Fast\\PARResources Required: 2 Iron, 1 Pyrocite, 1 Horse\\PARBattle Actions: 1 Gun attack at 1 range\\PARSpecial: Attacks ignore 75% of Armor, damage derived from Weapon Power and not STR.","Может быть лидером отряда: Да\\PARРанг: 3\\PARТип юнита: Огнестрельный\\PARТип движения: Быстрый\\PARРесурсов требуется: 2 железа, 1 пироцит, 1 лошадь\\PARДействия в бою: 1 атака из огнестрельного оружия на расстоянии 1\\PARОсобенности: Атаки игнорируют 75% брони, урон зависит от силы оружия, а не СИЛ."
Class: Siege Cannon,Класс: Осадная пушка
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Firearms\\PARMovement Type: Normal\\PARResources Required: 3 Iron, 1 Pyrocite, 1 Horse\\PARBattle Actions: On Offense, 1 Explosive Cannon attack at 1, 2, or 3 range\\PARSpecial: Deals Splash damage to surrounding tiles. Attacks ignore 75% of Armor, damage derived from Weapon Power and not STR. Cannot counter-attack.","Может быть лидером отряда: Да\\PARРанг: 3\\PARТип юнита: Огнестрельный\\PARТип движения: Нормальный\\PARРесурсов требуется: 3 железа, 1 пироцит, 1 лошадь\\PARДействия в бою: В нападении — 1 выстрел на расстоянии 1, 2 или 3\\PARОсобенности: Наносит урон по соседним от цели клеткам. Атаки игнорируют 75% брони, урон зависит от силы оружия, а не СИЛ. Не может контратаковать."
Class: Templar,Класс: Храмовник
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Support\\PARMovement Type: Slow\\PARResources Required: 1 Sunstone, 1 Gems\\PARBattle Actions: 2 Heals of the weakest ally\\PARSpecial: Can use a Squad's turn to heal members of an adjacent Squad","Может быть лидером отряда: Да\\PARРанг: 3\\PARТип юнита: Поддержка\\PARТип движения: Медленный\\PARРесурсов требуется: 1 янтарь, 1 самоцвет\\PARДействия в бою: 2 исцеления самого слабого союзника\\PARОсобенности: Могут использовать ход отряда для лечения юнитов в отрядах на соседних клетках"
