ENGLISH,KOREAN
"XP is Experience Points, and CP is Class Points / Class Mastery.\\PARXP is gained from doing battle, defeating any units, or using an XP codex. Units that did not participate in the campaign will also gain a small amount, so that no one is severely left behind. You will always see your XP represented in increments of 100. Get 100 more XP to level up, which will increase your stats.\\PARCP, or Class Points / Class Mastery, is only gained from real combat experience, or using a CP Codex. In order to upgrade classes, you must fill up the CP Bar to ''Max''.","XP는 경험치 포인트, CP는 병과 포인트 / 병과 숙련도 입니다.\\PARXP는 전투 참여, 유닛 처치, XP 코덱스 사용으로 얻습니다. 캠페인에 참여하지 않은 유닛도 작은 양을 얻으므로, 성장이 심하게 뒤쳐지지 않습니다. XP는 항상 100 단위로 표시되어 볼 수 있습니다. 100 이상의 XP를 얻으면 레벨 업되어, 능력치가 증가합니다.\\PARCP 혹은 병과 포인트 / 병과 숙련도는 실제 전투 경험 및 CP 코덱스 사용으로만 얻을 수 있습니다. 병과를 승급하려면 CP 바를 ‘최대치’로 채워야 합니다."
Battle of Rimorgue River Valley,리모르그 강 계곡 전투
"Date: Year 999\\PARLocation: Stormrook, Rimorgue, banks of the Herald River\\PARBelligerents: Nephilim Army, Empire of Archaelus and Followers of Zanatus\\PARResult: Decisive Nephilim Army victory, near total destruction of the Empire of Archaelus military forces\\PARTerritory changes: Nephilim Army annexes Stormrook, Rimorgue, Fort Eureeka\\PARCasualties: 6,000 military deaths","날짜: 999년\\PAR위치: 스톰루크, 리모르그, 헤랄드 강둑\\PAR교전자: 네필림 군대, 아르켈루스 제국과 자나투스의 추종자들\\PAR결과: 네필림 군대의 결정적 승리, 아르켈루스 제국군의 거의 완전한 궤멸\\PAR영토 변화: 네필림 군대가 스톰루크, 리모르그, 유리카 요새를 합병한다\\PAR사상자: 6,000 군사 사망자"
Nephilim Millennium War,네필림 천년기 전쟁
"Date: Year 997-999\\PARLocation: Veridia, Sayunaa, and Sandraka\\PARBelligerents: Nephilim Army vs Empire of Archaelus, Followers of Zanatus, with Kingdom of Sayunaa changing alliances\\PARResult: Utter defeat and unconditional surrender of the Empire of Archaelus.\\PARTerritory changes: All territory under the provisional military government\\PARCasualties: 25,000 military deaths\\PARA struggle that will sound through the ages as a climactic point in history. Starting just from a small hideout, the Avatar of Donar built an army and dismantled the Empire of Archaelus piece by piece with stunning efficiency until the death of Emperor Casamir finally led to the end of the war.\\PARHistorians look at the staggering disparity in power between the beginnings of the war, and conclude that the Nephilim Army's victory can be attributed to several factors that crippled Archaelus Imperial war efforts. Casamir's ability to directly administer most elements of his government was minimal throughout his reign, making his role largely ceremonial. The institutional power lied with the Followers of Zanatus, who committed massive resources and manpower to the dismantling of the Donari Temple, the child abduction and reeducation efforts, and the domestic campaign to root out potential enemies of the state. For much of year 999, the Nephilim Army was merely a minor nuissance to Imperial leadership, only registering as a threat when it was far too late to turn the tide.","날짜: 997-999년\\PAR위치: 베리디아, 사유나, 산드라카\\PAR교전자: 네필림 군대 vs 아르켈루스 제국, 자나투스의 추종자들, 연합을 중도 변경한 사유나 왕국\\PAR결과: 아르켈루스 제국의 완전한 패배와 무조건적 항복.\\PAR영토 변경: 모든 영토의 임시 군사 정부 편입 \\PAR사상자: 25,000 군사 사망자\\PAR역사의 정점으로 시대에 걸쳐 전해질 투쟁. 작은 은신처에서 출발한 도나르의 현신은 카사미르 황제의 죽음으로 마침내 전쟁이 끝날 때까지 놀라운 효율성으로 군대를 구축하고 아르켈루스 제국을 조각조각 해체했다.\\PAR역사학자들은 전쟁 시작 사이의 놀라운 힘의 차이를 살펴보고, 네필림 군대의 승리는 아르켈루스 제국의 전쟁 노력을 무력화시킨 몇 가지 요인에 기인한다고 결론지었다. 카사미르는 그의 통치 기간 동안 정부 대부분의 요소들을 직접 관리할 수 있는 능력이 미미하여, 그의 역할은 대부분 의례적인 것에 그쳤다. 제도적 힘은 도나리교의 해체, 아동 유괴 및 재교육 노력 그리고 잠재적인 반역도를 뿌리뽑기 위한 국내 전선에 막대한 자원과 인력을 투입한 자나투스의 추종자들에게 있었다. 999년도의 대부분 동안, 네필림 군대는 제국 지도부에게는 단지 사소한 성가신 것에 불과했고, 상황을 반전시키기엔 너무 늦고 나서야 위협으로 여겨졌다."
Character stat: STR (Strength),캐릭터 능력치: 힘
"Determines ability to deal physical damage, also offers some physical resistance. Influences Dragon breath damage.","물리 피해를 입힐 능력을 결정하고, 물리 저항력도 제공합니다. 용 숨결 피해량에 영향을 줍니다."
Character stat: SKL (Skill),캐릭터 능력치: 재주
"Determines hit rate, critical hits, evasion, and glancing blows.","명중율, 치명타, 회피, 빚맞음을 결정합니다."
Character stat: MAG (Magic),캐릭터 능력치: 마력
Affects ability to deal Magic damage and healing power. Also determines Magic Defense. Influences Dragon breath damage.,마법 피해를 가하는 능력과 치유력에 영향을 줍니다. 또한 마법 방어력도 결정합니다. 용 숨결 피해량에 영향을 줍니다.
Character stat: LDR (Leadership),캐릭터 능력치: 통솔력
Determines Squad Capacity. Capacity determines how many units and artifacts can be added to a Squad.,부대 보급 한계를 결정합니다. 보급 한계는 부대에 얼마나 많은 유닛과 유물을 추가할 수 있는지 결정합니다.
Affinity,속성
"Every unit in Tahnra is born with Affinity. These include, in order of most common to least common: Earth, Water, Lightning, Fire, Darkness, and Light.","탄라의 모든 유닛에는 속성이 있습니다. 여기에는 흔한 것부터 희귀한 순서로 흙, 물, 번개, 불, 어둠, 빛이 있습니다."
"Bond, Family, Friendship","결속, 가족, 우정"
"Characters start with, and can further develop Friendships, Deep Bonds, and even become Family, through Home Base Conversations.\\PARThese grant mutual bonuses to Morale when within 3 tiles of each other.","캐릭터들은 기지에서 대화를 통해 우정으로 시작하여, 깊은 결속 관계가 되었다가, 가족까지 발전할 수 있습니다.\\PAR이를 통해 서로 3 타일 거리 안에 있을 때 상호간에 사기 보너스를 얻게 됩니다."
Character stat: Armor,캐릭터 능력치: 방어구
"Determines physical damage mitigation. Is largely determined by what class a unit currently is, rather than growths over time.",물리 피해량 경감을 결정합니다. 시간의 흐름에 따라 성장하기보다는 현재 유닛의 병과에 의해 주로 결정됩니다.
Surrenders and Force Surrender Tactic,항복과 투항 권고 전술
"Force Surrender is a type of attack you can use, which gives the target a chance to Surrender. If this ask fails and the enemy refuses, battle will start, and you will lose your first volley. Any enemies destroyed in this attack will have a second chance to surrender.\\PARSurrender is a greater victory than outright destroying an enemy Squad. We will get a gold bounty at the end of the Chapter in exchange for the Prisoners of War captured via Surrenders, in addition to some Faction Rank XP.","투항 권고는 사용할 수 있는 공격의 유형이며, 대상에게 항복할 기회를 줍니다. 적이 항복을 거부하면 전투가 시작되며, 플레이어의 부대는 첫 공격이 생략되고 바로 적의 첫 번째 반격이 시작됩니다. 이후 두 번째 공격에서 처치된 적은 항복하게 됩니다.\\PAR적의 항복은 적 부대를 그냥 처치하는 것보다 큰 승리가 됩니다. 항복을 통해 붙잡은 전쟁 포로는 장 종료 후 자동으로 금화로 몸값을 받고 교환되며, 이에 더해 약간의 진영 랭크 XP를 얻습니다."
Class: Fighter,병과: 전사
Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: -\\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: -,부대장 가능 여부: 불가\\PAR티어: 1\\PAR유닛 유형: 중보병\\PAR이동 유형: 일반\\PAR필요한 자원: -\\PAR전투 방식: 1타일 범위에 2회 베기 공격\\PAR특수: -
Class: Bowman,병과: 활잡이
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Archery\\PARMovement Type: Normal\\PARResources Required: -\\PARBattle Actions: 2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial: -","부대장 가능 여부: 불가\\PAR티어: 1\\PAR유닛 유형: 궁수\\PAR이동 유형: 일반\\PAR필요한 자원: -\\PAR전투 방식: 1타일 범위에 2회 활 공격, 혹은 2타일 거리에 1회 곡사 공격\\PAR특수: -"
Class: Militia,병과: 민병대
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required: -\\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: Increased evasion in woods, townscape, hills, and swamp","부대장 가능 여부: 불가\\PAR티어: 1\\PAR유닛 유형: 경보병\\PAR이동 유형: 경보병\\PAR필요한 자원: -\\PAR전투 방식: 1타일 범위에 2회 베기 공격\\PAR특수: 숲, 마을, 언덕, 늪지에서 회피 증가."
Class: Medic,병과: 의무병
Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Support\\PARMovement Type: Slow\\PARResources Required: -\\PARBattle Actions: 1 Heal of the weakest ally\\PARSpecial: Can use a Squad's turn to heal members of an adjacent Squad,부대장 가능 여부: 불가\\PAR티어: 1\\PAR유닛 유형: 지원\\PAR이동 유형: 느림\\PAR필요한 자원: -\\PAR전투 방식: 가장 체력이 낮은 아군에게 1회 치유\\PAR특수: 부대 하나의 턴을 이용하여 인접한 부대의 한 유닛을 치유합니다
Class: Soldier,병과: 정규보병
Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 1 Iron\\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: -,부대장 가능 여부: 가능\\PAR티어: 2\\PAR유닛 유형: 중보병\\PAR이동 유형: 일반\\PAR필요한 자원: 철 1개\\PAR전투 방식: 1타일 범위에 2회 베기 공격\\PAR특수: -
Class: Spearman,병과: 창병
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 1 Iron\\PARBattle Actions: 2 Polearm attacks at 1 range\\PARSpecial: +15% Damage Dealt if adjacent to another Polearm user in the same row, +35% Damage dealt to Cavalry units","부대장 가능 여부: 가능\\PAR티어: 2\\PAR유닛 유형: 중보병\\PAR이동 유형: 일반\\PAR필요한 자원: 철 1개\\PAR전투 방식: 1타일 범위에 2회 장창 공격\\PAR특수: 부대의 같은 줄에 인접한 또다른 장창 사용자가 있을 경우 +15%의 피해를 입히고, 기병대 유닛에게는 +35%의 피해를 입힙니다"
Class: Acolyte,병과: 견습 성기사
Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 1 Iron\\PARBattle Actions: 2 Striking attacks at 1 range\\PARSpecial: Resists Magic and Dragon Breath attacks by 25% of this unit's Armor value,부대장 가능 여부: 가능\\PAR티어: 2\\PAR유닛 유형: 중보병\\PAR이동 유형: 일반\\PAR필요한 자원: 철 1개\\PAR전투 방식: 1타일 범위에 2회 타격 공격\\PAR특수: 이 유닛의 방어구 값의 25%만큼 마법과 용 숨결에 저항
Class: Cavalier,병과: 기마병
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Heavy Cavalry\\PARMovement Type: Fast\\PARResources Required: 1 Iron, 1 Horse\\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: On offense, if Squad moved maximum possible range, this unit's 1st attack is a 'Charge Attack' which can Stun the target","부대장 가능 여부: 가능\\PAR티어: 2\\PAR유닛 유형: 중기병\\PAR이동 유형: 빠름\\PAR필요한 자원: 철 1개, 말 1필\\PAR전투 방식: 1타일 범위에 2회 베기 공격\\PAR특수: 공격 시, 부대가 이동 가능한 최대 범위까지 움직인 경우, 이 유닛의 첫번째 공격은 대상을 기절시킬 수 있는 ‘돌격 공격’이 됩니다"
Class: Skirmisher,병과: 척후병
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required: -\\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: Increased evasion in woods, townscape, hills, and swamp","부대장 가능 여부: 가능\\PAR티어: 2\\PAR유닛 유형: 경보병\\PAR이동 유형: 가벼움\\PAR필요한 자원: -\\PAR전투 방식: 1타일 범위에 2회 베기 공격\\PAR특수: 숲, 마을, 언덕, 늪지에서 회피 증가."
Class: Rogue,병과: 도적
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required: -\\PARBattle Actions: On Offense, 1 Stealth Attack at 1 range, followed by 1 Slashing attack at 1 range. On Defense, 2 Slashing attacks at 1 range\\PARSpecial: When on Offense, first attack can hit the back row of the target Squad with increased damage","부대장 가능 여부: 가능\\PAR티어: 2\\PAR유닛 유형: 경보병\\PAR이동 유형: 가벼움\\PAR필요한 자원: -\\PAR전투 방식: 공격 시, 1타일 범위에 1회 은신 공격, 그 다음 1타일 범위에 1회 베기 공격. 방어 시, 1타일 범위에 2회 베기 공격\\PAR특수: 공격 시, 첫 번째 공격이 대상 부대의 뒷줄을 공격해 증가한 공격력으로 피해를 줄 수 있습니다."
Class: Swordfighter,병과: 검사
Class: Scout,병과: 정찰기병
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Light Cavalry\\PARMovement Type: Light, Fast\\PARResources Required: 1 Horse\\PARBattle Actions: 2 Polearm attacks at 1 range\\PARSpecial: On offense, if Squad moved maximum possible range, this unit's 1st attack is a 'Charge Attack' which can Stun the target, +35% Damage dealt to Cavalry units. Increased evasion in woods, townscape, hills, and swamp. +50% Evasion on offense.","부대장 가능 여부: 가능\\PAR티어: 2\\PAR유닛 유형: 경기병\\PAR이동 유형: 가벼움, 빠름\\PAR필요한 자원: 말 1필\\PAR전투 방식: 1타일 범위에 2회 장창 공격\\PAR특수: 공격 시, 부대가 이동 가능한 최대 범위까지 움직인 경우, 이 유닛의 첫번째 공격은 대상을 기절시킬 수 있는 ‘돌격 공격’이 되고, 기병 유닛에게는 +35%의 피해를 입힙니다. 숲, 마을, 언덕, 늪지에서 회피 증가, 공격 시 +50% 회피."
Class: Archer,병과: 궁수
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Archery\\PARMovement Type: Normal\\PARResources Required: -\\PARBattle Actions: 2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial: -","부대장 가능 여부: 가능\\PAR티어: 2\\PAR유닛 유형: 궁수\\PAR이동 유형: 일반\\PAR필요한 자원: -\\PAR전투 방식: 1타일 범위에 2회 활 공격, 혹은 2타일 거리에 1회 곡사 공격 \\PAR특수: -"
Class: Crossbowman,병과: 석궁병
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Archery\\PARMovement Type: Normal\\PARResources Required: 1 Iron\\PARBattle Actions: 2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial: Attacks ignore 25% of Armor, damage derived from Weapon Power, not STR","부대장 가능 여부: 가능\\PAR티어: 2\\PAR유닛 유형: 궁수\\PAR이동 유형: 일반\\PAR필요한 자원: 철 1개\\PAR전투 방식: 1타일 범위에 2회 활 공격, 혹은 2타일 거리에 1회 곡사 공격\\PAR특수: 공격은 방어구의 25%를 무시하며, 힘이 아니라 무기 능력치에 기반해 피해량이 결정됩니다."
Class: Horsebow,병과: 궁기병
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Archery\\PARMovement Type: Light, Fast\\PARResources Required: 1 Horse\\PARBattle Actions: 2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial:  +50% Evasion on offense.","부대장 가능 여부: 가능\\PAR티어: 2\\PAR유닛 유형: 궁수\\PAR이동 유형: 가벼움, 빠름\\PAR필요한 자원: 말 1필\\PAR전투 방식: 1타일 범위에 2회 활 공격, 혹은 2타일 거리에 1회 곡사 공격 \\PAR특수:공격 시 +50% 회피"
Class: Priestess,병과: 여사제
Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Support\\PARMovement Type: Slow\\PARResources Required: 1 Gem\\PARBattle Actions: 1 Heal of the weakest ally\\PARSpecial: Can use a Squad's turn to heal members of an adjacent Squad,부대장 가능 여부: 가능\\PAR티어: 2\\PAR유닛 유형: 지원\\PAR이동 유형: 느림\\PAR필요한 자원: 보석 1개\\PAR전투 방식: 가장 체력이 낮은 아군에게 1회 치유\\PAR특수: 부대 하나의 턴을 이용하여 인접한 부대의 한 유닛을 치유합니다
Class: Apprentice,병과: 견습생
Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: 1 Gem\\PARBattle Actions: 1 Fire Magic attacks at 1 range\\PARSpecial: -,부대장 가능 여부: 가능\\PAR티어: 2\\PAR유닛 유형: 마법사\\PAR이동 유형: 느림\\PAR필요한 자원: 보석 1개\\PAR전투 방식: 1타일 범위에 2회 화염 마법 공격\\PAR특수: -
Class: Siren,병과: 사이렌
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: 1 Gem\\PARBattle Actions: 1 Dark Magic attack 1 range\\PARSpecial: Chance to Stun or Daze targets. Daze lowers enemy STR for the duration of the battle, while Stun completely negates one enemy turn","부대장 가능 여부: 가능\\PAR티어: 2\\PAR유닛 유형: 마법사\\PAR이동 유형: 느림\\PAR필요한 자원: 보석 1개\\PAR전투 방식: 1타일 범위에 1회 어둠 마법 공격\\PAR특수: 대상을 기절시키거나 멍하게 만들 확률이 있습니다. 멍해지면 적의 힘이 전투 내내 약해지며, 기절은 적 유닛 하나의 턴을 완전히 무효화합니다"
Class: Sentinel,병과: 수호자
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 3 Iron\\PARBattle Actions: 2 Polearm attacks at 1 range\\PARSpecial: +15% Damage Dealt if adjacent to another Polearm user in the same row, -50% damage taken from Firearm attacks, +35% Damage dealt to Cavalry units","부대장 가능 여부: 가능\\PAR티어: 3\\PAR유닛 유형: 중보병\\PAR이동 유형: 일반\\PAR필요한 자원: 철 3개\\PAR전투 방식: 1타일 범위에 2회 장창 공격\\PAR특수:부대의 같은 줄에 인접한 또다른 장창 사용자가 있을 경우 +15%의 피해를 입히고, 화기 공격으로 입는 피해가 -50%가 되고, 기병대 유닛에게는 +35%의 피해를 입힙니다"
Class: Champion,병과: 챔피언
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 2 Iron, 2 Obsidian\\PARBattle Actions: 2 Slashing double-attacks at 1 range\\PARSpecial: -","부대장 가능 여부: 가능\\PAR티어: 3\\PAR유닛 유형: 중보병\\PAR이동 유형: 일반\\PAR필요한 자원: 철 2개, 흑요석 2개\\PAR전투 방식: 1타일 범위에 2회 베기 연속 공격\\PAR특수:"
Class: Zweihander,병과: 양손검사
Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 2 Iron\\PARBattle Actions: 2 Wide-sweeping Slashing attacks at 1 range\\PARSpecial: Attacks deal splash damage to 1 tile adjacent to the target in the same row,부대장 가능 여부: 가능\\PAR티어: 3\\PAR유닛 유형: 중보병\\PAR이동 유형: 일반\\PAR필요한 자원: 철 2개\\PAR전투 방식: 1타일 범위에 2회 넓게 휘두르는 베기 공격\\PAR특수: 공격 대상과 같은 세로줄에 인접한 1 부대 타일에 피해를 입힙니다.
Class: Centurion,병과: 백인대장
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 2 Iron, 2 Obsidian\\PARBattle Actions: 2 Piercing Polearm attacks at 1 range\\PARSpecial: Attacks deal splash damage to 1 tile behind the target, +15% Damage dealt if adjacent to another Polearm user in the same row, +35% Damage dealt to Cavalry units","부대장 가능 여부: 가능\\PAR티어: 3\\PAR유닛 유형: 중보병\\PAR이동 유형: 일반\\PAR필요한 자원: 철 2개, 흑요석 2개\\PAR전투 방식: 1타일 범위에 2회 관통하는 장창 공격\\PAR특수: 공격 대상과 같은 가로줄에 인접한 바로 뒤의 적 유닛에 피해를 입힙니다. 부대의 같은 줄에 인접한 또다른 장창 사용자가 있을 경우 +15%의 피해를 입히고, 기병대 유닛에게는 +35%의 피해를 입힙니다"
Class: Samurai,병과: 사무라이
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 2 Iron\\PARBattle Actions: 2 Polearm attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial: 15% Polearm Damage dealt if adjacent to another Polearm user in the same row, +35% Polearm Damage dealt to Cavalry units. 35% more base Evasion than other Heavy classes","부대장 가능 여부: 가능\\PAR티어: 3\\PAR유닛 유형: 중보병\\PAR이동 유형: 일반\\PAR필요한 자원: 철 2개\\PAR전투 방식: 1타일 범위에 2회 장창 공격, 혹은 2타일 거리에 1회 곡사 공격 \\PAR특수: 부대의 같은 줄에 인접한 또다른 장창 사용자가 있을 경우 +15%의 피해를 입히고, 기병대 유닛에게는 +35%의 장창 피해를 입힙니다. 다른 중갑 병과보다 기본 회피율이 35% 높습니다"
Class: Paladin,병과: 성기사
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 2 Iron, 1 Sunstone\\PARBattle Actions: 2 Striking attacks at 1 range, or 1 Striking attack and 1 heal if an ally is below %50 HP\\PARSpecial: Resists Magic and Dragon Breath attacks by 25% of this unit's Armor value","부대장 가능 여부: 가능\\PAR티어: 3\\PAR유닛 유형: 중보병\\PAR이동 유형: 일반\\PAR필요한 자원: 철 2개, 태양석 1개\\PAR전투 방식: 1타일 범위에 2회 타격 공격, 혹은 아군 유닛 하나의 체력이 50% 이하일 때 1회 타격 공격 후 아군에게 1회 치유\\PAR특수: 이 유닛의 방어구 값의 25%만큼 마법과 용 숨결에 저항"
Class: Knight,병과: 기사
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Cavalry\\PARMovement Type: Fast\\PARResources Required: 2 Iron, 1 Obsidian, 1 Horse\\PARBattle Actions: 2 Slashing attacks with splash damage to adjacent targets at 1 range\\PARSpecial: On offense, if Squad moved maximum possible range, this unit's 1st attack is a 'Charge Attack' which can Stun the target","부대장 가능 여부: 가능\\PAR티어: 3\\PAR유닛 유형: 중기병\\PAR이동 유형: 빠름\\PAR필요한 자원: 철 2개, 흑요석 1개, 말 1필\\PAR전투 방식: 공격 대상과 인접한 적 유닛에 피해를 주는 2회 베기 공격\\PAR특수: 공격 시, 부대가 이동 가능한 최대 범위까지 움직인 경우, 이 유닛의 첫번째 공격은 대상을 기절시킬 수 있는 ‘돌격 공격’이 됩니다"
Class: Valkyrie,병과: 발키리
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Cavalry\\PARMovement Type: Fast\\PARResources Required: 2 Iron, 1 Sunstone, 1 Horse\\PARBattle Actions: 2 Slashing attacks at 1 range, or 1 Slashing attack and 1 heal if an ally is below %50 HP\\PARSpecial: On offense, if Squad moved maximum possible range, this unit's 1st attack is a 'Charge Attack' which can Stun the target, Resists Magic and Dragon Breath attacks by 25% of this unit's Armor value","부대장 가능 여부: 가능\\PAR티어: 3\\PAR유닛 유형: 중기병\\PAR이동 유형: 빠름\\PAR필요한 자원: 철 2개, 태양석 1개, 말 1필\\PAR전투 방식: 1타일 범위에 2회 베기 공격, 혹은 아군 유닛 하나의 체력이 50% 이하일 때 1회 베기 공격 후 아군에게 1회 치유 \\PAR특수: 공격 시, 부대가 이동 가능한 최대 범위까지 움직인 경우, 이 유닛의 첫번째 공격은 대상을 기절시킬 수 있는 ‘돌격 공격’이 되고, 이 유닛의 방어구 값의 25%만큼 마법과 용 숨결에 저항합니다."
Class: Ranger,병과: 레인저
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required: -\\PARBattle Actions: 1 Crossbow attack at 1 range followed by 1 Slashing attack at 1 range\\PARSpecial: Crossbow attack bypasses enemy Cover and Block from formations. Increased evasion in woods, townscape, hills, and swamp","부대장 가능 여부: 가능\\PAR티어: 3\\PAR유닛 유형: 경보병\\PAR이동 유형: 가벼움\\PAR필요한 자원: -\\PAR전투 방식: 1타일 범위에 1회 석궁 공격 후 1타일 범위에 1회 베기 공격\\PAR특수: 석궁 공격은 적의 진형 보호와 가로막기를 우회합니다. 숲, 마을, 언덕, 늪지에서 회피 증가."
Class: Assassin,병과: 암살자
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required: 2 Obsidian\\PARBattle Actions: On Offense, 1 Stealth Attack at 1 range, followed by 1 Slashing attack at 1 range. On Defense, 2 Slashing attacks at 1 range\\PARSpecial: When on Offense, first attack can hit the back row of the target Squad with increased damage","부대장 가능 여부: 가능\\PAR티어: 3\\PAR유닛 유형: 경보병\\PAR이동 유형: 가벼움\\PAR필요한 자원: 철 2개\\PAR전투 방식: 공격 시, 1타일 범위에 1회 은신 공격, 그 다음 1타일 범위에 1회 베기 공격. 방어 시, 1타일 범위에 2회 베기 공격 \\PAR특수: 공격 시, 첫 번째 공격이 대상 부대의 뒷줄을 공격해 증가한 공격력으로 피해를 줄 수 있습니다."
Class: Swordmaster,병과: 소드마스터
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required: 1 Iron, 2 Obsidian\\PARBattle Actions: 2 Slashing double-attacks at 1 range\\PARSpecial: Increased evasion in woods, townscape, hills, and swamp","부대장 가능 여부: 가능\\PAR티어: 3\\PAR유닛 유형: 경보병\\PAR이동 유형: 가벼움\\PAR필요한 자원: 철 1개, 흑요석 2개\\PAR전투 방식: 1타일 범위에 2회 베기 연속 공격\\PAR특수: 숲, 마을, 언덕, 늪지에서 회피 증가."
Class: Hussar,병과: 창기병
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Light Cavalry\\PARMovement Type: Light, Fast\\PARResources Required: 2 Iron, 1 Horse\\PARBattle Actions: 2 Polearm attacks at 1 range\\PARSpecial: On offense, if Squad moved maximum possible range, this unit's 1st attack is a 'Charge Attack' which can Stun the target, +35% Damage dealt to Cavalry units. Increased evasion in woods, townscape, hills, and swamp.  +50% Evasion on offense.","부대장 가능 여부: 가능\\PAR티어: 3\\PAR유닛 유형: 경기병\\PAR이동 유형: 가벼움, 빠름\\PAR필요한 자원: 철 2개, 말 1필\\PAR전투 방식: 1타일 범위에 2회 장창 공격\\PAR특수: 공격 시, 부대가 이동 가능한 최대 범위까지 움직인 경우, 이 유닛의 첫번째 공격은 대상을 기절시킬 수 있는 ‘돌격 공격’이 되고, 기병 유닛에게는 +35%의 피해를 입힙니다. 숲, 마을, 언덕, 늪지에서 회피 증가, 공격 시 +50% 회피."
Class: Warbow,병과: 저격수
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Archery\\PARMovement Type: Normal\\PARResources Required: 2 Obsidian\\PARBattle Actions: 2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 or 3 range\\PARSpecial: -","부대장 가능 여부: 가능\\PAR티어: 3\\PAR유닛 유형: 궁수\\PAR이동 유형: 일반\\PAR필요한 자원: 흑요석 2개\\PAR전투 방식: 1타일 범위에 2회 활 공격, 혹은 2~3타일 거리에 1회 곡사 공격\\PAR특수: -"
Class: Raider,병과: 급습기병
