ENGLISH,ENGLISH
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Firearms\\PARMovement Type: Normal\\PARResources Required: 2 Iron, 1 Pyrocite\\PARBattle Actions: 1 Gun attack at 1 range\\PARSpecial: Attacks ignore 75% of Armor, damage derived from Weapon Power and not STR.","Puede ser líder de pelotón: sí\\PARGrado: 3\\PARTipo de unidad: soldado de artillería\PARTipo de movimiento: normal\\PARRecursos necesarios: 2 de hierro, 1 pirocita\PARAcciones en combate: 1 disparo a 1 de distancia\\PAREspecial: los ataques ignoran un 75 % de la armadura, daño derivado del poder del arma, no de FUE"
Class: Dragoon,Clase: arcabucero
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Firearms\\PARMovement Type: Fast\\PARResources Required: 2 Iron, 1 Pyrocite, 1 Horse\\PARBattle Actions: 1 Gun attack at 1 range\\PARSpecial: Attacks ignore 75% of Armor, damage derived from Weapon Power and not STR.","Puede ser líder de pelotón: sí\\PARGrado: 3\\PARTipo de unidad: soldado de artillería\PARTipo de movimiento: rápido\\PARRecursos necesarios: 2 de hierro, 1 pirocita, 1 caballo\\PARAcciones en combate: 1 disparo a 1 de distancia\\PAREspecial: los ataques ignoran un 75 % de la armadura, daño derivado del poder del arma, no de FUE"
Class: Siege Cannon,Clase: cañonero
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Firearms\\PARMovement Type: Normal\\PARResources Required: 3 Iron, 1 Pyrocite, 1 Horse\\PARBattle Actions: On Offense, 1 Explosive Cannon attack at 1, 2, or 3 range\\PARSpecial: Deals Splash damage to surrounding tiles. Attacks ignore 75% of Armor, damage derived from Weapon Power and not STR. Cannot counter-attack.","Puede ser líder de pelotón: sí\\PARGrado: 3\\PARTipo de unidad: soldado de artillería\PARTipo de movimiento: normal\\PARRecursos necesarios: 3 de hierro, 1 pirocita, 1 caballo\\PARAcciones en combate: al atacar, libera 1 cañonazo a 1, 2 o 3 casilla(s) de distancia\\PAREspecial: causa daño colateral en las casillas de alrededor. Los ataques ignoran un 75 % de la armadura, daño derivado del poder del arma, no de FUE. No se puede contraatacar"
Class: Templar,Clase: gran templaria
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Support\\PARMovement Type: Slow\\PARResources Required: 1 Sunstone, 1 Gems\\PARBattle Actions: 2 Heals of the weakest ally\\PARSpecial: Can use a Squad's turn to heal members of an adjacent Squad","Puede ser líder de pelotón: sí\\PARGrado: 3\\PARTipo de unidad: apoyo\\PARTipo de movimiento: lento\\PARRecursos necesarios: 1 piedra solar, 1 gema\\PARAcciones en combate: 2 curaciones al aliado más débil\\PAREspecial: puede usar el turno del pelotón para curar a miembros de un pelotón adyacente"
Class: Hospitaller,Clase: hospitalaria
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Support\\PARMovement Type: Fast\\PARResources Required: 1 Gems, 1 Horse\\PARBattle Actions: 1 Heal of the weakest ally\\PARSpecial: Can use a Squad's turn to heal members of an adjacent Squad","Puede ser líder de pelotón: sí\\PARGrado: 2\\PARTipo de unidad: apoyo\\PARTipo de movimiento: rápido\\PARRecursos necesarios: 1 gema, 1 caballo\\PARAcciones en combate: 1 curación al aliado más débil\\PAREspecial: puede usar el turno del pelotón para curar a miembros de un pelotón adyacente"
Class: Fire Mage,Clase: mago de fuego
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: 2 Gems, 1 Sunstone\\PARBattle Actions: 1 Wide-sweeping Fire Magic attacks at 1 range\\PARSpecial: Does full damage to the entire target Row","Puede ser líder de pelotón: sí\\PARGrado: 3\\PARTipo de unidad: mago\\PARTipo de movimiento: lento\\PARRecursos necesarios: 2 gemas, 1 piedra solar\\PARAcciones en combate: 1 ataque mágico de fuego y barrido a 1 de distancia\\PAREspecial: causa un daño completo a toda la fila seleccionada"
Class: Ice Mage,Clase: mago de hielo
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: 2 Gems, 1 Sunstone\\PARBattle Actions: 1 Explosive Ice Magic attacks at 1 range\\PARSpecial: Does splash damage to a large diamond-shaped area around the target and inflicts the Chill status effect, which significantly lowers enemy SKL for the duration of the battle","Puede ser líder de pelotón: sí\\PARGrado: 3\\PARTipo de unidad: mago\\PARTipo de movimiento: lento\\PARRecursos necesarios: 2 gemas, 1 piedra solar\\PARAcciones en combate: 1 ataque mágico de hielo explosivo a 1 de distancia\\PAREspecial: causa daño colateral en una amplia zona con forma de diamante alrededor del objetivo y el perjuicio Congelación, que reduce significativamente la HAB del enemigo durante toda la batalla"
Class: Lightning Mage,Clase: mago de rayo
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: 2 Gems, 1 Sunstone\\PARBattle Actions: 1 Column-Piercing Lightning Magic attacks at 1 range\\PARSpecial: Does full damage to the entire target column, has a chance to inflict Daze, which lowers STR for the duration of the battle, or a small chance to inflict Stun, which completely negates one enemy turn","Puede ser líder de pelotón: sí\\PARGrado: 3\\PARTipo de unidad: mago\\PARTipo de movimiento: lento\\PARRecursos necesarios: 2 gemas, 1 piedra solar\\PARAcciones en combate: 1 ataque mágico de rayo que atraviesa 1 columna a 1 de distancia\\PAREspecial: - causa un daño completo a toda la columna, puede causar mareo, el cual reduce la FZA durante toda la batalla, o aturdimiento (en raras ocasiones), que anula completamente un turno enemigo"
Class: Sorceress,Clase: hechicera
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: 2 Gems\\PARBattle Actions: 1 Explosive Dark Magic attacks 1 range\\PARSpecial: Does splash damage to a large diamond-shaped area around the target. Chance to Stun or Daze targets. Daze lowers enemy STR for the duration of the battle, while Stun completely negates one enemy turn","Puede ser líder de pelotón: sí\\PARGrado: 3\\PARTipo de unidad: mago\\PARTipo de movimiento: lento\\PARRecursos necesarios: 2 gemas\\PARAcciones en combate: 1 ataque mágico de oscuridad explosivo a 1 de distancia\\PAREspecial: causa daño colateral en una amplia zona con forma de diamante alrededor del objetivo. Probabilidad de aturdir o marear a los objetivos. El mareo reduce la FZA durante toda la batalla, mientras que el aturdimiento anula completamente un turno enemigo"
Class: Drakeling,Clase: draco
Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Dragon\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.,Puede ser líder de pelotón: no\\PARGrado: 1\\PARTipo de unidad: dragón\PARTipo de movimiento: normal\\PARRecursos necesarios: -\\PARAcciones en combate: 2 ataques de aliento de dragón a 1 casilla de distancia\\PAREspecial: el daño del aliento de dragón depende de los atributos FZA y MAG a partes iguales.
"Attack Types, Armor, Bonuses and Effectiveness","Ataques, armadura, ventajas y efectividad"
"Warfare in the battlefields of Symphony of War are based around Armor. How to get more of it, or how to bypass it. Armor is advanced enough in this era that it is very effective against traditional attacks from melee weapons and bows, but offer little protection against Firearms and Magic.\\PARThe importance of Armor, which is highest in Heavy Infantry and Heavy Cavalry, is clearly represented in the militaries of Tahnra, who by and large invest a majority of their army sizes into Heavy units, with Archery being a common suppliment.\\PARA clever commander can easily think of ways to shake up the warfare meta-game of modern Tahnra, be it with ambushes by Light Squads, shocking Cavalry Charge attacks, or brute forcing through Armor with Firearms, Magicians, or Dragons.\\PARLight and Medium armor classes comprise everything not part of the Heavy Infantry or Heavy Cavalry Unit Types. Light Infantry, Light Cavalry, Archery, and Firearms Units are Medium Armor, while Support and Magicians are Light Armor. There are no special modifiers for attacks against these classes. They simply have significantly less Armor value than Heavy units.","Las guerras en los campos de batalla de Symphony of War dependen de las armaduras, de cómo sacarles el mayor partido o inutilizarlas. Las armaduras de esta era son lo suficientemente avanzadas como para soportar ataques físicos y flechas convencionales, pero ofrecen poca protección contra armas y magia.\\PARLa importancia de las armaduras, más resistentes en las clases de infantería y caballería pesadas, puede verse en los ejércitos de Tahnra, quienes no dudan en recurrir en su mayoría a unidades pesadas con arqueros como apoyo estándar.\\PARUn comandante inteligente podría encontrar formas fáciles de cambiar las tornas de cualquier combate bélico, bien mediante emboscadas con pelotones ligeros, potentes cargas de caballería o fuertes ataques con artilleros, magos y dragones capaces de atravesar las armaduras.\\PARLas clases de armadura ligera y media son todas las que no pertenecen a las clases de infantería o caballería pesadas. Las unidades de infantería y caballería ligeras, arqueros y artilleros tienen una armadura media, mientras que las unidades de apoyo y los magos tienen una armadura ligera. No hay modificadores especiales para los ataques contra estas clases; simplemente tienen bastante menos armadura que las unidades pesadas."
Movement Types,Tipos de movimiento
"Squad movement is derived from the units within it. Majority movement type of the squad almost always determines Squad movement type. In the case of a tie, it follows a hierarchy. Flying > Slow > Normal > Fast. Meaning, a tie between Flying units and other movement types will always create a Flying Squad. (Some units cancel flying movement. These include any Cavalry, Siege Cannons, or non-flying Dragons.) Conversely, a tie between Fast movement unit types and all other types will never create a Fast Movement type Squad.\\PARThis is the baseline Movement and terrain costs, which can and will be modified by a variety of factors, such as Squad Unit Type, Leadership aspects and traits, and Artifact aspects.","El movimiento de un pelotón depende las unidades que lo componen. El tipo de movimiento del pelotón lo determinará el tipo de movimiento que predomine entre sus unidades. En caso de empate, seguirá esta jerarquía: Volador > Lento > Normal > Rápido. Por ejemplo, en un empate entre unidades voladoras y otros tipos de movimiento, el pelotón siempre será de tipo volador. (Algunas unidades cancelan el movimiento de vuelo, como las unidades de caballería, los cañoneros o los dragones no voladores). Por el contrario, en un empate entre unidades de movimiento rápido y cualquier otro tipo de unidad, el pelotón nunca será de movimiento rápido.\\PAREsto es lo esencial en cuanto a movimiento y costes del terreno, los cuales varían en función de diversos factores, como el tipo de unidades del pelotón, su liderazgo y rasgos o sus artefactos."
Unit Types,Tipos de unidades
"Squad Type is derived from the units within it. Majority Unit type of the squad almost always determines Squad Type. In the case of a tie, it follows a hierarchy. Normal Infantry > Normal Cavalry > Light > Light Cavalry. Meaning, a tie between Normal units and other unit types will always create a Normal Infantry Squad. Conversely, a tie between Light Cavalry unit types and all other types will never create a Light Cavalry Squad Type.\\PARSquad Type's primary function is to determine which Squads get the significant benefit of being considered a 'Light' Type Squad, which grants the ability to conduct Ambushes, and lowers Movement cost of Rough terrain to 2.4 from 3.\\PARAmbushes are tremendously powerful if executed. Your Light Type Squad must start their turn in Woods, Hills, Swamp, Town tiles, and some field Objectives, and attack a target also inside Ambush territory or directly adjacent. If you execute an Ambush, the enemy cannot counter attack on the first volley, only on the 2nd.\\PAR'Hit and Run' is a feature of Normal Cavalry and Light Cavalry Squad Types. After taking an action such as attacking or healing, a Cavalry Squad can then move again using half of their original total Movement Points.","La clase de un pelotón depende las unidades que lo componen. El tipo de pelotón lo determinará el tipo de unidad que predomine. En caso de empate, seguirá esta jerarquía: Infantería normal > Caballería normal > Ligero > Caballería ligera. Por ejemplo, en un empate entre unidades normales y otros tipos de unidades, el pelotón siempre será de infantería normal. Por el contrario, en un empate entre unidades de caballería ligera y cualquier otro tipo de unidad, el pelotón nunca será de caballería ligera.\\PARLa función principal del tipo de un escuadrón es determinar qué pelotones cuentan con la gran ventaja de considerarse pelotones de tipo ligero, los cuales pueden realizar emboscadas y reducir el coste de movimiento en terrenos accidentados de 3 a 2,4.\\PARLas emboscadas pueden causar un daño tremendo. Tu pelotón de tipo ligero debe empezar su turno en un bosque, colina, pantano, ciudad o en ciertos objetivos de campo para luego atacar a un objetivo que también esté en un territorio de emboscada o directamente en una casilla adyacente. Si realizas una emboscada, el enemigo no podrá contraatacar la primera ronda de ataques, pero sí la segunda.\\PAR«Golpe y fuga» es una función de los pelotones de caballería normales y de caballería ligeros. Tras realizar una acción como atacar o curar, los pelotones de caballería pueden moverse de nuevo usando la mitad de sus puntos de movimiento totales."
Learnable Trait List (Unit level),Rasgos que se pueden aprender (nivel de unidad)
"These Traits are always active and apply only to the Unit. There are more traits, but they are tied to a class or a unique character. All of these traits can either be learned via Skill Tomes, or are innate Traits on randomly-generated Units.\\PAR","Estos rasgos siempre están activos y se aplican solo a la unidad. Hay más rasgos, pero están vinculados a una clase o a un personaje en concreto. Todos estos rasgos se pueden aprender usando libros de habilidad o son innatos en unidades generadas aleatoriamente.\\PAR"
Learnable Trait List (Leader level),Rasgos que se pueden aprender (nivel de líder)
"These Traits can be found on any Unit, but are only active if that Unit is a Squad Leader. There are more traits, but they are tied to a class or a unique character. All of these traits can either be learned via Skill Tomes, or are innate Traits on randomly-generated Units.\\PAR","Estos rasgos pueden tenerlos cualquier unidad, pero solo se activan si la unidad lidera un pelotón. Hay más rasgos, pero están vinculados a una clase o a un personaje en concreto. Todos estos rasgos se pueden aprender usando libros de habilidad o son innatos en unidades generadas aleatoriamente.\\PAR"
Loyalty,Lealtad
"Determines Capacity cost. Only applies to followers, not leaders. Mercenaries start with the lowest loyalty, for example. Loyalty is gained over time through combat experience and capturing objectives.","La lealtad determina la capacidad del pelotón, pero solo se aplica a los seguidores, no a los líderes. Los mercenarios comienzan con el mínimo de lealtad, por ejemplo. Conseguirás lealtad con el paso del tiempo a medida que luches y cumplas objetivos."
Threat Rating,Nivel de amenaza
"An overall rating of the Threat level of your Units and Squads. Affects enemy decision making - they are less likely to target Squads with higher Threat. Also affects Surrender chance. If your Threat Rating is lower than the Squad being targeted, they will not Surrender.","Se trata del nivel general de amenaza de tus unidades y pelotones. Esto afectará a las decisiones del enemigo, quien evitará luchar contra pelotones con un alto nivel de amenaza. También afecta a las probabilidades de que el enemigo se rinda. Si tu nivel de amenaza es inferior al del pelotón al que te enfrentes, este no se rendirá."
Block (formation),Bloqueo (formación)
"All units block allies from melee attacks when they are anywhere in the formation behind the blocking unit. Note, this is reversed for stealth/back attacks. The scope of blocking includes tiles in the same column, OR in the half-step columns directly above and below the blocking unit. Non-melee attacks are exempt from being blocked.","Todas las unidades bloquearán los ataques físicos de los aliados que tengan detrás de ellos, excepto los ataques furtivos o por la espalda. El alcance del bloqueo incluye las casillas que estén en la misma columna o a mitad de las columnas superior e inferior de la unidad que bloquea. Es imposible bloquear ataques que no sean físicos."
Cover (formation),Cobertura (formación)
"Heavy Infantry, Heavy Cavalry, Light Infantry, Light Cavalry, and Dragons can Cover allies based on formation. Being 'covered' reduces damage taken. The area/range of effect is the same as Blocking, but the scope or magnitude of the damage reduction varies. Heavy units confer more damage reduction than light units. The closer the proximity to the Covering unit, the greater the damage reduction. Cover can 'stack' if covered by more than one unit.","Las unidades de infantería pesada, caballería pesada, infantería ligera, caballería ligera y los dragones pueden cubrir a los aliados según su formación. Las unidades a cubierto recibirán menos daño. El alcance de casillas es similar al de los bloqueos, pero la cantidad de daño que la unidad sufre puede variar. Las unidades pesadas reducen más daño que las unidades ligeras. Cuanto más cerca estés de la unidad a cubierto, menos daño sufrirá esta. El daño reducido se puede acumular si hay más de una unidad ofreciendo cobertura."
Capacity,Capacidad
"Squad Capacity determines how many units and artifacts can comprise a squad. It is derived directly from the LDR stat of the Squad Leader. The default capacity cost of a unit is 10, and is modified by loyalty traits, or 'captain' leader traits. The cost of new units entering a squad increases to a baseline of 12 for the 6th unit, 14 for the 7th unit, 16 for the 8th unit, and 18 for the 9th unit.","La capacidad del pelotón determina el número de unidades y artefactos que puede llevar. Esto depende directamente del valor de LDR del líder del pelotón. El coste de capacidad estándar de una unidad es de 10, pero puede cambiar según los rasgos de lealtad o los rasgos del líder. El coste por añadir unidades a un pelotón aumenta a 12 por la sexta unidad, 14 por la séptima, 16 por la octava y 18 por la novena."
Status Effects,Perjuicios
Chill: Greatly reduces SKL for the duration of battle.\\PARDazed: Reduces STR for the duration of battle.\\PARStun: Magical stun inflicted by Sirens and Sorceresses. Prevents action.\\PARShock: Physical stun inflicted by Cavalry Charge.,Congelación: Reduce enormemente la HAB durante toda la batalla.\\PARMareo: Reduce la FZA durante toda la batalla.\\PARAturdimiento: Aflicción mágica que causan sirenas y hechiceras. Anula cualquier acción.\\PARContusión: Aflicción física que causa una carga de caballería.
(Formation) Row,Fila (formación)
"Side to side, from your Squad's perspective. The attack pattern of Zweihanders, Diana, and Fire Mages.","División horizontal de la formación de un pelotón. El patrón de ataque de los adalides, de Diana y de los magos de fuego."
(Formation) Column,Columna (formación)
"Front to back, from your Squad's perspective. The attack pattern of Centurions, and Lightning Mages.",División vertical de la formación de un pelotón. El patrón de ataque de los centuriones y los magos de rayo.
Shuffle,Intercambios
Swap the position of 2 player Squads. This will consume the action of the Squad initiating the Shuffle for that turn.\\PARCavalry and Flying Squads cannot participate in a Shuffle.,Cambia la posición de 2 pelotones. Esto consumirá la acción del pelotón que inició el intercambio durante ese turno.\\PARNo se pueden intercambiar pelotones de caballería y voladores.
Ambush,Emboscadas
"Ambushes are tremendously powerful if executed. Your Light Type Squad must start their turn in Woods, Hills, Swamp, Town tiles, and some field Objectives, and attack a target also inside Ambush territory or directly adjacent. If you execute an Ambush, the enemy cannot counter attack on the first volley, only on the 2nd, giving you one free attack.","Las emboscadas son ataques que causan un daño tremendo. Tu pelotón de tipo ligero debe empezar su turno en un bosque, colina, pantano, ciudad o en ciertos objetivos de campo para luego atacar a un objetivo que también esté en un territorio de emboscada o directamente en una casilla adyacente. Si realizas una emboscada, el enemigo no podrá contraatacar la primera ronda de ataques, pero sí la segunda."
Surround (Lowering enemy Morale tactic),Acorralamientos (reducir moral enemiga)
"You can significantly lower enemy Morale by surrounding an enemy squad, standing directly adjacent. The effect starts when you have 2 squads adjacent, and increases effect when you have 3, and 4 for maximum effect.",Puedes reducir bastante la moral enemiga colocándote junto a un pelotón enemigo para acorralarlo. El efecto se activa cuando hay 2 pelotones alrededor del enemigo y aumenta cuando hay 3 o 4 (el máximo efecto).
Class: Dragon,Clase: dragón
Can be a Squad Leader: No\\PARTier: 2\\PARUnit Type: Dragon\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Fire Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.,Puede ser líder de pelotón: no\\PARGrado: 2\\PARTipo de unidad: dragón\PARTipo de movimiento: normal\\PARRecursos necesarios: -\\PARAcciones en combate: 2 ataques de aliento de dragón de fuego a 1 casilla de distancia\\PAREspecial: el daño del aliento de dragón depende de los atributos FZA y MAG a partes iguales.
Class: Blue Dragon,Clase: dragón azul
Can be a Squad Leader: No\\PARTier: 3\\PARUnit Type: Dragon\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Lightning Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.,Puede ser líder de pelotón: no\\PARGrado: 3\\PARTipo de unidad: dragón\PARTipo de movimiento: normal\\PARRecursos necesarios: -\\PARAcciones en combate: 2 ataques de aliento de dragón de rayo a 1 casilla de distancia\\PAREspecial: el daño del aliento de dragón depende de los atributos FZA y MAG a partes iguales.
Class: Silver Dragon,Clase: dragón plateado
Can be a Squad Leader: No\\PARTier: 3\\PARUnit Type: Dragon\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Ice Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.,Puede ser líder de pelotón: no\\PARGrado: 3\\PARTipo de unidad: dragón\PARTipo de movimiento: normal\\PARRecursos necesarios: -\\PARAcciones en combate: 2 ataques de aliento de dragón de hielo a 1 casilla de distancia\\PAREspecial: el daño del aliento de dragón depende de los atributos FZA y MAG a partes iguales.
Class: Red Dragon,Clase: dragón rojo
Can be a Squad Leader: No\\PARTier: 3\\PARUnit Type: Dragon\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Fire Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.,Puede ser líder de pelotón: no\\PARGrado: 3\\PARTipo de unidad: dragón\PARTipo de movimiento: normal\\PARRecursos necesarios: -\\PARAcciones en combate: 2 ataques de aliento de dragón de fuego a 1 casilla de distancia\\PAREspecial: el daño del aliento de dragón depende de los atributos FZA y MAG a partes iguales.
Class: Blue Dragon Rider,Clase: dragonarca azul
"Can be a Squad Leader: Yes\\PARTier: 4\\PARUnit Type: Dragon\\PARMovement Type: Flying\\PARResources Required: 2 Gems, 2 Obsidian\\PARBattle Actions: 2 Lightning Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.","Puede ser líder de pelotón: sí\\PARGrado: 4\\PARTipo de unidad: dragón\PARTipo de movimiento: volador\\PARRecursos necesarios: 2 gemas, 2 de obsidiana\\PARAcciones en combate: 2 ataques de aliento de dragón de rayo a 1 casilla de distancia\\PAREspecial: el daño del aliento de dragón depende de los atributos FZA y MAG a partes iguales."
Class: Silver Dragon Rider,Clase: dragonarca plateado
"Can be a Squad Leader: Yes\\PARTier: 4\\PARUnit Type: Dragon\\PARMovement Type: Flying\\PARResources Required: 2 Gems, 2 Obsidian\\PARBattle Actions: 2 Ice Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.","Puede ser líder de pelotón: sí\\PARGrado: 4\\PARTipo de unidad: dragón\PARTipo de movimiento: volador\\PARRecursos necesarios: 2 gemas, 2 de obsidiana\\PARAcciones en combate: 2 ataques de aliento de dragón de hielo a 1 casilla de distancia\\PAREspecial: el daño del aliento de dragón depende de los atributos FZA y MAG a partes iguales."
Class: Red Dragon Rider,Clase: dragonarca rojo
"Can be a Squad Leader: Yes\\PARTier: 4\\PARUnit Type: Dragon\\PARMovement Type: Flying\\PARResources Required: 2 Gems, 2 Obsidian\\PARBattle Actions: 2 Fire Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.","Puede ser líder de pelotón: sí\\PARGrado: 4\\PARTipo de unidad: dragón\PARTipo de movimiento: volador\\PARRecursos necesarios: 2 gemas, 2 de obsidiana\\PARAcciones en combate: 2 ataques de aliento de dragón de fuego a 1 casilla de distancia\\PAREspecial: el daño del aliento de dragón depende de los atributos FZA y MAG a partes iguales."
Class: Captain,Clase: líder
Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required:\\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: Gains a small amount of LDR from entire army's LDR gains,Puede ser líder de pelotón: sí\\PARGrado: 2\\PARTipo de unidad: infantería pesada\\PARTipo de movimiento: normal\\PARRecursos necesarios: -\\PARAcciones en combate: 2 ataques cortantes a 1 casilla de distancia\\PAREspecial: gana una pequeña cantidad del LDR que consiga todo el ejército
Class: Lord,Clase: lord
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required:\\PARBattle Actions: 1 MAG-based Area effect attack, and 1 Slashing attack at 1 range\\PARSpecial: Gains a small amount of LDR from entire army's LDR gains",Puede ser líder de pelotón: sí\\PARGrado: 3\\PARTipo de unidad: infantería pesada\\PARTipo de movimiento: normal\\PARRecursos necesarios: -\\PARAcciones en combate: 1 ataque mágico de área y 1 ataque cortante a 1 casilla de distancia\\PAREspecial: gana una pequeña cantidad del LDR que consiga todo el ejército
Class: Blademaster,Clase: gran espadachín
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required:\\PARBattle Actions: 2 Slashing double-attacks at 1 range OR 1 archery attack at 2 range\\PARSpecial: Increased evasion in woods, townscape, hills, and swamp","Puede ser líder de pelotón: sí\\PARGrado: 3\\PARTipo de unidad: infantería ligera\\PARTipo de movimiento: ligero\\PARRecursos necesarios: -\\PARAcciones en combate: 2 ataques cortantes dobles a 1 casilla de distancia o 1 flechazo arqueado a 2 de distancia\\PAREspecial: mayor evasión en bosques, entornos urbanos, colinas y pantanos"
Class: Exemplar,Clase: paradigma
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required:\\PARBattle Actions: 2 Striking, wide-sweeping at 1 range that strike an entire row\\PARSpecial: Resists Magic and Dragon Breath attacks by 25% of this unit's Armor value",Puede ser líder de pelotón: sí\\PARGrado: 3\\PARTipo de unidad: infantería pesada\\PARTipo de movimiento: normal\\PARRecursos necesarios: -\\PARAcciones en combate: 2 ataques contundentes de barrido a 1 casilla de distancia que golpean a toda la fila\\PAREspecial: reduce los ataques mágicos y de aliento de dragón un 25 % del valor de armadura de esta unidad
Class: General,Clase: general
Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Support\\PARMovement Type: Cavalry\\PARResources Required:\\PARBattle Actions: 1 moderate heal that affects the entire Squad\\PARSpecial:,Puede ser líder de pelotón: sí\\PARGrado: 3\\PARTipo de unidad: apoyo\\PARTipo de movimiento: caballería\\PARRecursos necesarios: -\\PARAcciones en combate: 1 curación moderada a todo el pelotón\\PAREspecial:
Class: Mirage,Clase: espejismo
Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required: \\PARBattle Actions: 3 Stealth Attacks at 1 range\\PARSpecial:,Puede ser líder de pelotón: sí\\PARGrado: 3\\PARTipo de unidad: infantería ligera\\PARTipo de movimiento: ligero\\PARRecursos necesarios: -\\PARAcciones en combate: 3 ataques furtivos a 1 casilla de distancia\\PAREspecial:
Class: Arbalest,Clase: arbaletero
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Archery\\PARMovement Type: Normal\\PARResources Required: 3 Iron\\PARBattle Actions: 2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial: Attacks ignore 25% of Armor, damage derived from Weapon Power, not STR -25% damage taken from ranged attacks","Puede ser líder de pelotón: sí\\PARGrado: 3\\PARTipo de unidad: arquero\\PARTipo de movimiento: normal\\PARRecursos necesarios: 3 de hierro\\PARAcciones en combate: 2 flechazos a 1 casilla de distancia o 1 flechazo arqueado a 2 casillas de distancia\\PAREspecial: los ataques ignoran un 25 % de la armadura, daño derivado del poder del arma, no de FZA, -25 % a daño sufrido con ataques a distancia."
Class: War Cat,Class: gato de guerra
"Can be a Squad Leader: No\\PARTier: 2\\PARUnit Type: Beast\\PARMovement Type: Light\\PARResources Required: \\PARBattle Actions: 2 Wide-sweeping Slashing attacks at 1 range\\PARSpecial: Attacks deal splash damage to 1 tile adjacent to the target in the same row, can attack across walls","Puede ser líder de pelotón: no\\PARGrado: 2\\PARTipo de unidad: bestia\\PARTipo de movimiento: ligero\\PARRecursos necesarios: \\PARAcciones en combate: 2 ataques cortantes de barrido a 1 casilla de distancia\\PAREspecial: el ataque causa daño colateral a 1 casilla adyacente al objetivo de la misma fila, puede atacar a través de murallas."
Class: Behemoth,Clase: bégimo
"Can be a Squad Leader: No\\PARTier: 3\\PARUnit Type: Beast\\PARMovement Type: Light\\PARResources Required: \\PARBattle Actions: 2 Wide-sweeping Slashing attacks at 1 range\\PARSpecial: Attacks deal splash damage to 1 tile adjacent to the target in the same row, can attack across walls","Puede ser líder de pelotón: sí\\PARGrado: 3\\PARTipo de unidad: bestia\\PARTipo de movimiento: ligero\\PARRecursos necesarios: \\PARAcciones en combate: 2 ataques cortantes de barrido a 1 casilla de distancia\\PAREspecial: el ataque causa daño colateral en 1 casilla adyacente al objetivo de la misma fila, puede atacar a través de murallas."
Class: Necromancer,Clase: nigromante
