Gain a chance at an extra action for every ally unit below half health at the end of combat,戦闘終了時に追加アクションを発動することがある。その確率は、HPが半分以下の味方ユニットが多いほど高くなる
Executioner,処刑人
Overpower,制圧
Deal damage to enemy Morale based on difference in STR,STRの差に応じて敵の士気にダメージを与える
Vengeance,復讐
Bodyguard,護衛
Venerable,威光
Squad Leader cannot be directly targeted unless all other squad members are incapaciated,他のすべての部隊メンバーが戦闘不能にならない限り、部隊リーダーは直接的なターゲットにされない
Dragon Affinity,竜の愛
Dragons in squad gain class XP faster,この部隊のドラゴンは、クラスXPをより多く獲得する
Light's Judgement,光の裁き
"When taking damage in battle, Diana gains Attack Power for the duration of the battle",ダイアナが戦闘でダメージを受けると、その戦闘中に追加の攻撃力を得る
Garrison,防衛隊
Damage reduction granted from terrains is increased by 50%,地形によるダメージ軽減効果が50％増大する
Soul of Sayunaa,サユナーの心
"Once per Phase, Swordfighter, Swordmaster, and Blademaster will automatically strike first on defense",フェイズごとに1回、ソードファイター、ソードマスター、ブレードマスターが守備時に自動的に先攻になる。
Desert Warrior,砂漠の戦士
Guile,狡猾
Unit bypasses Block and can attack any target,ユニットはブロックを無視し、あらゆるターゲットを攻撃できる
Retainer,家臣の守り
Jules takes 50% less damage if within 3 tiles on the tactical map,マップの3マス以内にいる場合、ジュールスの被ダメージが50％減少する
Tundra Warrior,極寒の戦士
"Squad is immune to negative effects of Blizzard weather and Chill status, and gains bonus evasion in Blizzard weather and Snow terrain",部隊は吹雪の天候や凍結ステータスの悪影響を受けず、吹雪の天候や雪原の地形で回避ボーナスを獲得する
Feline Acuity,猫の回避本能
Massive evasion boost versus stealth attacks,ステルス攻撃に対して大幅な回避ブーストを得る
Barek Tor Savagery,猫の狩猟本能
"At Night, every attack is an Ambush",夜になると、すべての攻撃が奇襲となる
Scavenger,漁り屋
Thievery,盗みの達人
"On combats initiated by my squad, steal a small amount of gold from the primary target based on SKL",この部隊が開始した戦闘において、メインターゲットからSKLに基づいて少量のゴールドを盗む
Haughty,高飛車
Beatrix is not affected by the morale of her squad,ベアトリクスは部隊の士気の影響を受けない
Shock and Awe,衝撃と畏怖
Donar's Presence,ドナーの存在感
Squads within 3 tiles are given a morale boost,周囲3マス以内にいる部隊の士気を高める
Shadow,隠密
Squad can move through tiles containing enemy Squads,部隊は、敵の部隊を含むマスを移動できる
Hand of Zanatus,ザナトゥスの手
2x damage to enemy morale from all actions and enemies will not surrender,すべてのアクションで2倍の士気ダメージを与え、決して降伏しない
Monarch,王の守り
Heavy units in Jules's Squad will always Cover him from targeted damage,ジュールスの部隊の重装ユニットは、常にジュールをターゲットダメージからカバーする。
Mirage,ミラージュ
"Gain an extra attack.  Every attack, and every counter-attack Stefan uses will be a Stealth attack",追加の攻撃を獲得する。 ステファンのすべての攻撃および反撃は、ステルス攻撃になる
Finish the Millenium War!,千年戦争の終結者
The world is behind you! +20 Capacity.  Your hero heals and boosts the morale of all allies within 3 tiles,世界が自分についている！キャパシティ+20。主人公は3マス以内のすべての味方の士気を回復し、高める
Prodigy,神童
"Unit gains 20% bonus to XP, CP, and LDR growth",このユニットは、XP、CP、LDRを20％多く獲得する
Mercenary,傭兵
Unit is solely motivated by a pay day. +2 Capacity cost unless leader,このユニットは金以外に興味がない。キャパシティコスト +2（リーダーでない場合）
Non-Committal,どっちつかず
Unit is beginning to warm up to your cause. +1 Capacity cost,このユニットは、行軍の正義に中立な姿勢だ。キャパシティコスト +1
Committed,賛同者
Unit identifies with your cause. -1 Capacity cost,このユニットは、行軍の正義を認めている。キャパシティコスト -1
Loyal,忠臣
Unit feels fully dedicated to your cause. -2 Capacity cost,このユニットは、行軍の正義に忠誠を誓っている。キャパシティコスト -2
"Squad is faster in open terrain, and can move after attacking",この部隊は開けた地形でより速く移動し、攻撃後も移動できる
"Squad's move is not penalized by rough terrain, moves slightly faster indoors, can hide in and ambush from woods, swamps, and towns",部隊の移動は荒い地形によってペナルティを受けることはなく、屋内ではわずかに速く動き、森、沼、町に隠れたり、奇襲したりできる
Squad has poor physical conditioning and less battlefield movement,部隊は調子が悪く、戦場での移動が遅くなっている
Squad's movement ignores terrain,部隊の移動は地形を無視する
\\N[8] - Zelos: I have dreamed of this for so long,\\N[8] - ゼロス:待ち焦がれた一時
\\N[8] and Zelos developed a deep bond.,\\N[8]とゼロスは深い絆を築いた。
\\N[8] - Jules: Some things shouldn't stay a secret,\\N[8] - ジュールス:隠せない想い
\\N[8] and Jules developed a deep bond.,\\N[8]とジュールスは深い絆を築いた。
\\N[8] - Barnabas: A story 20 years in the making,\\N[8] - バルナバス:20年越しの恋
\\N[8] and Barnabas developed a deep bond.,\\N[8]とバルナバスは深い絆を築いた。
"\\N[8] - Stefan: Partners in crime, forever?",\\N[8] - ステファン:永遠の悪友
\\N[8] and Stefan developed a deep bond.,\\N[8]とステファンは深い絆を築いた。
\\N[8] - Lysander: Intellectual supernova,\\N[8] - ライサンダー:偉大なる知性の融合
\\N[8] and Lysander developed a deep bond.,\\N[8]とライサンダーは深い絆を築いた。
\\N[8] - Jaromir: A very straight-forward proposal,\\N[8] - ジャロミール:情熱の求婚
\\N[8] and Jaromir developed a deep bond.,\\N[8]とジャロミールは深い絆を築いた。
\\N[8] - Sybil: I can be your refuge,\\N[8] - シビル:戦士の癒し
\\N[8] and Sybil developed a deep bond.,\\N[8]とシビルは深い絆を築いた。
\\N[8] - Jules: Fancy meeting you here,\\N[8] - ジュールス:思いがけぬ再会
\\N[8] and Jules have become friends.,\\N[8]とジュールスは友人になった。
\\N[8] - Barnabas: Mentor or mentee?,\\N[8] - バルナバス:師か弟子か
\\N[8] - Stefan: Tidereaver scum,\\N[8] - ステファン:タイドリーバーの無法者
\\N[8] and Stefan have become friends.,\\N[8]とステファンは友人になった。
\\N[8] - Stefan: Rogue with a heart of gold,\\N[8] - ステファン:黄金の心を持つ盗賊
\\N[8] - Raskuja: Legends of the Barek Tor,\\N[8] - ラスクージャ:バレクトールの伝説
\\N[8] and Raskuja have become friends.,\\N[8]とラスクージャは友人になった。
\\N[8] - Raskuja: Heart of the jungle,\\N[8] - ラスクージャ:ジャングルの魂
\\N[8] - Lysander: Ponderings on modernity,\\N[8] - ライサンダー:現代の考察
Diana - Stefan: Cannot deny our destiny,ダイアナ - ステファン:逆らえぬ運命
Diana and Stefan have developed a deep bond.,ダイアナとステファンは深い絆を築いた。
Diana - Lysander: You are better than this,ダイアナ - ライサンダー:あなたはこんなものじゃない
Diana and Lysander have become friends.,ダイアナとライサンダーは友人になった。
Diana - Lysander: An impolite inquiry,ダイアナ - ライサンダー:無礼な問い
Diana - Lysander: Subtlety is a lost art,ダイアナ - ライサンダー:失われた芸術
Diana - Jaromir: Old-fashioned fella,ダイアナ - ジャロミール:古き良き愛の形
Diana and Jaromir have developed a deep bond.,ダイアナとジャロミールは深い絆を築いた。
Beatrix - Jules: Spending social capital,ベアトリクス - ジュールス:社会資本
Beatrix and Jules have become friends.,ベアトリクスとジュールスは友人になった。
Beatrix - Jules: Redheads're nice,ベアトリクス - ジュールス:美しき赤い髪
Beatrix and Jules have developed a deep bond.,ベアトリクスとジュールスは深い絆を築いた。
Sybil - Jules: Walk this life with me,シビル - ジュールス:この人生を共に歩もう
Sybil and Jules have developed a deep bond.,シビルとジュールスは深い絆を築いた。
Sybil - Barnabas: Still got that spark,シビル - バルナバス:最後の火花
Sybil and Barnabas have developed a deep bond.,シビルとバルナバスは深い絆を築いた。
Abigayle - Zelos: Nice guys never win,アビゲイル - ゼロス:悪は勝つ
Zelos and Abigayle have developed a deep bond.,ゼロスとアビゲイルは深い絆を築いた。
"Narima - Stefan: Failed pickup artist, part 1",ナリマ - ステファン:やりすぎなナンパ、パート1
"Narima - Stefan: Failed pickup artist, part 2",ナリマ - ステファン:やりすぎなナンパ、パート2
Edelia - Lysander: Crossing sacred boundaries,エデリア - ライサンダー:神聖な境界線
Edelia and Lysander have developed a deep bond.,エデリアとライサンダーは深い絆を築いた。
Narima - Stefan: Failed pickup art... wait,ナリマ - ステファン:やりすぎなナンパ...かと思いきや
Narima and Stefan have developed a deep bond.,ナリマとステファンは深い絆を築いた。
Narima - Jules: Only a King to melt her heart,ナリマ - ジュールス:王の女
Narima and Jules have developed a deep bond.,ナリマとジュールスは深い絆を築いた。
\\N[8] - Diana: I see the real you...,\\N[8] - ダイアナ:本当のあなたが見える...
Diana and \\N[8] have developed a deep bond.,ダイアナと\\N[8]は深い絆を築いた。
\\N[8] - Diana: Doctrine of the Temple,\\N[8] - ダイアナ:神殿の教義
\\N[8] and Diana have become friends.,\\N[8]とダイアナは友人になった。
\\N[8] - Diana: Deeper dive into the Nephilim,\\N[8] - ダイアナ:ネフィリムの深淵
\\N[8] - Beatrix: The Pendergast fortune,\\N[8] - ベアトリクス:ペンダーガストの資産
"\\N[8] - Beatrix: Siren, or Succubus?",\\N[8] - ベアトリクス:セイレーンか、サキュバスか？
Beatrix \\N[8] have developed a deep bond.,ベアトリクスと\\N[8]は深い絆を築いた。
\\N[8] - Sybil: Why are you so angry?,\\N[8] - シビル:怒りの理由
Sybil and \\N[8] have developed a deep bond.,シビルと\\N[8]は深い絆を築いた。
\\N[8] - Abigayle: Instant chemistry,\\N[8] - アビゲイル:心奪われて
Abigayle and \\N[8] have developed a deep bond.,アビゲイルと\\N[8]は深い絆を築いた。
\\N[8] - Narima: Can we take on the world?,\\N[8] - ナリマ:世界に挑もう
Narima and \\N[8] have developed a deep bond.,ナリマと\\N[8]は深い絆を築いた。
\\N[8] - Zelos: Unbreakable together,\\N[8] - ゼロス:壊れぬ絆
Zelos and \\N[8] have developed a deep bond.,\\N[8]とゼロスは深い絆を築いた。
Sybil - Jules: Red oni and blue oni,シビル - ジュールス:赤鬼と青鬼
Zelos - Barnabas: Master Sergeant forever,ゼロス - バルナバス:偉大なる軍曹
Zelos and Barnabas have become friends.,ゼロスとバルナバスは友人になった。
\\N[8] - Narima: Noble warrior of Sayunaa,\\N[8] - ナリマ:サユナーの戦士
\\N[8] - Abigayle: Princess of the Snow,\\N[8] - アビゲイル:雪の姫君
\\N[8] - Lysander: Shock and awe,\\N[8] - ライサンダー:衝撃と畏怖
Lysander and \\N[8] have become friends.,ライサンダーと\\N[8]は友人になった。
\\N[8] - Lysander: Different kind of battlefield,\\N[8] - ライサンダー:もう1つの戦場
Sybil - Abigayle: Bonded,シビル - アビゲイル:絆
Sybil and Abigayle have become blood sisters.,シビルとアビゲイルは姉妹の絆を結んだ。
Abigayle will cost half Capacity in Sybil's Squad.,アビゲイルがシビルの部隊に加入する時のキャパシティコストが半分になった。
Sybil will cost half Capacity in Abigayle's Squad.,シビルがアビゲイルの部隊に加入する時のキャパシティコストが半分になった。
Beatrix - Lysander: What's your angle?!,ベアトリクス - ライサンダー:その角度は！？
Diana - Zelos: Demons of dark and light,ダイアナ - ゼロス:光と闇
\\N[8] - Beatrix: Is this the real you?,\\N[8] - ベアトリクス:それが本当のあなた？
"Barnabas - Zelos: Son, and I am disappoint",バルナバス - ゼロス:ああ、失望
Stefan - Diana: Broken,ステファン - ダイアナ:嘆き
Stefan - Lysander: Airships,ステファン - ライサンダー:飛空艇
Stefan and Lysander have become friends.,ステファンとライサンダーは友人になった。
Sybil - Diana: Self Sabotage,シビル - ダイアナ:サボタージュ
Stefan - Abigayle: Last flame of Donar,ステファン - アビゲイル:ドナーの最後の炎
Stefan has been friend-zoned.,ステファンは恋愛対象から外れた。
\\N[8] - Jaromir: Bulwark of the North,\\N[8] - ジャロミール:北の防壁
Jules - Barnabas: Patience,ジュールス - バルナバス:忍耐
Sybil - Barnabas: Friendly Ribbing?,シビル - バルナバス:和やかなからかい
Sybil and Barnabas have become friends.,シビルとバルナバスは友人になった。
Stefan - Diana: Keeping Up Appearances,ステファン - ダイアナ:体裁の維持
\\N[8] - Lysander: White Flag of War,\\N[8] - ライサンダー:戦争の白旗
Narima - Jules: Ghosts of Ezrum,ナリマ - ジュールス:エズラムの亡霊
Narima - Jaromir: Of the Snow and Sand,ナリマ - ジャロミール:雪と砂
Narima and Jaromir have become friends.,ナリマとジャロミールは友人になった。
"Jules - Barnabas: Melmonde, Sweet Home",ジュールス - バルナバス:愛する故郷メルモンデ
Jules and Barnabas have become friends.,ジュールスとバルナバスは友人になった。
Beatrix - Lysander: Wha... Really?!,ベアトリクス - ライサンダー:な...何！？
Beatrix and Lysander have developed a deep bond.,ベアトリクスとライサンダーは深い絆を築いた。
Academy of War,戦争学
Tactics and Command,戦術と戦略
Crafts and Technology,制作と産業
Apprentice Training,軍事演習
Unlocks a recruitment slot for apprentices.,アプレンティスの採用スロットをアンロックする。
Mentorship,指導の心得
"Non-leader Units in Squads now gain LDR at a modest rate, up to below 10 of the Squad Leader's current LDR stat.",部隊の非リーダーユニットは、部隊リーダーの現在のLDRステータスの10％未満までの微小な割合でLDRを獲得する。
Merchant Envoys,貿易特使
"Expands the Mercenary and Item Trader pools, giving us more opportunity to hire experienced warriors and purchase exotic Artifacts.",傭兵と貿易の枠を拡大し、経験豊富な戦士を雇ったり、レアなアイテムを購入する機会を増やす。
Zones of Control,支配領域
Enemy squads incur a movement penalty when moving between tiles that are adjacent to our Infantry type squads.,敵の部隊が自軍の歩兵タイプの部隊に隣接するマスを通ると、敵の部隊に移動ペナルティが発生する。
Battle Medics,戦場を駆ける治療師
All 'Support' classes gain +20 Maximum HP.,すべての「サポート」クラスの最大HP +20。
Army Stables,汗血馬
"It is now easier for our Cavalry Squads to achieve a Charge attack. Instead of requiring having moved 7 tiles before attacking, now they can move 6 tiles to achieve the same effect.",騎兵隊が突撃攻撃を発動しやすくなる。本来は攻撃前に7マス移動する必要があるが、6マスで同じ効果を得られるようになる。
Mixed Unit Tactics,混成の強み
"Each unit gains +3 Weapon Power for each unit of a different type added to the Squad, starting with the 2nd unit type.",各ユニットは、2つ目のユニットタイプを基点とし、部隊に追加された異なるタイプのユニットごとに+3武器パワーを獲得する。
Identify Command Structure,司令官特定
We now have the ability to use the 'Target Leader' attack type.,「リーダー狙い」の攻撃タイプを使用できるようになる。
Psych Warfare,心理戦
Defeating enemy squad leader causes even more Morale damage.,敵の部隊リーダーを倒した時に与える士気ダメージが、さらに増加する。
Standing Army,常備軍
"All new Conscripts start at +1 Level, and with half Class Mastery of their starting class.",すべての新米徴集兵は、レベルが1高い状態および最初のクラスの半分のクラス熟練度を持った状態から始まる。
Adept Artificer,熟練の工匠
"Unlocks a second Artifact slot, allowing us to further customize our squads.",2番目の装備スロットをアンロックし、チームをさらにカスタマイズできるようにする。
Crossbow Forging,クロスボウ鍛造
"We can now construct Crossbows, unlocking the Crossbowmen class.",クロスボウマンのクラスをアンロックし、クロスボウを構築できるようにする。
Adept Metallurgy,製鉄技術向上
Grants Heavy Infantry and Heavy Cavalry +25 MaxHP.,重歩兵と重騎兵の最大HP+25。
Steel Forging,鋼鉄鍛造
Improved Steel Plate Armor grants our Heavy Infantry and Heavy Cavalry +5 Armor.,強化された鋼鉄の鎧により、重装歩兵と重装騎兵の装甲+5。
Journeyman Leathercraft,熟練の革加工
"Our Light Armor has advanced, enhancing the Armor of all Light Infantry, Light Cavalry, Archery, and Firearms units gain +5 Armor.",軽装鎧が改良され、すべての軽装歩兵、軽装騎兵、弓兵、火器ユニットの装甲+5 。
Dragon Trainer,竜の調教
"Familiarity with Dracology has given our Drakelings, Dragons, and Dragon Riders 25% faster Class Mastery gain from combat and a slightly increased chance to appear as mercenaries.",ドラコンの生態により精通することで、ドラケリング、ドラゴン、ドラゴンライダーは、戦闘でクラス熟練度を25％多く獲得する。また、傭兵として出現する確率がわずかに増加する。
Martial Traditions,伝統武術
All units gain Class Mastery 15% faster.,すべてのユニットのクラス熟練度の獲得量が15％増加する。
Warhorse Husbandry,軍馬飼育
"Advanced breeding techniques have resulted in larger, hardier war horses. All Cavalry gains +50 Maximum HP.",高度な繁殖技術により、より大きく丈夫な軍用馬を開発する。すべての騎兵の最大HP+50。
Sisterhood of Justice,正義の姉妹
"Acolytes, Paladins, Valkyries, Exemplar, and Titan receive an additional bonus to Magic Resistance based on a portion of their Armor.",アコライト、パラディン、ヴァルキリー、イグザンプラー、タイタンは、装甲の値の一部に基づいて、魔法耐性を強化する。
Sisterhood of Mercy,慈悲の姉妹
"Medic, Priestess, Templar, Hospitaller take 25% less damage with Paladin, Valkyrie, Exemplar or Titan in the same Squad",メディック、プリースト、テンプラー、ホスピタラーは、同じ部隊にパラディン、ヴァルキリー、イグザンプラー、またはタイタンがいる場合、被ダメージが25％減少する。
Strategic Maneuvers,戦略的突撃
Cavalry squads now deal significant Morale damage when attacking with a Charge Attack.,騎兵部隊が突撃攻撃する際、敵の士気に大ダメージを与える。
Polearm Mastery,槍兵強化
Polearm units now grant bonus attack and defense versus melee to any adjacent unit.,槍使いユニットは、隣接するユニットに追加の攻撃力と近接攻撃に対する防御を与える。
Adaptive Battlefield Command,巧みな戦術
We now have the ability to use the 'Aggressive' and 'Cautious' attack types.,「穴狙い」および「慎重」攻撃タイプを使用できるようになる。
Popular Support,民衆の支持
"Squads gain a Morale bonus when within 3 tiles of a Base, Village, or Town owned by our faction.",自軍が占領している基地、村、または町から3マス以内に部隊がいる時、士気ボーナスを獲得する。
Advanced Archery Technique,剛弓使い
+1 arrows fired (from 3 to 4) by Archery units at 2 or more range.,弓兵が2射程以上から発射する矢の数 +1（3→4）。
Journeyman Artificer,国宝級の名工
"Unlocks a 3rd Artifact slot, allowing us maximum customizability for our squads.",3番目の装備スロットのアンロックし、部隊のカスタマイズ性を最大にする。
Advanced Crossbows,クロスボウ強化
Crossbowmen and Rangers gain an additional 25% bonus damage against Heavy Infantry and Heavy Cavalry.,クロスボウマンとレンジャーの、重装歩兵と重装騎兵に対する与ダメージ +25％。
Advanced Material Science,新合金開発
Grants Heavy Infantry and Heavy Cavalry +25 Max HP for a cumulative effect of +50. Unlocks powerful firearms technologies.,重装歩兵と重装騎兵に最大HP+25、累積効果+50 を付与する。また、強力な火器開発技術をアンロックする。
Obsidian Forging,黒曜石鍛造
"Now that we have a grasp on the powerful and rare metal named Obsidian, we can use it to enhance our existing Steel Plate Armor, granting Heavy Infantry and Heavy Cavalry an additional +5 Armor.",黒曜石という強力な希少金属を研究し、鎧を強化することで、重装歩兵と重装騎兵の装甲+5。
Behemoth Leather Armor,ベヒーモスの鎧
"Using hides from the fearsome Behemoth, we can further enhance our Light Armor. Light Infantry, Light Cavalry, Archers, and Firearms gain an additional +5 to Armor.",恐ろしい魔獣ベヒーモスの皮を使用し、軽装鎧を強化する。軽装歩兵、軽装騎兵、弓兵、火器兵の装甲+5。
Mage Regiments,魔法使い連隊
"All 'Magician' and 'Support' classes are now of the 'Normal' unit type rather than 'Slow', and Magician attacks decay in power more slowly when used consecutively.",すべての「魔法使い」および「サポート」クラスは、「低速」ではなく「普通」ユニットタイプになり、魔法使いが攻撃を連続使用した際の威力低下も少なく抑えられる。
Magician's Initiative,魔術開発
Spells that have a charge-up turn can now be cast on the first turn of battle when on offense.,チャージしなければならない呪文について、自分が攻撃側の時、最初のラウンドで発動できるようになる。
Hex Mastery,呪術開眼
Status effects from Magician and Dragon breath attacks have an increased chance to be inflicted.,魔法使いとドラゴンのブレス攻撃により、ステータス効果が付与される確率が増加する。
Spirit Piercing,霊魂破壊
Magician and Dragon breath attacks ignore 25% of the target's resistance.,魔法使いとドラゴンのブレス攻撃は、ターゲットの耐性を25％無視する。
Advanced Mobile Warfare,超機動部隊
Dragoons are now 'Light Cavalry' move type.,ドラグーンが「軽装騎兵」タイプになる。
Advanced Flanking,高度側面攻撃
+15% Attack power when engaging in close range battles for each allied squad that is adjacent to the target enemy squad.,ターゲットの敵部隊に隣接する味方部隊1つごとに、近接戦闘時の攻撃力+15％。
Optimized Tactics,適合戦略
Improves effects of most special tactics.,ほとんどの特殊戦術の効果が向上する。
Supply Chain Mastery,供給改善
"Villages, Towns, Castles, and Bases held by our faction now provide healing to our Squads within 3 tiles every turn.",自軍が占領した村、町、城、基地の3マス以内に部隊がいる時、毎ターン回復効果を提供する。
Archer General,驚異の弓
"All 'Archery' classes are now of the 'Light' unit type, a massive advantage to mobility and ambushes.",すべての「弓兵」クラスは「軽量」ユニットタイプになり、機動性が向上し、奇襲で大きなアドバンテージを得る。
Master Artificer,装備改良
All Artifacts cost -1 Capacity.,すべての装備のキャパシティコスト-1。
Grapeshot,破裂弾
Artillery attacks have increased splash radius and damage.,大砲の弾の拡散半径とダメージが増加する。
Gunsmithing,銃開発研究
"We are now able to manufacture guns and cannons. Unlocks the Gunner, Dragoon, and Siege Cannon classes.",銃や大砲を製造できるようになる。ガンナー、ドラグーン、シージキャノンのクラスをアンロックする。
Breech-Loading Gun,元込め式銃
'Gunner' units and Artillery are no longer negatively affected by weather.,「ガンナー」ユニットと砲兵は、天候の影響を受けなくなる。
Dragon Bond,ドラゴンの絆
"Unlocks the Dragon Rider class. The ultimate unit type, allowing us to control Dragon flight ability to take to the skies.",ドラゴンライダーをアンロックする。ドラゴンライダーは、ドラゴンを制御し、空を飛べる超強力なクラスである。
Grand Army,軍備拡大
ALL squads in the army gain +10 capacity limit.,軍のすべての部隊のキャパシティ+10。
Professionalism,プロフェッショナリズム
"New Conscripts start with mastery of all available Tier 1 classes, start with +3 Levels, and with full Loyalty to your cause.",今後雇う兵士は、「すべてのティア1クラスを習得」、「レベル+3」、「大義に完全な忠誠を持つ」状態で始まるようになる。
Musketeering,マスケット銃開発
Advanced firearm techniques grant our Gunners and Dragoons an additional attack.,高度な火器技術により、ガンナーとドラグーンに追加の攻撃が与えられる。
Industrial Furnace,溶鉱炉
"We are now able to maintain high-energy blast furnaces, allowing for far more efficient processing of materials. -1 Iron and Obsidian costs for all units.",高エネルギーの炉を維持できるようになり、はるかに効率的な素材加工が可能となる。すべてのユニットの鉄と黒曜石のコスト-1。
Rifled Artillery,ライフル砲
+1 Range to Siege Cannons.,シージキャノンの射程+1。
Hero has fallen in battle,主人公が死亡しました
Mission objective failed,ミッション失敗
Home Base has been captured,自軍の本拠地が占領されました
Chapter Complete!,ステージクリア！
Chapter Complete,ステージクリア
World Lore,伝説
Tactics and Strategy,戦略
Class List,クラス一覧
Terrains,地形
Reference Guide,ガイド
Tutorial,チュートリアル
Attack from a hill using Jules's Squad,ジュールスの部隊を使って山の上から攻撃する
Seize all Map Objectives,すべての目標地点を占領する
Seize Eastwall Fortress,イーストウォール砦を占領する
\\N[8] is defeated in battle,\\N[8]が戦闘で倒される
"Seize Marche, the Trade Town",貿易の町マルチェを占領する
Seize the Donari Temple,ドナー神殿を占領する
Complete The Chapter within 10 turns,10ターン以内にステージをクリアする
Seize Centurion's Rest Compound,センチュリオンズレストの砦を占領する
Barnabas is defeated before being recruited,バルナバスが仲間になる前に倒される
No allied Imperial Army squads lost,すべての帝国兵の部隊を生存させる
Cause an enemy Squad to Surrender,敵の部隊を降伏させる
Seize Centurion's Rest,センチュリオンズレストを占領する
Stefan defeats an enemy in just 1 attack,ステファンが1回の攻撃で敵を倒す
Open all Treasures,すべての宝箱を開く
\\N[8] escapes from prison,\\N[8]が牢獄を脱出する
Any friendly units are defeated in battle,仲間ユニットが戦闘で倒される
Find and rescue the dragon child,ドラゴンの子供を発見し、救出する
Seize Fort Naxos,ナクソス砦を占領する
\\N[8] is defeated in battle OR,\\N[8]が戦闘で倒されるか、
The enemy captures Granheim Abbey,敵にグランハイム修道院を占領される
"Seize Port Jenos, the Port Town",ジェノス港を占領する
Defeat Kuroda's squad in battle,クロダの部隊を戦闘で倒す
No enemy squads attack Fort Naxos,敵にナクソス砦を攻撃させない
Defend Fort Naxos for 15 turns OR,ナクソス砦を15ターン守り抜くか、
Destroy all enemy Squads + Seize Port Jenos,敵部隊をすべて倒し、ジェノス港を占領する
The enemy captures Fort Naxos,敵にナクソス砦を占領される
Narima is not defeated in battle,ナリマが戦闘で倒されない
Seize all Tidereaver ships,すべてのタイドリーバーの船を占領する
Seize the Tidereaver Flagship,タイドリーバーの大船を占領する
Seize Greyden Slave Complex,グレイデン奴隷収容所を占領する
Recruit the Barek Tor Mercenary,バレクトールの傭兵を雇う
\\N[8] reaches Lemelin Monastery,\\N[8]がレメリン修道院に到達する
Lysander is not defeated in battle,ライサンダーが戦闘で倒されない
No enemy squad attacks Lemelin Monastery,敵にレメリン修道院を攻撃させない
No more than 4 Isanter squads are defeated,イサンテル隊の敗北を4部隊以下に抑える
Defend Lemelin Monastery for 15 turns OR,レメリン修道院を15ターン守り抜くか、
Seize Westerfield Fortress,ウェスタ―フィールド砦を占領する
The enemy captures Lemelin Monastery,敵にレメリン修道院を占領される
No enemy squads attack Isanter Palace,敵にイサンテル宮殿を攻撃させない
Complete The Chapter within 12 turns,12ターン以内にステージをクリアする
Seize Trucea,トルセアを占領する
The enemy captures Isanter Palace OR,敵にイサンテル宮殿を占領されるか、
The enemy captures Lemelin Fortress,敵にレメリン修道院を占領される
Complete The Chapter within 20 turns,20ターン以内にステージをクリアする
Complete The Chapter within 15 turns,15ターン以内にステージをクリアする
Seize Fort Eureeka,エウレカ砦を占領する
The enemy captures Trucea,敵にトルセアを占領される
Survive against Casamir's army for 2 turns,カサミールの部隊相手に2ターン生き残る
Survive against Casamir's army for 4 turns,カサミールの部隊相手に4ターン生き残る
Survive against Casamir's army for 6 turns,カサミールの部隊相手に6ターン生き残る
Defend Fort Eureeka OR,エウレカ砦を守り抜くか、
Defeat Casamir's entire army,カサミールの部隊を全滅させる
The enemy captures Fort Eureeka,敵にエウレカ砦を占領される
Seize Rimorgue and Stormrook,リモーグとストームルークを占領する
Hand of Zanatus is defeated in battle,ザナトゥスの手が戦闘で倒される
Diana reaches the stairs to the dungeon,ダイアナが地下牢の階段に到達する
Diana is defeated in battle,ダイアナが戦闘で倒される
Destroy bridge after all children are safe,すべての子供が橋を渡った後で、それを破壊する
Diana reaches Centurion's Rest,ダイアナがセンチュリオンズレストに到達する
Diana is defeated in battle OR,ダイアナが戦闘で倒されるか、
None of the escaping children survive,子供が全員死亡する
Seize Imperial Sally Port,帝国の出撃路を占領する
The enemy captures Diana Front Base,敵にダイアナの前線基地を占領される
Avoid battle with the Hand of Zanatus,ザナトゥスの手との戦闘を避ける
Diana reaches the Portal to Mount Ptolomea,ダイアナがプトロメア山へのポータルに到達する
Use a Nephilim Power,ネフィリムの力を使う
Seize Embor,エンボーを占領する
The enemy captures Centurion's Rest,敵にセンチュリオンズレストを占領される
"Narima, Raskuja, and Sybil survive",ナリマ、ラスクージャ、シビルが生き残る
Defend Eastwall Fortress for 10 turns OR,イーストウォール砦を10ターン守り抜くか、
Destroy all enemy Squads,すべての敵部隊を倒す
Lysander is defeated in battle OR,ライサンダーが戦闘で倒されるか、
The enemy captures Eastwall Front Base,敵にイーストウォール前線基地を占領される
Avoid taking hazard damage from lava,溶岩からダメージを受けない
\\N[8] reaches the Stone Gate,\\N[8]が石の門に到達する
"Seize Felnamia, the castle town",城塞都市フェルナミアを占領する
\\N[8] reaches the Donari Temple,\\N[8]がドナー神殿に到達する
Sybil is defeated in battle OR,シビルが戦闘で倒されるか、
The enemy captures Felnamia Front Base,敵にフェルナミア前線基地を占領される
Azuros does not fall below 50% HP,アズロスのHPが50％以下にならないようにする
"Seize the enemy Home Base, Nikeda Redoubt",敵の本拠地、ニケダ要塞を占領する
Azuros is defeated in battle OR,アズロスが戦闘で倒されるか、
The enemy captures Eberminster,敵にイベルミニスターを占領される
Do not kill any Sisterhood of Mercy,慈悲の姉妹を倒さない
Destroy all of the Zanatus Mages,すべてのザナトゥス教団の魔導士を倒す
Edelia is defeated in battle,エデリアが戦闘で倒される
No enemy squads escape,敵を1部隊も逃がさない
Destroy all enemy Squads OR,すべての敵部隊を倒すか、
