ENGLISH,JAPANESE
"Date: Year 997-999\\PARLocation: Veridia, Sayunaa, and Sandraka\\PARBelligerents: Nephilim Army vs Empire of Archaelus, Followers of Zanatus, with Kingdom of Sayunaa changing alliances\\PARResult: Utter defeat and unconditional surrender of the Empire of Archaelus.\\PARTerritory changes: All territory under the provisional military government\\PARCasualties: 25,000 military deaths\\PARA struggle that will sound through the ages as a climactic point in history. Starting just from a small hideout, the Avatar of Donar built an army and dismantled the Empire of Archaelus piece by piece with stunning efficiency until the death of Emperor Casamir finally led to the end of the war.\\PARHistorians look at the staggering disparity in power between the beginnings of the war, and conclude that the Nephilim Army's victory can be attributed to several factors that crippled Archaelus Imperial war efforts. Casamir's ability to directly administer most elements of his government was minimal throughout his reign, making his role largely ceremonial. The institutional power lied with the Followers of Zanatus, who committed massive resources and manpower to the dismantling of the Donari Temple, the child abduction and reeducation efforts, and the domestic campaign to root out potential enemies of the state. For much of year 999, the Nephilim Army was merely a minor nuissance to Imperial leadership, only registering as a threat when it was far too late to turn the tide.","期間:997～999年\\PAR戦地:ベリディア、サユナー、サンドラカ\\PAR交戦勢力:ネフィリム軍 vs アルケロス帝国、ザナトゥス教団、サユナー王国との同盟関係の変化\\PAR結果:アルケロス帝国の完全なる敗北と無条件降伏。\\PAR領土の変更:全領土が暫定軍事政権下に\\PAR死傷者:25,000人の兵士が死亡\\PARこの戦いが、時代の象徴的な出来事として語り継がれていくことは間違いないだろう。小さなアジトから始まったドナーの化身が率いる軍は、カサミール皇帝の死により戦争の終結に至るまで、着実に軍隊を構築し、驚くべき効率でアルケロス帝国を解体したのだった。\\PAR歴史家は、戦争初期に著しい戦力の不均衡があったことを鑑みて、ネフィリム軍の勝利は、アルケロス帝国の戦争努力を無力化したいくつかの要因に起すると結論付けている。カサミールの政府の各部門を管理する能力は、その治世を通して小さなものであり、彼の役割は大半が儀礼なものにすぎなかった。同帝国の実質的な権力は、ドナー神殿の解体、子供の誘拐および洗脳教育、および国家の潜在的な敵を根絶するためのキャンペーンに膨大な資源と人員を投入した、ザナトゥス教団にあった。999年のほとんどの間、ネフィリム軍は帝国にとっては些細な問題に過ぎず、その脅威に気づいた時には完全に潮目が変わっており、もはやすべてが手遅れになっていた。"
Character stat: STR (Strength),キャラクターステータス:STR（強さ）
"Determines ability to deal physical damage, also offers some physical resistance. Influences Dragon breath damage.",物理ダメージを与える能力を決定し、物理耐性にも影響を与える。さらに、ドラゴンのブレス攻撃にも影響を与える。
Character stat: SKL (Skill),キャラクターステータス:SKL（技）
"Determines hit rate, critical hits, evasion, and glancing blows.",命中率、クリティカルヒット率、回避率、グランシングブロウ率を決定する。
Character stat: MAG (Magic),キャラクターステータス:MAG（魔力）
Affects ability to deal Magic damage and healing power. Also determines Magic Defense. Influences Dragon breath damage.,魔法ダメージを与える力および回復魔法の力に影響する。また、魔法防御力を決定する。さらに、ドラゴンのブレス攻撃にも影響を与える。
Character stat: LDR (Leadership),キャラクターステータス:LDR（統率力）
Determines Squad Capacity. Capacity determines how many units and artifacts can be added to a Squad.,部隊キャパシティを決定する。部隊キャパシティは、部隊に追加できるユニットや装備の数を決定する。
Affinity,属性
"Every unit in Tahnra is born with Affinity. These include, in order of most common to least common: Earth, Water, Lightning, Fire, Darkness, and Light.",ターンラのすべてのユニットは、生まれながらに属性を持っている。属性は、最もありふれた順に挙げていくと、以下のようになる:地、水、雷、炎、闇、光
"Bond, Family, Friendship",絆、家族、友人
"Characters start with, and can further develop Friendships, Deep Bonds, and even become Family, through Home Base Conversations.\\PARThese grant mutual bonuses to Morale when within 3 tiles of each other.",キャラクター同士は徐々に友情を深め、深い絆を築き、拠点での会話パートを通じて家族になることさえできる。\\PAR関係を確立したキャラクターが互いに3マス以内にいる場合、相互に士気ボーナスを与える。
Character stat: Armor,キャラクターステータス:装甲
"Determines physical damage mitigation. Is largely determined by what class a unit currently is, rather than growths over time.",物理ダメージの軽減を決定する。レベルアップによる成長よりも、ユニットが現在どのクラスであるかによって主に決定される。
Surrenders and Force Surrender Tactic,降伏および強制降伏戦術
"Force Surrender is a type of attack you can use, which gives the target a chance to Surrender. If this ask fails and the enemy refuses, battle will start, and you will lose your first volley. Any enemies destroyed in this attack will have a second chance to surrender.\\PARSurrender is a greater victory than outright destroying an enemy Squad. We will get a gold bounty at the end of the Chapter in exchange for the Prisoners of War captured via Surrenders, in addition to some Faction Rank XP.",強制降伏は使用できる攻撃コマンドの一種で、ターゲットに降伏のチャンスを与える。この要求が失敗し、敵が拒否した場合、戦闘が開始され、最初の攻撃を失う。この攻撃で破壊された敵には、2度目の降伏のチャンスがある。\\PAR敵部隊を降伏させることは、それを完全に破壊するよりも大きな勝利であると言える。降伏に成功すると、勢力ランクXPの獲得に加えて、捕らえた捕虜と引き換えに、章の最後にゴールド報酬を獲得する。
Class: Fighter,クラス:ファイター
Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: -\\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: -,部隊リーダーになること:不可\\PARティア:1\\PARユニットタイプ:重装歩兵\\PAR移動タイプ:普通\\PAR必要資源: -\\PARバトルアクション:2回の斬撃、射程1\\PAR特殊: -
Class: Bowman,クラス:ボウマン
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Archery\\PARMovement Type: Normal\\PARResources Required: -\\PARBattle Actions: 2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial: -",部隊リーダーになること:不可\\PARティア:1\\PARユニットタイプ:弓兵\\PAR移動タイプ:普通\\PAR必要資源: -\\PARバトルアクション:2回の短距離射撃を射程1で、または1回の長距離射撃を射程2で行う\\PAR特殊: -
Class: Militia,クラス:ミリティア
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required: -\\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: Increased evasion in woods, townscape, hills, and swamp",部隊リーダーになること:不可\\PARティア:1\\PARユニットタイプ:軽装歩兵\\PAR移動タイプ:軽量\\PAR必要資源: -\\PARバトルアクション:2回の斬撃、射程1\\PAR特殊:森、町、山、沼で回避率アップ
Class: Medic,クラス:メディック
Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Support\\PARMovement Type: Slow\\PARResources Required: -\\PARBattle Actions: 1 Heal of the weakest ally\\PARSpecial: Can use a Squad's turn to heal members of an adjacent Squad,部隊リーダーになること:不可\\PARティア:1\\PARユニットタイプ:サポート\\PAR移動タイプ:低速\\PAR必要資源: -\\PARバトルアクション:最も弱った味方1体を回復\\PAR特殊:部隊のターンを使用して、隣接する部隊のメンバーを回復できる
Class: Soldier,クラス:ソルジャー
Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 1 Iron\\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: -,部隊リーダーになること:可\\PARティア:2\\PARユニットタイプ:重装歩兵\\PAR移動タイプ:普通\\PAR必要資源:鉄1\\PARバトルアクション:2回の斬撃、射程1\\PAR特殊: -
Class: Spearman,クラス:スピアマン
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 1 Iron\\PARBattle Actions: 2 Polearm attacks at 1 range\\PARSpecial: +15% Damage Dealt if adjacent to another Polearm user in the same row, +35% Damage dealt to Cavalry units",部隊リーダーになること:可\\PARティア:2\\PARユニットタイプ:重装歩兵\\PAR移動タイプ:普通\\PAR必要資源:鉄1\\PARバトルアクション:2回の槍攻撃、射程1\\PAR特殊: 同じ列に槍使用者が隣接している場合、与ダメージ+15％、騎兵ユニットへの与ダメージ+35％
Class: Acolyte,クラス:アコライト
Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 1 Iron\\PARBattle Actions: 2 Striking attacks at 1 range\\PARSpecial: Resists Magic and Dragon Breath attacks by 25% of this unit's Armor value,部隊リーダーになること:可\\PARティア:2\\PARユニットタイプ:重装歩兵\\PAR移動タイプ:普通\\PAR必要資源:鉄1\\PARバトルアクション:2回の打撃、射程1\\PAR特殊:このユニットは、魔法およびドラゴンのブレス攻撃に対し、装甲の値の25％の抵抗力を持つ。
Class: Cavalier,クラス:キャバリアー
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Heavy Cavalry\\PARMovement Type: Fast\\PARResources Required: 1 Iron, 1 Horse\\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: On offense, if Squad moved maximum possible range, this unit's 1st attack is a 'Charge Attack' which can Stun the target",部隊リーダーになること:可\\PARティア:2\\PARユニットタイプ:重装騎兵\\PAR移動タイプ:高速\\PAR必要資源:鉄1、馬1\\PARバトルアクション:2回の斬撃、射程1\\PAR特殊:部隊が最大限に移動してから攻撃する時、このユニットの1撃目は「突撃攻撃」となり、ターゲットをスタンさせることができる。
Class: Skirmisher,クラス:スカーミッシャー
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required: -\\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: Increased evasion in woods, townscape, hills, and swamp",部隊リーダーになること:可\\PARティア:2\\PARユニットタイプ:軽装歩兵\\PAR移動タイプ:軽量\\PAR必要資源: -\\PARバトルアクション:2回の斬撃、射程1\\PAR特殊:森、町、山、沼で回避率アップ
Class: Rogue,クラス:ローグ
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required: -\\PARBattle Actions: On Offense, 1 Stealth Attack at 1 range, followed by 1 Slashing attack at 1 range. On Defense, 2 Slashing attacks at 1 range\\PARSpecial: When on Offense, first attack can hit the back row of the target Squad with increased damage",部隊リーダーになること:可\\PARティア:2\\PARユニットタイプ:軽装歩兵\\PAR移動タイプ:軽量\\PAR必要資源: -\\PARバトルアクション:攻め手の時、1回のステルス攻撃を射程1で、続いて1回の斬撃を射程1で行う。受け手の時、2回の斬撃、射程1\\PAR特殊:攻め手の時、1回目の攻撃でターゲットの部隊の後列に大ダメージを与えることができる。
Class: Swordfighter,クラス:ソードファイター
Class: Scout,クラス:スカウト
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Light Cavalry\\PARMovement Type: Light, Fast\\PARResources Required: 1 Horse\\PARBattle Actions: 2 Polearm attacks at 1 range\\PARSpecial: On offense, if Squad moved maximum possible range, this unit's 1st attack is a 'Charge Attack' which can Stun the target, +35% Damage dealt to Cavalry units. Increased evasion in woods, townscape, hills, and swamp. +50% Evasion on offense.",部隊リーダーになること:可\\PARティア:2\\PARユニットタイプ:軽装騎兵\\PAR移動タイプ:軽量、高速\\PAR必要資源:馬1\\PARバトルアクション:2回の槍攻撃、射程1\\PAR特殊:部隊が最大限に移動してから攻撃する時、このユニットの1撃目は「突撃攻撃」となり、ターゲットをスタンさせ、騎兵ユニットに35％の追加ダメージを与えることができる。森、町、山、沼で回避率アップ。攻め手の時、回避率 +50％。
Class: Archer,クラス:アーチャー
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Archery\\PARMovement Type: Normal\\PARResources Required: -\\PARBattle Actions: 2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial: -",部隊リーダーになること:可\\PARティア:2\\PARユニットタイプ:弓兵\\PAR移動タイプ:普通\\PAR必要資源: -\\PARバトルアクション:2回の短距離射撃を射程1で、または1回の長距離射撃を射程2で行う\\PAR特殊: -
Class: Crossbowman,クラス:クロスボウマン
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Archery\\PARMovement Type: Normal\\PARResources Required: 1 Iron\\PARBattle Actions: 2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial: Attacks ignore 25% of Armor, damage derived from Weapon Power, not STR",部隊リーダーになること:可\\PARティア:2\\PARユニットタイプ:弓兵\\PAR移動タイプ:普通\\PAR必要資源:鉄1\\PARバトルアクション:2回の短距離射撃を射程1で、または1回の長距離射撃を射程2で行う\\PAR特殊:攻撃は装甲の25％を無視し、ダメージはSTRではなく武器の威力に依存する。
Class: Horsebow,クラス:ホースボウ
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Archery\\PARMovement Type: Light, Fast\\PARResources Required: 1 Horse\\PARBattle Actions: 2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial:  +50% Evasion on offense.",部隊リーダーになること:可\\PARティア:2\\PARユニットタイプ:弓兵\\PAR移動タイプ:軽量、高速\\PAR必要資源:馬1\\PARバトルアクション:2回の短距離射撃を射程1で、または1回の長距離射撃を射程2で行う\\PAR特殊: 攻め手の時、回避率 +50％。
Class: Priestess,クラス:プリースト
Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Support\\PARMovement Type: Slow\\PARResources Required: 1 Gem\\PARBattle Actions: 1 Heal of the weakest ally\\PARSpecial: Can use a Squad's turn to heal members of an adjacent Squad,部隊リーダーになること:可\\PARティア:2\\PARユニットタイプ:サポート\\PAR移動タイプ:低速\\PAR必要資源:宝石1\\PARバトルアクション:最も弱った味方1体を回復\\PAR特殊:部隊のターンを使用して、隣接する部隊のメンバーを回復できる
Class: Apprentice,クラス:アプレンティス
Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: 1 Gem\\PARBattle Actions: 1 Fire Magic attacks at 1 range\\PARSpecial: -,部隊リーダーになること:可\\PARティア:2\\PARユニットタイプ:魔法使い\\PAR移動タイプ:低速\\PAR必要資源:宝石1\\PARバトルアクション:1回の炎魔法、射程1\\PAR特殊: -
Class: Siren,クラス:セイレーン
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: 1 Gem\\PARBattle Actions: 1 Dark Magic attack 1 range\\PARSpecial: Chance to Stun or Daze targets. Daze lowers enemy STR for the duration of the battle, while Stun completely negates one enemy turn",部隊リーダーになること:可\\PARティア:2\\PARユニットタイプ:魔法使い\\PAR移動タイプ:低速\\PAR必要資源:宝石1\\PARバトルアクション:1回の闇魔法、射程1\\PAR特殊:ターゲットをスタンまたは放心状態にさせることがある。放心状態は敵のSTRを低下させ、スタンは敵の行動を1ターン完全に無効化する
Class: Sentinel,クラス:センチネル
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 3 Iron\\PARBattle Actions: 2 Polearm attacks at 1 range\\PARSpecial: +15% Damage Dealt if adjacent to another Polearm user in the same row, -50% damage taken from Firearm attacks, +35% Damage dealt to Cavalry units",部隊リーダーになること:可\\PARティア:3\\PARユニットタイプ:重装歩兵\\PAR移動タイプ:普通\\PAR必要資源:鉄3\\PARバトルアクション:2回の槍攻撃、射程1\\PAR特殊: 同じ列に槍使用者が隣接している場合、与ダメージ +15％、銃器の被ダメージ -50％、騎兵ユニットへの与ダメージ +35％
Class: Champion,クラス:チャンピオン
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 2 Iron, 2 Obsidian\\PARBattle Actions: 2 Slashing double-attacks at 1 range\\PARSpecial: -",部隊リーダーになること:可\\PARティア:3\\PARユニットタイプ:重装歩兵\\PAR移動タイプ:普通\\PAR必要資源:鉄2、黒曜石2\\PARバトルアクション:2回のダブル斬撃、射程1\\PAR特殊: -
Class: Zweihander,クラス:ツヴァイヘンダー
Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 2 Iron\\PARBattle Actions: 2 Wide-sweeping Slashing attacks at 1 range\\PARSpecial: Attacks deal splash damage to 1 tile adjacent to the target in the same row,部隊リーダーになること:可\\PARティア:3\\PARユニットタイプ:重装歩兵\\PAR移動タイプ:普通\\PAR必要資源:鉄2\\PARバトルアクション:2回のワイド斬撃、射程1\\PAR特殊:攻撃時、ターゲットと同じ列の隣接する1マスに拡散ダメージを与える
Class: Centurion,クラス:センチュリオン
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 2 Iron, 2 Obsidian\\PARBattle Actions: 2 Piercing Polearm attacks at 1 range\\PARSpecial: Attacks deal splash damage to 1 tile behind the target, +15% Damage dealt if adjacent to another Polearm user in the same row, +35% Damage dealt to Cavalry units",部隊リーダーになること:可\\PARティア:3\\PARユニットタイプ:重装歩兵\\PAR移動タイプ:普通\\PAR必要資源:鉄2、黒曜石2\\PARバトルアクション:2回の槍攻撃、射程1\\PAR特殊:ターゲットの1マス後ろに拡散ダメージ、同じ列に槍使用者が隣接している場合、与ダメージ+15％、騎兵ユニットへの与ダメージ+35％
Class: Samurai,クラス:サムライ
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 2 Iron\\PARBattle Actions: 2 Polearm attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial: 15% Polearm Damage dealt if adjacent to another Polearm user in the same row, +35% Polearm Damage dealt to Cavalry units. 35% more base Evasion than other Heavy classes",部隊リーダーになること:可\\PARティア:3\\PARユニットタイプ:重装歩兵\\PAR移動タイプ:普通\\PAR必要資源:鉄2\\PARバトルアクション:2回の槍攻撃を射程1で、または1回の長距離射撃を射程2で行う\\PAR特殊:同じ列に槍使用者が隣接している場合、与ダメージ+15％、槍攻撃の騎兵ユニットへの与ダメージ+35％他の重装歩兵クラスよりも基本回避率が35％高い
Class: Paladin,クラス:パラディン
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 2 Iron, 1 Sunstone\\PARBattle Actions: 2 Striking attacks at 1 range, or 1 Striking attack and 1 heal if an ally is below %50 HP\\PARSpecial: Resists Magic and Dragon Breath attacks by 25% of this unit's Armor value",部隊リーダーになること:可\\PARティア:3\\PARユニットタイプ:重装歩兵\\PAR移動タイプ:普通\\PAR必要資源:鉄2、日長石1\\PARバトルアクション:2回の打撃を射程1で、または味方のHPが50％以下の時、1回の打撃と1回の回復を行う \\PAR特殊:このユニットは、魔法およびドラゴンのブレス攻撃に対し、装甲の値の25％の抵抗力を持つ。
Class: Knight,クラス:ナイト
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Cavalry\\PARMovement Type: Fast\\PARResources Required: 2 Iron, 1 Obsidian, 1 Horse\\PARBattle Actions: 2 Slashing attacks with splash damage to adjacent targets at 1 range\\PARSpecial: On offense, if Squad moved maximum possible range, this unit's 1st attack is a 'Charge Attack' which can Stun the target",部隊リーダーになること:可\\PARティア:3\\PARユニットタイプ:重装騎兵\\PAR移動タイプ:高速\\PAR必要資源:鉄2、黒曜石1、馬1\\PARバトルアクション:2回の斬撃を射程1、さらに隣接するターゲットに拡散ダメージを与える\\PAR特殊:部隊が最大限に移動してから攻撃する時、このユニットの1撃目は「突撃攻撃」となり、ターゲットをスタンさせることができる。
Class: Valkyrie,クラス:ヴァルキリー
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Cavalry\\PARMovement Type: Fast\\PARResources Required: 2 Iron, 1 Sunstone, 1 Horse\\PARBattle Actions: 2 Slashing attacks at 1 range, or 1 Slashing attack and 1 heal if an ally is below %50 HP\\PARSpecial: On offense, if Squad moved maximum possible range, this unit's 1st attack is a 'Charge Attack' which can Stun the target, Resists Magic and Dragon Breath attacks by 25% of this unit's Armor value",部隊リーダーになること:可\\PARティア:3\\PARユニットタイプ:重装騎兵\\PAR移動タイプ:高速\\PAR必要資源:鉄2、日長石1、馬1\\PARバトルアクション:2回の斬撃を射程1で、または味方のHPが50％以下の時、1回の斬撃と1回の回復を行う \\PAR特殊:部隊が最大限に移動してから攻撃する時、このユニットの1撃目は「突撃攻撃」となり、ターゲットをスタンさせる。また、魔法およびドラゴンのブレス攻撃に対し、装甲の値の25％の抵抗力を持つ。
Class: Ranger,クラス:レンジャー
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required: -\\PARBattle Actions: 1 Crossbow attack at 1 range followed by 1 Slashing attack at 1 range\\PARSpecial: Crossbow attack bypasses enemy Cover and Block from formations. Increased evasion in woods, townscape, hills, and swamp",部隊リーダーになること:可\\PARティア:3\\PARユニットタイプ:軽装歩兵\\PAR移動タイプ:軽量\\PAR必要資源: -\\PARバトルアクション:1回のクロスボウ攻撃を射程1で、続いて1回の斬撃を射程1で行う。\\PAR特殊:クロスボウ攻撃は、敵の陣形によるカバーおよびブロックを無視する。森、町、山、沼で回避率アップ
Class: Assassin,クラス:アサシン
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required: 2 Obsidian\\PARBattle Actions: On Offense, 1 Stealth Attack at 1 range, followed by 1 Slashing attack at 1 range. On Defense, 2 Slashing attacks at 1 range\\PARSpecial: When on Offense, first attack can hit the back row of the target Squad with increased damage",部隊リーダーになること:可\\PARティア:3\\PARユニットタイプ:軽装歩兵\\PAR移動タイプ:軽量\\PAR必要資源:黒曜石2\\PARバトルアクション:攻め手の時、1回のステルス攻撃を射程1で、続いて1回の斬撃を射程1で行う。受け手の時、2回の斬撃、射程1\\PAR特殊:攻め手の時、1回目の攻撃でターゲットの部隊の後列に大ダメージを与えることができる。
Class: Swordmaster,クラス:ソードマスター
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required: 1 Iron, 2 Obsidian\\PARBattle Actions: 2 Slashing double-attacks at 1 range\\PARSpecial: Increased evasion in woods, townscape, hills, and swamp",部隊リーダーになること:可\\PARティア:3\\PARユニットタイプ:軽装歩兵\\PAR移動タイプ:軽量\\PAR必要資源:鉄1、黒曜石2\\PARバトルアクション:2回のダブル斬撃、射程1\\PAR特殊:森、町、山、沼で回避率アップ
Class: Hussar,クラス:ハッサー
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Light Cavalry\\PARMovement Type: Light, Fast\\PARResources Required: 2 Iron, 1 Horse\\PARBattle Actions: 2 Polearm attacks at 1 range\\PARSpecial: On offense, if Squad moved maximum possible range, this unit's 1st attack is a 'Charge Attack' which can Stun the target, +35% Damage dealt to Cavalry units. Increased evasion in woods, townscape, hills, and swamp.  +50% Evasion on offense.",部隊リーダーになること:可\\PARティア:3\\PARユニットタイプ:軽装騎兵\\PAR移動タイプ:軽量、高速\\PAR必要資源:鉄2、馬1\\PARバトルアクション:2回の槍攻撃、射程1\\PAR特殊:部隊が最大限に移動してから攻撃する時、このユニットの1撃目は「突撃攻撃」となり、ターゲットをスタンさせ、騎兵ユニットに35％の追加ダメージを与えることができる。森、町、山、沼で回避率アップ。攻め手の時、回避率 +50％。
Class: Warbow,クラス:ウォーボウ
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Archery\\PARMovement Type: Normal\\PARResources Required: 2 Obsidian\\PARBattle Actions: 2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 or 3 range\\PARSpecial: -",部隊リーダーになること:可\\PARティア:3\\PARユニットタイプ:弓兵\\PAR移動タイプ:普通\\PAR必要資源:黒曜石2\\PARバトルアクション:2回の短距離射撃を射程1で、または1回の長距離射撃を射程2または3で行う\\PAR特殊: -
Class: Raider,クラス:レイダー
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Archery\\PARMovement Type: Light, Fast\\PARResources Required: 1 Iron, 1 Horse\\PARBattle Actions: 2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial:  +50% Evasion on offense.",部隊リーダーになること:可\\PARティア:3\\PARユニットタイプ:弓兵\\PAR移動タイプ:軽量、高速\\PAR必要資源:鉄1、馬1\\PARバトルアクション:2回の短距離射撃を射程1で、または1回の長距離射撃を射程2で行う\\PAR特殊: 攻め手の時、回避率 +50％。
Class: Gunner,クラス:ガンナー
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Firearms\\PARMovement Type: Normal\\PARResources Required: 2 Iron, 1 Pyrocite\\PARBattle Actions: 1 Gun attack at 1 range\\PARSpecial: Attacks ignore 75% of Armor, damage derived from Weapon Power and not STR.",部隊リーダーになること:可\\PARティア:3\\PARユニットタイプ:火器\\PAR移動タイプ:普通\\PAR必要資源:鉄2、パイロサイト1\\PARバトルアクション:1回の銃攻撃、射程1\\PAR特殊:攻撃は装甲の75％を無視し、ダメージはSTRではなく武器の威力に依存する。
Class: Dragoon,クラス:ドラグーン
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Firearms\\PARMovement Type: Fast\\PARResources Required: 2 Iron, 1 Pyrocite, 1 Horse\\PARBattle Actions: 1 Gun attack at 1 range\\PARSpecial: Attacks ignore 75% of Armor, damage derived from Weapon Power and not STR.",部隊リーダーになること:可\\PARティア:3\\PARユニットタイプ:火器\\PAR移動タイプ:高速\\PAR必要資源:鉄2、パイロサイト1、馬1\\PARバトルアクション:1回の銃攻撃、射程1\\PAR特殊:攻撃は装甲の75％を無視し、ダメージはSTRではなく武器の威力に依存する。
Class: Siege Cannon,クラス:シージキャノン
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Firearms\\PARMovement Type: Normal\\PARResources Required: 3 Iron, 1 Pyrocite, 1 Horse\\PARBattle Actions: On Offense, 1 Explosive Cannon attack at 1, 2, or 3 range\\PARSpecial: Deals Splash damage to surrounding tiles. Attacks ignore 75% of Armor, damage derived from Weapon Power and not STR. Cannot counter-attack.",部隊リーダーになること:可\\PARティア:3\\PARユニットタイプ:火器\\PAR移動タイプ:普通\\PAR必要資源:鉄3、パイロサイト1、馬1\\PARバトルアクション:攻め手の時、1回の爆発的な砲撃を1、2、3射程で行う\\PAR特殊:周囲のマスに拡散ダメージを与える。攻撃は装甲の75％を無視し、ダメージはSTRではなく武器の威力に依存する。このユニットは反撃できない。
Class: Templar,クラス:テンプラー
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Support\\PARMovement Type: Slow\\PARResources Required: 1 Sunstone, 1 Gems\\PARBattle Actions: 2 Heals of the weakest ally\\PARSpecial: Can use a Squad's turn to heal members of an adjacent Squad",部隊リーダーになること:可\\PARティア:3\\PARユニットタイプ:サポート\\PAR移動タイプ:低速\\PAR必要資源:日長石1、宝石1\\PARバトルアクション:最も弱った味方2体を回復\\PAR特殊:部隊のターンを使用して、隣接する部隊のメンバーを回復できる
Class: Hospitaller,クラス:ホスピタラー
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Support\\PARMovement Type: Fast\\PARResources Required: 1 Gems, 1 Horse\\PARBattle Actions: 1 Heal of the weakest ally\\PARSpecial: Can use a Squad's turn to heal members of an adjacent Squad",部隊リーダーになること:可\\PARティア:2\\PARユニットタイプ:サポート\\PAR移動タイプ:高速\\PAR必要資源:宝石1、馬1\\PARバトルアクション:最も弱った味方1体を回復\\PAR特殊:部隊のターンを使用して、隣接する部隊のメンバーを回復できる
Class: Fire Mage,クラス:ファイアメイジ
